logN,q0,delta,depth,dnum_req,ok,err,auxBits,ksTech,QCount,logQ,logQ_bits,dnum,perPart,maxDigitBits,PCount,logP,logP_bits,logQP,logQP_bits,bound_tc128,margin,digits
14,60,54,4,1,1,,60,HYBRID,5,276,278,1,5,277,5,300,300,576,578,438,-138,L4=1;L3=1;L2=1;L1=1
14,60,54,4,2,1,,60,HYBRID,5,276,278,2,3,169,3,180,180,456,458,438,-18,L4=2;L3=2;L2=1;L1=1
14,60,54,4,3,1,,60,HYBRID,5,276,278,3,2,114,2,120,120,396,398,438,42,L4=3;L3=2;L2=2;L1=1
14,60,54,4,4,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 5 towers into 4 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,54,4,5,1,,60,HYBRID,5,276,278,5,1,60,1,60,60,336,338,438,102,L4=5;L3=4;L2=3;L1=2
14,60,55,4,1,1,,60,HYBRID,5,280,282,1,5,280,5,300,300,580,582,438,-142,L4=1;L3=1;L2=1;L1=1
14,60,55,4,2,1,,60,HYBRID,5,280,282,2,3,170,3,180,180,460,462,438,-22,L4=2;L3=2;L2=1;L1=1
14,60,55,4,3,1,,60,HYBRID,5,280,282,3,2,115,2,120,120,400,402,438,38,L4=3;L3=2;L2=2;L1=1
14,60,55,4,4,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 5 towers into 4 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,55,4,5,1,,60,HYBRID,5,280,282,5,1,60,1,60,60,340,342,438,98,L4=5;L3=4;L2=3;L1=2
14,60,40,5,1,1,,60,HYBRID,6,260,263,1,6,260,5,300,300,560,563,438,-122,L5=1;L4=1;L3=1;L2=1;L1=1
14,60,40,5,2,1,,60,HYBRID,6,260,263,2,3,140,3,180,180,440,443,438,-2,L5=2;L4=2;L3=2;L2=1;L1=1
14,60,40,5,3,1,,60,HYBRID,6,260,263,3,2,101,2,120,120,380,383,438,58,L5=3;L4=3;L3=2;L2=2;L1=1
14,60,40,5,4,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 6 towers into 4 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,40,5,5,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 6 towers into 5 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,40,5,6,1,,60,HYBRID,6,260,263,6,1,60,1,60,60,320,323,438,118,L5=6;L4=5;L3=4;L2=3;L1=2
14,60,41,5,1,1,,60,HYBRID,6,265,268,1,6,266,5,300,300,565,568,438,-127,L5=1;L4=1;L3=1;L2=1;L1=1
14,60,41,5,2,1,,60,HYBRID,6,265,268,2,3,143,3,180,180,445,448,438,-7,L5=2;L4=2;L3=2;L2=1;L1=1
14,60,41,5,3,1,,60,HYBRID,6,265,268,3,2,102,2,120,120,385,388,438,53,L5=3;L4=3;L3=2;L2=2;L1=1
14,60,41,5,4,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 6 towers into 4 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,41,5,5,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 6 towers into 5 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,41,5,6,1,,60,HYBRID,6,265,268,6,1,60,1,60,60,325,328,438,113,L5=6;L4=5;L3=4;L2=3;L1=2
14,60,42,5,1,1,,60,HYBRID,6,270,273,1,6,271,5,300,300,570,573,438,-132,L5=1;L4=1;L3=1;L2=1;L1=1
14,60,42,5,2,1,,60,HYBRID,6,270,273,2,3,145,3,180,180,450,453,438,-12,L5=2;L4=2;L3=2;L2=1;L1=1
14,60,42,5,3,1,,60,HYBRID,6,270,273,3,2,103,2,120,120,390,393,438,48,L5=3;L4=3;L3=2;L2=2;L1=1
14,60,42,5,4,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 6 towers into 4 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,42,5,5,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 6 towers into 5 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,42,5,6,1,,60,HYBRID,6,270,273,6,1,60,1,60,60,330,333,438,108,L5=6;L4=5;L3=4;L2=3;L1=2
14,60,43,5,1,1,,60,HYBRID,6,275,278,1,6,276,5,300,300,575,578,438,-137,L5=1;L4=1;L3=1;L2=1;L1=1
14,60,43,5,2,1,,60,HYBRID,6,275,278,2,3,147,3,180,180,455,458,438,-17,L5=2;L4=2;L3=2;L2=1;L1=1
14,60,43,5,3,1,,60,HYBRID,6,275,278,3,2,104,2,120,120,395,398,438,43,L5=3;L4=3;L3=2;L2=2;L1=1
14,60,43,5,4,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 6 towers into 4 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,43,5,5,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 6 towers into 5 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,43,5,6,1,,60,HYBRID,6,275,278,6,1,60,1,60,60,335,338,438,103,L5=6;L4=5;L3=4;L2=3;L1=2
14,60,44,5,1,1,,60,HYBRID,6,280,283,1,6,280,5,300,300,580,583,438,-142,L5=1;L4=1;L3=1;L2=1;L1=1
14,60,44,5,2,1,,60,HYBRID,6,280,283,2,3,148,3,180,180,460,463,438,-22,L5=2;L4=2;L3=2;L2=1;L1=1
14,60,44,5,3,1,,60,HYBRID,6,280,283,3,2,105,2,120,120,400,403,438,38,L5=3;L4=3;L3=2;L2=2;L1=1
14,60,44,5,4,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 6 towers into 4 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,44,5,5,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 6 towers into 5 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,44,5,6,1,,60,HYBRID,6,280,283,6,1,60,1,60,60,340,343,438,98,L5=6;L4=5;L3=4;L2=3;L1=2
14,60,45,5,1,1,,60,HYBRID,6,285,288,1,6,285,5,300,300,585,588,438,-147,L5=1;L4=1;L3=1;L2=1;L1=1
14,60,45,5,2,1,,60,HYBRID,6,285,288,2,3,150,3,180,180,465,468,438,-27,L5=2;L4=2;L3=2;L2=1;L1=1
14,60,45,5,3,1,,60,HYBRID,6,285,288,3,2,106,2,120,120,405,408,438,33,L5=3;L4=3;L3=2;L2=2;L1=1
14,60,45,5,4,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 6 towers into 4 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,45,5,5,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 6 towers into 5 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,45,5,6,1,,60,HYBRID,6,285,288,6,1,60,1,60,60,345,348,438,93,L5=6;L4=5;L3=4;L2=3;L1=2
14,60,46,5,1,1,,60,HYBRID,6,290,293,1,6,290,5,300,300,590,593,438,-152,L5=1;L4=1;L3=1;L2=1;L1=1
14,60,46,5,2,1,,60,HYBRID,6,290,293,2,3,152,3,180,180,470,473,438,-32,L5=2;L4=2;L3=2;L2=1;L1=1
14,60,46,5,3,1,,60,HYBRID,6,290,293,3,2,107,2,120,120,410,413,438,28,L5=3;L4=3;L3=2;L2=2;L1=1
14,60,46,5,4,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 6 towers into 4 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,46,5,5,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 6 towers into 5 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,46,5,6,1,,60,HYBRID,6,290,293,6,1,60,1,60,60,350,353,438,88,L5=6;L4=5;L3=4;L2=3;L1=2
14,60,47,5,1,1,,60,HYBRID,6,295,298,1,6,296,5,300,300,595,598,438,-157,L5=1;L4=1;L3=1;L2=1;L1=1
14,60,47,5,2,1,,60,HYBRID,6,295,298,2,3,155,3,180,180,475,478,438,-37,L5=2;L4=2;L3=2;L2=1;L1=1
14,60,47,5,3,1,,60,HYBRID,6,295,298,3,2,108,2,120,120,415,418,438,23,L5=3;L4=3;L3=2;L2=2;L1=1
14,60,47,5,4,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 6 towers into 4 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,47,5,5,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 6 towers into 5 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,47,5,6,1,,60,HYBRID,6,295,298,6,1,60,1,60,60,355,358,438,83,L5=6;L4=5;L3=4;L2=3;L1=2
14,60,48,5,1,1,,60,HYBRID,6,300,303,1,6,301,6,360,360,660,663,438,-222,L5=1;L4=1;L3=1;L2=1;L1=1
14,60,48,5,2,1,,60,HYBRID,6,300,303,2,3,157,3,180,180,480,483,438,-42,L5=2;L4=2;L3=2;L2=1;L1=1
14,60,48,5,3,1,,60,HYBRID,6,300,303,3,2,109,2,120,120,420,423,438,18,L5=3;L4=3;L3=2;L2=2;L1=1
14,60,48,5,4,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 6 towers into 4 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,48,5,5,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 6 towers into 5 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,48,5,6,1,,60,HYBRID,6,300,303,6,1,60,1,60,60,360,363,438,78,L5=6;L4=5;L3=4;L2=3;L1=2
14,60,49,5,1,1,,60,HYBRID,6,305,308,1,6,306,6,360,360,665,668,438,-227,L5=1;L4=1;L3=1;L2=1;L1=1
14,60,49,5,2,1,,60,HYBRID,6,305,308,2,3,159,3,180,180,485,488,438,-47,L5=2;L4=2;L3=2;L2=1;L1=1
14,60,49,5,3,1,,60,HYBRID,6,305,308,3,2,110,2,120,120,425,428,438,13,L5=3;L4=3;L3=2;L2=2;L1=1
14,60,49,5,4,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 6 towers into 4 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,49,5,5,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 6 towers into 5 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,49,5,6,1,,60,HYBRID,6,305,308,6,1,60,1,60,60,365,368,438,73,L5=6;L4=5;L3=4;L2=3;L1=2
14,60,50,5,1,1,,60,HYBRID,6,310,313,1,6,311,6,360,360,670,673,438,-232,L5=1;L4=1;L3=1;L2=1;L1=1
14,60,50,5,2,1,,60,HYBRID,6,310,313,2,3,160,3,180,180,490,493,438,-52,L5=2;L4=2;L3=2;L2=1;L1=1
14,60,50,5,3,1,,60,HYBRID,6,310,313,3,2,111,2,120,120,430,433,438,8,L5=3;L4=3;L3=2;L2=2;L1=1
14,60,50,5,4,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 6 towers into 4 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,50,5,5,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 6 towers into 5 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,50,5,6,1,,60,HYBRID,6,310,313,6,1,60,1,60,60,370,373,438,68,L5=6;L4=5;L3=4;L2=3;L1=2
14,60,51,5,1,1,,60,HYBRID,6,315,318,1,6,316,6,360,360,675,678,438,-237,L5=1;L4=1;L3=1;L2=1;L1=1
14,60,51,5,2,1,,60,HYBRID,6,315,318,2,3,162,3,180,180,495,498,438,-57,L5=2;L4=2;L3=2;L2=1;L1=1
14,60,51,5,3,1,,60,HYBRID,6,315,318,3,2,112,2,120,120,435,438,438,3,L5=3;L4=3;L3=2;L2=2;L1=1
14,60,51,5,4,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 6 towers into 4 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,51,5,5,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 6 towers into 5 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,51,5,6,1,,60,HYBRID,6,315,318,6,1,60,1,60,60,375,378,438,63,L5=6;L4=5;L3=4;L2=3;L1=2
14,60,52,5,1,1,,60,HYBRID,6,320,323,1,6,321,6,360,360,680,683,438,-242,L5=1;L4=1;L3=1;L2=1;L1=1
14,60,52,5,2,1,,60,HYBRID,6,320,323,2,3,164,3,180,180,500,503,438,-62,L5=2;L4=2;L3=2;L2=1;L1=1
14,60,52,5,3,1,,60,HYBRID,6,320,323,3,2,113,2,120,120,440,443,438,-2,L5=3;L4=3;L3=2;L2=2;L1=1
14,60,52,5,4,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 6 towers into 4 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,52,5,5,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 6 towers into 5 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,52,5,6,1,,60,HYBRID,6,320,323,6,1,60,1,60,60,380,383,438,58,L5=6;L4=5;L3=4;L2=3;L1=2
14,60,53,5,1,1,,60,HYBRID,6,325,328,1,6,326,6,360,360,685,688,438,-247,L5=1;L4=1;L3=1;L2=1;L1=1
14,60,53,5,2,1,,60,HYBRID,6,325,328,2,3,166,3,180,180,505,508,438,-67,L5=2;L4=2;L3=2;L2=1;L1=1
14,60,53,5,3,1,,60,HYBRID,6,325,328,3,2,114,2,120,120,445,448,438,-7,L5=3;L4=3;L3=2;L2=2;L1=1
