library,exp,logN,q0,delta,depth,dnum,PCount,logP,logQ,logQP,bound,margin,maxLevel,level,op,mean_us,std_us,reps,digits,ok,err
openfhe,6,15,60,48,10,11,1,60,540,600,881,281,10,10,mul_cc_rlk,152028.018,559.935,30,L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1,
openfhe,6,15,60,48,10,11,1,60,540,600,881,281,10,10,relin,147760.442,695.355,30,L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1,
openfhe,6,15,60,48,10,11,1,60,540,600,881,281,10,10,rot1,146281.884,597.741,30,L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1,
openfhe,6,15,60,46,11,2,5,300,566,866,881,15,11,11,mul_cc_rlk,68212.563,390.787,30,L11=2;L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,1,
openfhe,6,15,60,46,11,2,5,300,566,866,881,15,11,11,relin,64239.589,443.376,30,L11=2;L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,1,
openfhe,6,15,60,46,11,2,5,300,566,866,881,15,11,11,rot1,62398.176,510.257,30,L11=2;L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,1,
openfhe,6,15,60,46,11,3,4,240,566,806,881,75,11,11,mul_cc_rlk,79977.778,380.026,30,L11=3;L10=3;L9=3;L8=3;L7=2;L6=2;L5=2;L4=2;L3=1;L2=1;L1=1,1,
openfhe,6,15,60,46,11,3,4,240,566,806,881,75,11,11,relin,76255.087,529.209,30,L11=3;L10=3;L9=3;L8=3;L7=2;L6=2;L5=2;L4=2;L3=1;L2=1;L1=1,1,
openfhe,6,15,60,46,11,3,4,240,566,806,881,75,11,11,rot1,74329.416,523.233,30,L11=3;L10=3;L9=3;L8=3;L7=2;L6=2;L5=2;L4=2;L3=1;L2=1;L1=1,1,
openfhe,6,15,60,46,11,4,3,180,566,746,881,135,11,11,mul_cc_rlk,89628.975,587.901,30,L11=4;L10=4;L9=4;L8=3;L7=3;L6=3;L5=2;L4=2;L3=2;L2=1;L1=1,1,
openfhe,6,15,60,46,11,4,3,180,566,746,881,135,11,11,relin,86174.722,712.629,30,L11=4;L10=4;L9=4;L8=3;L7=3;L6=3;L5=2;L4=2;L3=2;L2=1;L1=1,1,
openfhe,6,15,60,46,11,4,3,180,566,746,881,135,11,11,rot1,84103.257,548.764,30,L11=4;L10=4;L9=4;L8=3;L7=3;L6=3;L5=2;L4=2;L3=2;L2=1;L1=1,1,
openfhe,6,15,60,46,11,6,2,120,566,686,881,195,11,11,mul_cc_rlk,110374.964,699.061,30,L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,6,15,60,46,11,6,2,120,566,686,881,195,11,11,relin,107059.068,1767.300,30,L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,6,15,60,46,11,6,2,120,566,686,881,195,11,11,rot1,105094.083,1373.056,30,L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,6,15,60,46,11,12,1,60,566,626,881,255,11,11,mul_cc_rlk,178007.457,2129.832,30,L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1,
openfhe,6,15,60,46,11,12,1,60,566,626,881,255,11,11,relin,172912.734,807.551,30,L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1,
openfhe,6,15,60,46,11,12,1,60,566,626,881,255,11,11,rot1,170875.845,308.279,30,L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1,
lattigo,6,14,60,42,6,7,1,60,312,372,438,66,6,6,mul_cc_rlk,18307.898,246.134,30,L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1,
lattigo,6,14,60,42,6,7,1,60,312,372,438,66,6,6,relin,17262.594,63.981,30,L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1,
lattigo,6,14,60,42,6,7,1,60,312,372,438,66,6,6,rot1,17378.074,112.056,30,L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1,
lattigo,6,14,60,42,6,4,2,120,312,432,438,6,6,6,mul_cc_rlk,13970.382,61.793,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
lattigo,6,14,60,42,6,4,2,120,312,432,438,6,6,6,relin,13113.388,270.431,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
lattigo,6,14,60,42,6,4,2,120,312,432,438,6,6,6,rot1,13071.884,53.067,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
lattigo,6,14,60,42,7,8,1,60,354,414,438,24,7,7,mul_cc_rlk,24336.519,288.775,30,L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1,
lattigo,6,14,60,42,7,8,1,60,354,414,438,24,7,7,relin,22886.615,858.905,30,L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1,
lattigo,6,14,60,42,7,8,1,60,354,414,438,24,7,7,rot1,23147.257,290.816,30,L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1,
lattigo,6,15,60,54,9,10,1,60,546,606,881,275,9,9,mul_cc_rlk,73140.488,569.678,30,L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1,
lattigo,6,15,60,54,9,10,1,60,546,606,881,275,9,9,relin,69561.657,224.669,30,L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1,
lattigo,6,15,60,54,9,10,1,60,546,606,881,275,9,9,rot1,69484.133,219.078,30,L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1,
lattigo,6,15,60,54,9,5,2,120,546,666,881,215,9,9,mul_cc_rlk,48174.632,392.952,30,L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
lattigo,6,15,60,54,9,5,2,120,546,666,881,215,9,9,relin,42231.581,201.687,30,L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
lattigo,6,15,60,54,9,5,2,120,546,666,881,215,9,9,rot1,44380.978,259.448,30,L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
lattigo,6,15,60,54,9,4,3,180,546,726,881,155,9,9,mul_cc_rlk,48905.447,314.405,30,L9=4;L8=3;L7=3;L6=3;L5=2;L4=2;L3=2;L2=1;L1=1,1,
lattigo,6,15,60,54,9,4,3,180,546,726,881,155,9,9,relin,41789.822,165.264,30,L9=4;L8=3;L7=3;L6=3;L5=2;L4=2;L3=2;L2=1;L1=1,1,
lattigo,6,15,60,54,9,4,3,180,546,726,881,155,9,9,rot1,42451.313,1786.047,30,L9=4;L8=3;L7=3;L6=3;L5=2;L4=2;L3=2;L2=1;L1=1,1,
lattigo,6,15,60,54,9,3,4,240,546,786,881,95,9,9,mul_cc_rlk,42327.015,1141.092,30,L9=3;L8=3;L7=2;L6=2;L5=2;L4=2;L3=1;L2=1;L1=1,1,
lattigo,6,15,60,54,9,3,4,240,546,786,881,95,9,9,relin,36766.688,174.209,30,L9=3;L8=3;L7=2;L6=2;L5=2;L4=2;L3=1;L2=1;L1=1,1,
lattigo,6,15,60,54,9,3,4,240,546,786,881,95,9,9,rot1,36496.812,139.133,30,L9=3;L8=3;L7=2;L6=2;L5=2;L4=2;L3=1;L2=1;L1=1,1,
lattigo,6,15,60,54,9,2,5,300,546,846,881,35,9,9,mul_cc_rlk,37496.972,1246.312,30,L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,6,15,60,54,9,2,5,300,546,846,881,35,9,9,relin,32550.105,212.185,30,L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,6,15,60,54,9,2,5,300,546,846,881,35,9,9,rot1,32356.846,108.222,30,L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,6,15,60,48,10,11,1,60,540,600,881,281,10,10,mul_cc_rlk,86715.716,309.827,30,L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1,
lattigo,6,15,60,48,10,11,1,60,540,600,881,281,10,10,relin,83081.116,396.354,30,L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1,
lattigo,6,15,60,48,10,11,1,60,540,600,881,281,10,10,rot1,83478.371,265.950,30,L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1,
lattigo,6,15,60,48,10,6,2,120,540,660,881,221,10,10,mul_cc_rlk,57696.073,359.974,30,L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
lattigo,6,15,60,48,10,6,2,120,540,660,881,221,10,10,relin,54018.646,224.500,30,L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
lattigo,6,15,60,48,10,6,2,120,540,660,881,221,10,10,rot1,53938.081,562.906,30,L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
lattigo,6,15,60,48,10,4,3,180,540,720,881,161,10,10,mul_cc_rlk,47878.690,1139.772,30,L10=4;L9=4;L8=3;L7=3;L6=3;L5=2;L4=2;L3=2;L2=1;L1=1,1,
lattigo,6,15,60,48,10,4,3,180,540,720,881,161,10,10,relin,43708.708,174.638,30,L10=4;L9=4;L8=3;L7=3;L6=3;L5=2;L4=2;L3=2;L2=1;L1=1,1,
lattigo,6,15,60,48,10,4,3,180,540,720,881,161,10,10,rot1,43511.414,137.918,30,L10=4;L9=4;L8=3;L7=3;L6=3;L5=2;L4=2;L3=2;L2=1;L1=1,1,
lattigo,6,15,60,48,10,3,4,240,540,780,881,101,10,10,mul_cc_rlk,43812.499,303.549,30,L10=3;L9=3;L8=3;L7=2;L6=2;L5=2;L4=2;L3=1;L2=1;L1=1,1,
lattigo,6,15,60,48,10,3,4,240,540,780,881,101,10,10,relin,40001.318,172.709,30,L10=3;L9=3;L8=3;L7=2;L6=2;L5=2;L4=2;L3=1;L2=1;L1=1,1,
lattigo,6,15,60,48,10,3,4,240,540,780,881,101,10,10,rot1,39848.085,278.485,30,L10=3;L9=3;L8=3;L7=2;L6=2;L5=2;L4=2;L3=1;L2=1;L1=1,1,
lattigo,6,15,60,48,10,3,5,300,540,840,881,41,10,10,mul_cc_rlk,49391.444,212.695,30,L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,6,15,60,48,10,3,5,300,540,840,881,41,10,10,relin,45173.062,239.544,30,L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,6,15,60,48,10,3,5,300,540,840,881,41,10,10,rot1,44840.635,214.895,30,L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,6,15,60,46,11,12,1,60,566,626,881,255,11,11,mul_cc_rlk,109570.932,370.668,30,L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1,
lattigo,6,15,60,46,11,12,1,60,566,626,881,255,11,11,relin,105014.386,1181.947,30,L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1,
lattigo,6,15,60,46,11,12,1,60,566,626,881,255,11,11,rot1,105557.755,502.329,30,L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1,
lattigo,6,15,60,46,11,6,2,120,566,686,881,195,11,11,mul_cc_rlk,61067.932,401.675,30,L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
lattigo,6,15,60,46,11,6,2,120,566,686,881,195,11,11,relin,56951.243,343.445,30,L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
lattigo,6,15,60,46,11,6,2,120,566,686,881,195,11,11,rot1,57044.908,303.001,30,L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
lattigo,6,15,60,46,11,4,3,180,566,746,881,135,11,11,mul_cc_rlk,51767.033,606.150,30,L11=4;L10=4;L9=4;L8=3;L7=3;L6=3;L5=2;L4=2;L3=2;L2=1;L1=1,1,
lattigo,6,15,60,46,11,4,3,180,566,746,881,135,11,11,relin,47321.764,285.515,30,L11=4;L10=4;L9=4;L8=3;L7=3;L6=3;L5=2;L4=2;L3=2;L2=1;L1=1,1,
lattigo,6,15,60,46,11,4,3,180,566,746,881,135,11,11,rot1,47354.967,249.016,30,L11=4;L10=4;L9=4;L8=3;L7=3;L6=3;L5=2;L4=2;L3=2;L2=1;L1=1,1,
lattigo,6,15,60,46,11,3,4,240,566,806,881,75,11,11,mul_cc_rlk,47617.213,346.178,30,L11=3;L10=3;L9=3;L8=3;L7=2;L6=2;L5=2;L4=2;L3=1;L2=1;L1=1,1,
lattigo,6,15,60,46,11,3,4,240,566,806,881,75,11,11,relin,43230.523,271.552,30,L11=3;L10=3;L9=3;L8=3;L7=2;L6=2;L5=2;L4=2;L3=1;L2=1;L1=1,1,
lattigo,6,15,60,46,11,3,4,240,566,806,881,75,11,11,rot1,42963.580,267.389,30,L11=3;L10=3;L9=3;L8=3;L7=2;L6=2;L5=2;L4=2;L3=1;L2=1;L1=1,1,
lattigo,6,15,60,46,11,3,5,300,566,866,881,15,11,11,mul_cc_rlk,50747.864,333.022,30,L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,6,15,60,46,11,3,5,300,566,866,881,15,11,11,relin,46082.810,215.424,30,L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,6,15,60,46,11,3,5,300,566,866,881,15,11,11,rot1,46041.984,279.976,30,L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
