preset,logN,depth,delta,mode,library,dnum,PCount,logP,logQP,margin,level,digit,op,mean_us,std_us,cv,reps
A,15,12,42,1t,openfhe,3,4,240,804,77,7,2,add_cp,818.799,10.312,0.012594055439735515,30
A,15,12,42,1t,openfhe,3,4,240,804,77,7,2,mul_cp,1709.029,17.581,0.010287127953943438,30
A,15,12,42,1t,openfhe,3,4,240,804,77,7,2,mul_cc,5057.595,24.211,0.004787057880277087,30
A,15,12,42,1t,openfhe,3,4,240,804,77,7,2,mul_cc_rlk,47592.15,1748.09,0.03673063730047917,30
A,15,12,42,1t,openfhe,3,4,240,804,77,7,2,relin,43721.598,170.913,0.003909120613569523,30
A,15,12,42,1t,openfhe,3,4,240,804,77,7,2,rescale,9035.365,22.596,0.002500839755781864,30
A,15,12,42,1t,openfhe,3,4,240,804,77,7,2,rot1,42788.258,466.422,0.010900700841805713,30
A,15,12,42,1t,openfhe,3,4,240,804,77,6,2,add_cc,762.502,8.877,0.011641936676887406,30
A,15,12,42,1t,openfhe,3,4,240,804,77,6,2,add_cp,722.087,8.849,0.01225475600585525,30
A,15,12,42,1t,openfhe,3,4,240,804,77,6,2,mul_cp,1496.821,17.709,0.011831073989475027,30
A,15,12,42,1t,openfhe,3,4,240,804,77,6,2,mul_cc,4423.383,37.814,0.008548660606599067,30
A,15,12,42,1t,openfhe,3,4,240,804,77,6,2,mul_cc_rlk,42732.906,1423.239,0.03330545785957079,30
A,15,12,42,1t,openfhe,3,4,240,804,77,6,2,relin,39915.04,320.959,0.008041054199118929,30
A,15,12,42,1t,openfhe,3,4,240,804,77,6,2,rescale,7968.432,28.258,0.0035462434767592923,30
A,15,12,42,1t,openfhe,3,4,240,804,77,6,2,rot1,39034.538,1684.001,0.04314130732122409,30
A,15,12,42,1t,openfhe,3,4,240,804,77,5,2,add_cc,649.683,9.935,0.0152920732110891,30
A,15,12,42,1t,openfhe,3,4,240,804,77,5,2,add_cp,609.524,9.166,0.015037964050636234,30
A,15,12,42,1t,openfhe,3,4,240,804,77,5,2,mul_cp,1285.011,21.508,0.016737599911596086,30
A,15,12,42,1t,openfhe,3,4,240,804,77,5,2,mul_cc,3778.349,10.289,0.002723147067674267,30
A,15,12,42,1t,openfhe,3,4,240,804,77,5,2,mul_cc_rlk,37682.671,203.905,0.005411107933405252,30
A,15,12,42,1t,openfhe,3,4,240,804,77,5,2,relin,35784.452,363.483,0.010157567873332251,30
A,15,12,42,1t,openfhe,3,4,240,804,77,5,2,rescale,6647.547,140.475,0.021131855103845073,30
A,15,12,42,1t,openfhe,3,4,240,804,77,5,2,rot1,34710.017,211.846,0.006103310177001642,30
A,15,12,42,1t,openfhe,3,4,240,804,77,4,1,add_cc,537.153,10.056,0.018720923088952308,30
A,15,12,42,1t,openfhe,3,4,240,804,77,4,1,add_cp,487.383,10.073,0.02066752430839812,30
A,15,12,42,1t,openfhe,3,4,240,804,77,4,1,mul_cp,1061.23,16.717,0.0157524759006059,30
A,15,12,42,1t,openfhe,3,4,240,804,77,4,1,mul_cc,2513.221,23.727,0.009440872887820053,30
A,15,12,42,1t,openfhe,3,4,240,804,77,4,1,mul_cc_rlk,24215.874,115.393,0.004765180063292368,30
A,15,12,42,1t,openfhe,3,4,240,804,77,4,1,relin,23224.199,279.399,0.012030511795046193,30
A,15,12,42,1t,openfhe,3,4,240,804,77,4,1,rescale,5575.957,109.199,0.01958390281704109,30
A,15,12,42,1t,openfhe,3,4,240,804,77,4,1,rot1,21798.553,172.379,0.007907818468501098,30
A,15,12,42,1t,openfhe,3,4,240,804,77,3,1,add_cc,428.934,9.341,0.021777243118987998,30
A,15,12,42,1t,openfhe,3,4,240,804,77,3,1,add_cp,367.505,9.408,0.025599651705418974,30
A,15,12,42,1t,openfhe,3,4,240,804,77,3,1,mul_cp,838.295,12.575,0.015000685916055804,30
A,15,12,42,1t,openfhe,3,4,240,804,77,3,1,mul_cc,1987.739,18.099,0.009105320165273207,30
A,15,12,42,1t,openfhe,3,4,240,804,77,3,1,mul_cc_rlk,20308.119,525.42,0.02587241093082033,30
A,15,12,42,1t,openfhe,3,4,240,804,77,3,1,relin,19382.008,319.452,0.01648188361082092,30
A,15,12,42,1t,openfhe,3,4,240,804,77,3,1,rescale,4269.263,39.153,0.009170903736780797,30
A,15,12,42,1t,openfhe,3,4,240,804,77,3,1,rot1,18215.102,194.659,0.01068668185333247,30
A,15,12,42,1t,openfhe,3,4,240,804,77,2,1,add_cc,320.004,10.651,0.033283958950513115,30
A,15,12,42,1t,openfhe,3,4,240,804,77,2,1,add_cp,246.658,8.59,0.034825547924656815,30
A,15,12,42,1t,openfhe,3,4,240,804,77,2,1,mul_cp,617.319,11.437,0.018526888043296903,30
A,15,12,42,1t,openfhe,3,4,240,804,77,2,1,mul_cc,1476.644,18.31,0.01239973886732347,30
A,15,12,42,1t,openfhe,3,4,240,804,77,2,1,mul_cc_rlk,16779.347,62.976,0.003753185389157277,30
A,15,12,42,1t,openfhe,3,4,240,804,77,2,1,relin,15547.219,187.446,0.012056561369592851,30
A,15,12,42,1t,openfhe,3,4,240,804,77,2,1,rescale,3185.735,13.109,0.0041149059793108966,30
A,15,12,42,1t,openfhe,3,4,240,804,77,2,1,rot1,15647.308,159.473,0.010191721157402921,30
A,15,12,42,1t,openfhe,3,4,240,804,77,1,1,add_cc,195.049,6.144,0.031499776979118065,30
A,15,12,42,1t,openfhe,3,4,240,804,77,1,1,add_cp,153.073,4.731,0.030906822235142708,30
A,15,12,42,1t,openfhe,3,4,240,804,77,1,1,mul_cp,394.922,9.13,0.023118489220656232,30
A,15,12,42,1t,openfhe,3,4,240,804,77,1,1,mul_cc,976.303,12.896,0.013209014004873489,30
A,15,12,42,1t,openfhe,3,4,240,804,77,1,1,mul_cc_rlk,13940.489,395.365,0.028360913307990846,30
A,15,12,42,1t,openfhe,3,4,240,804,77,1,1,relin,12980.246,23.451,0.0018066683790122315,30
A,15,12,42,1t,openfhe,3,4,240,804,77,1,1,rescale,1866.633,19.401,0.010393580312787785,30
A,15,12,42,1t,openfhe,3,4,240,804,77,1,1,rot1,13114.293,102.028,0.007779908531859095,30
A,15,12,42,1t,lattigo,3,5,300,864,17,12,3,add_cc,649.847,10.052,0.015468256374192694,30
A,15,12,42,1t,lattigo,3,5,300,864,17,12,3,add_cp,535.473,8.142,0.015205248443899132,30
A,15,12,42,1t,lattigo,3,5,300,864,17,12,3,mul_cp,1280.981,13.324,0.01040140329950249,30
A,15,12,42,1t,lattigo,3,5,300,864,17,12,3,mul_cc,2825.928,23.013,0.008143519580116693,30
A,15,12,42,1t,lattigo,3,5,300,864,17,12,3,mul_cc_rlk,54475.082,218.858,0.004017580001072784,30
A,15,12,42,1t,lattigo,3,5,300,864,17,12,3,relin,49649.07,311.721,0.0062784861831248805,30
A,15,12,42,1t,lattigo,3,5,300,864,17,12,3,rescale,8833.135,103.955,0.011768754807890969,30
A,15,12,42,1t,lattigo,3,5,300,864,17,12,3,rot1,49539.975,297.704,0.006009369201336901,30
A,15,12,42,1t,lattigo,3,5,300,864,17,11,3,add_cc,654.618,12.957,0.019793222917793278,30
A,15,12,42,1t,lattigo,3,5,300,864,17,11,3,add_cp,525.293,10.666,0.02030485843138972,30
A,15,12,42,1t,lattigo,3,5,300,864,17,11,3,mul_cp,1429.981,17.337,0.012123937311055181,30
A,15,12,42,1t,lattigo,3,5,300,864,17,11,3,mul_cc,3101.158,21.645,0.006979650827207127,30
A,15,12,42,1t,lattigo,3,5,300,864,17,11,3,mul_cc_rlk,50740.176,272.119,0.005362988886755143,30
A,15,12,42,1t,lattigo,3,5,300,864,17,11,3,relin,46359.853,218.656,0.0047164946791354145,30
A,15,12,42,1t,lattigo,3,5,300,864,17,11,3,rescale,8123.683,17.656,0.002173398445015641,30
A,15,12,42,1t,lattigo,3,5,300,864,17,11,3,rot1,46211.105,244.888,0.0052993322708902975,30
A,15,12,42,1t,lattigo,3,5,300,864,17,10,3,add_cc,605.3,9.518,0.015724434164876924,30
A,15,12,42,1t,lattigo,3,5,300,864,17,10,3,add_cp,481.645,8.8,0.018270718059981938,30
A,15,12,42,1t,lattigo,3,5,300,864,17,10,3,mul_cp,1304.278,22.951,0.01759670867713785,30
A,15,12,42,1t,lattigo,3,5,300,864,17,10,3,mul_cc,2812.48,21.754,0.007734810558652862,30
A,15,12,42,1t,lattigo,3,5,300,864,17,10,3,mul_cc_rlk,51267.418,1904.0,0.037138597461647084,30
A,15,12,42,1t,lattigo,3,5,300,864,17,10,3,relin,45328.328,234.897,0.005182123638004031,30
A,15,12,42,1t,lattigo,3,5,300,864,17,10,3,rescale,7446.272,20.895,0.002806102167635026,30
A,15,12,42,1t,lattigo,3,5,300,864,17,10,3,rot1,45414.145,151.148,0.0033282141500186784,30
A,15,12,42,1t,lattigo,3,5,300,864,17,9,2,add_cc,495.994,11.325,0.022832937495211633,30
A,15,12,42,1t,lattigo,3,5,300,864,17,9,2,add_cp,412.27,8.679,0.021051737938729474,30
A,15,12,42,1t,lattigo,3,5,300,864,17,9,2,mul_cp,972.913,16.307,0.016761005351968776,30
A,15,12,42,1t,lattigo,3,5,300,864,17,9,2,mul_cc,2150.943,17.991,0.008364238382886018,30
A,15,12,42,1t,lattigo,3,5,300,864,17,9,2,mul_cc_rlk,36029.738,232.642,0.006456943983328438,30
A,15,12,42,1t,lattigo,3,5,300,864,17,9,2,relin,32576.403,187.637,0.0057599054137438075,30
A,15,12,42,1t,lattigo,3,5,300,864,17,9,2,rescale,6782.822,89.397,0.01317991243172827,30
A,15,12,42,1t,lattigo,3,5,300,864,17,9,2,rot1,32551.865,180.254,0.0055374400207177064,30
A,15,12,42,1t,lattigo,3,5,300,864,17,8,2,add_cc,493.333,11.33,0.02296623173394036,30
A,15,12,42,1t,lattigo,3,5,300,864,17,8,2,add_cp,390.728,8.395,0.021485534694211827,30
A,15,12,42,1t,lattigo,3,5,300,864,17,8,2,mul_cp,1062.066,18.657,0.01756670489404613,30
A,15,12,42,1t,lattigo,3,5,300,864,17,8,2,mul_cc,1923.841,72.753,0.03781653473441932,30
A,15,12,42,1t,lattigo,3,5,300,864,17,8,2,mul_cc_rlk,32971.073,281.768,0.008545915384676743,30
A,15,12,42,1t,lattigo,3,5,300,864,17,8,2,relin,30241.813,466.648,0.015430556362477343,30
A,15,12,42,1t,lattigo,3,5,300,864,17,8,2,rescale,6117.615,84.658,0.01383839944161246,30
A,15,12,42,1t,lattigo,3,5,300,864,17,8,2,rot1,29986.537,152.638,0.005090217653342232,30
A,15,12,42,1t,lattigo,3,5,300,864,17,7,2,add_cc,399.562,10.779,0.026977039858645215,30
A,15,12,42,1t,lattigo,3,5,300,864,17,7,2,add_cp,345.008,76.254,0.22102096183276912,30
A,15,12,42,1t,lattigo,3,5,300,864,17,7,2,mul_cp,772.718,12.775,0.016532551331792454,30
A,15,12,42,1t,lattigo,3,5,300,864,17,7,2,mul_cc,1674.974,21.328,0.012733331980078496,30
A,15,12,42,1t,lattigo,3,5,300,864,17,7,2,mul_cc_rlk,30041.648,225.854,0.007518029636722992,30
A,15,12,42,1t,lattigo,3,5,300,864,17,7,2,relin,27521.011,289.816,0.010530717785040673,30
A,15,12,42,1t,lattigo,3,5,300,864,17,7,2,rescale,5421.845,20.086,0.0037046429766988908,30
A,15,12,42,1t,lattigo,3,5,300,864,17,7,2,rot1,27463.888,311.317,0.011335503552883701,30
A,15,12,42,1t,lattigo,3,5,300,864,17,6,2,add_cc,391.799,6.615,0.016883657181360853,30
A,15,12,42,1t,lattigo,3,5,300,864,17,6,2,add_cp,306.817,5.556,0.018108514195758384,30
A,15,12,42,1t,lattigo,3,5,300,864,17,6,2,mul_cp,824.811,15.121,0.018332684699888822,30
A,15,12,42,1t,lattigo,3,5,300,864,17,6,2,mul_cc,1801.575,22.7,0.01260008603582976,30
A,15,12,42,1t,lattigo,3,5,300,864,17,6,2,mul_cc_rlk,28061.08,1097.11,0.039097212224190936,30
A,15,12,42,1t,lattigo,3,5,300,864,17,6,2,relin,24976.622,201.024,0.008048486300509333,30
A,15,12,42,1t,lattigo,3,5,300,864,17,6,2,rescale,4752.486,19.629,0.004130259405288096,30
A,15,12,42,1t,lattigo,3,5,300,864,17,6,2,rot1,24886.145,175.078,0.007035159523501933,30
A,15,12,42,1t,lattigo,3,5,300,864,17,5,2,add_cc,327.849,10.359,0.03159686319006616,30
A,15,12,42,1t,lattigo,3,5,300,864,17,5,2,add_cp,260.042,11.682,0.044923512355696395,30
A,15,12,42,1t,lattigo,3,5,300,864,17,5,2,mul_cp,701.503,15.859,0.022607173454710812,30
A,15,12,42,1t,lattigo,3,5,300,864,17,5,2,mul_cc,1530.127,24.105,0.01575359430949196,30
A,15,12,42,1t,lattigo,3,5,300,864,17,5,2,mul_cc_rlk,25822.391,785.22,0.030408493156191464,30
A,15,12,42,1t,lattigo,3,5,300,864,17,5,2,relin,22833.294,119.335,0.005226359368035115,30
A,15,12,42,1t,lattigo,3,5,300,864,17,5,2,rescale,4084.228,18.937,0.0046366167608664355,30
A,15,12,42,1t,lattigo,3,5,300,864,17,5,2,rot1,23051.631,280.329,0.012160918244787104,30
A,15,12,42,1t,lattigo,3,5,300,864,17,4,1,add_cc,307.672,207.689,0.6750338022309471,30
A,15,12,42,1t,lattigo,3,5,300,864,17,4,1,add_cp,211.235,6.54,0.03096077828011456,30
A,15,12,42,1t,lattigo,3,5,300,864,17,4,1,mul_cp,616.381,172.702,0.2801870920745448,30
A,15,12,42,1t,lattigo,3,5,300,864,17,4,1,mul_cc,1215.656,103.085,0.08479783754614792,30
A,15,12,42,1t,lattigo,3,5,300,864,17,4,1,mul_cc_rlk,16477.875,124.727,0.007569361947459852,30
A,15,12,42,1t,lattigo,3,5,300,864,17,4,1,relin,15242.524,138.798,0.009105972213000944,30
A,15,12,42,1t,lattigo,3,5,300,864,17,4,1,rescale,3406.948,19.624,0.0057599939887547445,30
A,15,12,42,1t,lattigo,3,5,300,864,17,4,1,rot1,15275.813,142.747,0.009344641754910198,30
A,15,12,42,1t,lattigo,3,5,300,864,17,3,1,add_cc,209.892,7.746,0.036904693842547596,30
A,15,12,42,1t,lattigo,3,5,300,864,17,3,1,add_cp,164.168,5.185,0.03158349982944301,30
A,15,12,42,1t,lattigo,3,5,300,864,17,3,1,mul_cp,459.608,13.447,0.0292575412090303,30
A,15,12,42,1t,lattigo,3,5,300,864,17,3,1,mul_cc,1006.057,13.743,0.013660259806352921,30
A,15,12,42,1t,lattigo,3,5,300,864,17,3,1,mul_cc_rlk,14655.561,448.511,0.030603468540030643,30
A,15,12,42,1t,lattigo,3,5,300,864,17,3,1,relin,13509.415,135.599,0.010037370234018274,30
A,15,12,42,1t,lattigo,3,5,300,864,17,3,1,rescale,2746.765,93.79,0.03414562221376784,30
A,15,12,42,1t,lattigo,3,5,300,864,17,3,1,rot1,13494.173,68.374,0.005066927776900444,30
A,15,12,42,1t,lattigo,3,5,300,864,17,2,1,add_cc,149.538,4.663,0.03118270941165456,30
A,15,12,42,1t,lattigo,3,5,300,864,17,2,1,add_cp,123.316,4.944,0.04009212105485095,30
A,15,12,42,1t,lattigo,3,5,300,864,17,2,1,mul_cp,342.215,9.556,0.027923965927852373,30
A,15,12,42,1t,lattigo,3,5,300,864,17,2,1,mul_cc,748.447,16.668,0.022270113982686815,30
A,15,12,42,1t,lattigo,3,5,300,864,17,2,1,mul_cc_rlk,12927.884,390.389,0.030197439890395056,30
A,15,12,42,1t,lattigo,3,5,300,864,17,2,1,relin,11739.133,78.386,0.006677324466806875,30
A,15,12,42,1t,lattigo,3,5,300,864,17,2,1,rescale,2060.383,94.742,0.04598271292279155,30
A,15,12,42,1t,lattigo,3,5,300,864,17,2,1,rot1,11758.04,49.926,0.004246115849240179,30
A,15,12,42,1t,lattigo,3,5,300,864,17,1,1,add_cc,94.959,3.607,0.037984814498889,30
A,15,12,42,1t,lattigo,3,5,300,864,17,1,1,add_cp,68.908,2.544,0.036918790271086084,30
A,15,12,42,1t,lattigo,3,5,300,864,17,1,1,mul_cp,219.436,8.381,0.03819336845367214,30
A,15,12,42,1t,lattigo,3,5,300,864,17,1,1,mul_cc,485.334,12.714,0.02619639258737282,30
A,15,12,42,1t,lattigo,3,5,300,864,17,1,1,mul_cc_rlk,10769.152,324.762,0.030156692003232937,30
A,15,12,42,1t,lattigo,3,5,300,864,17,1,1,relin,10043.458,28.211,0.002808893112312512,30
A,15,12,42,1t,lattigo,3,5,300,864,17,1,1,rescale,1370.09,19.384,0.014147975680429754,30
A,15,12,42,1t,lattigo,3,5,300,864,17,1,1,rot1,10071.563,102.742,0.010201197172673199,30
A,15,12,42,1t,seal,13,1,60,624,257,12,13,add_cc,1061.506,17.119,0.01612708736455564,30
A,15,12,42,1t,seal,13,1,60,624,257,12,13,add_cp,743.319,17.591,0.023665478751383997,30
A,15,12,42,1t,seal,13,1,60,624,257,12,13,mul_cp,3082.886,36.041,0.0116906690678799,30
A,15,12,42,1t,seal,13,1,60,624,257,12,13,mul_cc,6267.478,35.288,0.005630334881111668,30
A,15,12,42,1t,seal,13,1,60,624,257,12,13,mul_cc_rlk,97393.705,591.667,0.006075002486043631,30
A,15,12,42,1t,seal,13,1,60,624,257,12,13,relin,91123.67,448.221,0.004918820763035554,30
A,15,12,42,1t,seal,13,1,60,624,257,12,13,rescale,10471.182,82.713,0.007899108238210356,30
A,15,12,42,1t,seal,13,1,60,624,257,12,13,rot1,92285.655,760.098,0.008236361328312618,30
A,15,12,42,1t,seal,13,1,60,624,257,11,12,add_cc,999.491,26.472,0.026485481109884933,30
A,15,12,42,1t,seal,13,1,60,624,257,11,12,add_cp,684.442,12.579,0.018378474728318835,30
A,15,12,42,1t,seal,13,1,60,624,257,11,12,mul_cp,2823.95,15.992,0.005662989783813454,30
A,15,12,42,1t,seal,13,1,60,624,257,11,12,mul_cc,5819.777,148.775,0.0255636942790076,30
A,15,12,42,1t,seal,13,1,60,624,257,11,12,mul_cc_rlk,84423.679,553.276,0.0065535641961303286,30
A,15,12,42,1t,seal,13,1,60,624,257,11,12,relin,79499.367,624.873,0.007860100320044059,30
A,15,12,42,1t,seal,13,1,60,624,257,11,12,rescale,9665.186,115.722,0.011973075324158273,30
A,15,12,42,1t,seal,13,1,60,624,257,11,12,rot1,79748.173,712.741,0.008937395970187305,30
A,15,12,42,1t,seal,13,1,60,624,257,10,11,add_cc,911.254,24.794,0.027208659715073955,30
A,15,12,42,1t,seal,13,1,60,624,257,10,11,add_cp,627.642,12.501,0.019917405144971177,30
A,15,12,42,1t,seal,13,1,60,624,257,10,11,mul_cp,2591.809,20.586,0.007942714914563533,30
A,15,12,42,1t,seal,13,1,60,624,257,10,11,mul_cc,5286.349,12.085,0.0022860768367733574,30
A,15,12,42,1t,seal,13,1,60,624,257,10,11,mul_cc_rlk,72894.451,656.065,0.009000204967590743,30
A,15,12,42,1t,seal,13,1,60,624,257,10,11,relin,68023.278,664.392,0.009767127070824196,30
A,15,12,42,1t,seal,13,1,60,624,257,10,11,rescale,8814.855,13.854,0.0015716651039637067,30
A,15,12,42,1t,seal,13,1,60,624,257,10,11,rot1,68212.319,615.611,0.009024924075664397,30
A,15,12,42,1t,seal,13,1,60,624,257,9,10,add_cc,827.978,16.211,0.01957902263103609,30
A,15,12,42,1t,seal,13,1,60,624,257,9,10,add_cp,570.725,16.383,0.028705593762319855,30
A,15,12,42,1t,seal,13,1,60,624,257,9,10,mul_cp,2359.448,19.236,0.00815275437305675,30
A,15,12,42,1t,seal,13,1,60,624,257,9,10,mul_cc,4840.421,165.006,0.034089183564818014,30
A,15,12,42,1t,seal,13,1,60,624,257,9,10,mul_cc_rlk,61659.292,332.927,0.0053994619334909,30
A,15,12,42,1t,seal,13,1,60,624,257,9,10,relin,57490.52,1082.46,0.018828495550222892,30
A,15,12,42,1t,seal,13,1,60,624,257,9,10,rescale,7988.925,31.205,0.0039060324136226086,30
A,15,12,42,1t,seal,13,1,60,624,257,9,10,rot1,57782.262,902.191,0.015613632432735154,30
A,15,12,42,1t,seal,13,1,60,624,257,8,9,add_cc,735.199,15.422,0.02097663353731439,30
A,15,12,42,1t,seal,13,1,60,624,257,8,9,add_cp,506.005,6.373,0.01259473720615409,30
A,15,12,42,1t,seal,13,1,60,624,257,8,9,mul_cp,2128.824,16.737,0.00786208723689699,30
A,15,12,42,1t,seal,13,1,60,624,257,8,9,mul_cc,4335.108,14.575,0.0033620846354923566,30
A,15,12,42,1t,seal,13,1,60,624,257,8,9,mul_cc_rlk,51517.884,152.422,0.0029586230676710247,30
A,15,12,42,1t,seal,13,1,60,624,257,8,9,relin,47458.613,224.893,0.004738718343917889,30
A,15,12,42,1t,seal,13,1,60,624,257,8,9,rescale,7165.837,26.97,0.0037636915268935084,30
A,15,12,42,1t,seal,13,1,60,624,257,8,9,rot1,47786.381,224.058,0.00468874175677794,30
A,15,12,42,1t,seal,13,1,60,624,257,7,8,add_cc,659.017,16.395,0.024877962176999984,30
A,15,12,42,1t,seal,13,1,60,624,257,7,8,add_cp,450.423,11.839,0.026284181758036335,30
A,15,12,42,1t,seal,13,1,60,624,257,7,8,mul_cp,1885.611,20.518,0.010881353577169416,30
A,15,12,42,1t,seal,13,1,60,624,257,7,8,mul_cc,3844.374,13.111,0.0034104382143880906,30
A,15,12,42,1t,seal,13,1,60,624,257,7,8,mul_cc_rlk,42327.558,363.609,0.008590360918057215,30
A,15,12,42,1t,seal,13,1,60,624,257,7,8,relin,38753.392,116.396,0.003003504828686996,30
A,15,12,42,1t,seal,13,1,60,624,257,7,8,rescale,6352.162,16.369,0.00257691790606096,30
A,15,12,42,1t,seal,13,1,60,624,257,7,8,rot1,38998.659,143.214,0.0036722801160932227,30
A,15,12,42,1t,seal,13,1,60,624,257,6,7,add_cc,573.795,14.777,0.025753099974729653,30
A,15,12,42,1t,seal,13,1,60,624,257,6,7,add_cp,397.883,7.316,0.018387314863917283,30
A,15,12,42,1t,seal,13,1,60,624,257,6,7,mul_cp,1659.232,23.715,0.01429275713101001,30
A,15,12,42,1t,seal,13,1,60,624,257,6,7,mul_cc,3369.769,18.73,0.005558244496877977,30
A,15,12,42,1t,seal,13,1,60,624,257,6,7,mul_cc_rlk,33953.27,157.347,0.0046342222707857015,30
A,15,12,42,1t,seal,13,1,60,624,257,6,7,relin,30900.154,170.323,0.0055120437263840175,30
A,15,12,42,1t,seal,13,1,60,624,257,6,7,rescale,5536.698,26.636,0.004810809619740863,30
A,15,12,42,1t,seal,13,1,60,624,257,6,7,rot1,31041.124,67.712,0.002181364308843971,30
A,15,12,42,1t,seal,13,1,60,624,257,5,6,add_cc,483.327,8.202,0.01696987753632634,30
A,15,12,42,1t,seal,13,1,60,624,257,5,6,add_cp,334.422,6.529,0.019523237107606554,30
A,15,12,42,1t,seal,13,1,60,624,257,5,6,mul_cp,1421.775,18.819,0.013236271561956003,30
A,15,12,42,1t,seal,13,1,60,624,257,5,6,mul_cc,2881.363,21.818,0.0075721108378222395,30
A,15,12,42,1t,seal,13,1,60,624,257,5,6,mul_cc_rlk,26523.525,100.961,0.0038064699168002744,30
