preset,op,level,openfhe_1t_off_ms,openfhe_1t_hexl_ms,openfhe_1t_speedup,openfhe_mt_off_ms,openfhe_mt_off_min,openfhe_mt_off_max,openfhe_mt_hexl_ms,openfhe_mt_hexl_min,openfhe_mt_hexl_max,openfhe_mt_speedup,seal_1t_off_ms,seal_1t_hexl_ms,seal_1t_speedup,seal_mt_off_ms,seal_mt_off_min,seal_mt_off_max,seal_mt_hexl_ms,seal_mt_hexl_min,seal_mt_hexl_max,seal_mt_speedup,mt_runs_openfhe,mt_runs_seal
A,add_cp,4,0.4874,0.4758,1.024,0.5355,0.46,0.5644,0.4922,0.4288,0.5567,1.088,0.2749,0.2325,1.182,0.2666,0.2659,0.2718,0.2341,0.2337,0.2342,1.139,5,3
A,add_cp,3,0.3675,0.3636,1.011,0.4259,0.4116,0.4698,0.3709,0.3554,0.4311,1.148,0.2076,0.1788,1.161,0.2026,0.2006,0.2037,0.179,0.1775,0.18,1.132,5,3
A,add_cp,2,0.2467,0.2541,0.971,0.3349,0.2591,0.3391,0.2585,0.2432,0.3069,1.296,0.1562,0.1236,1.264,0.1457,0.144,0.1491,0.1233,0.123,0.1235,1.182,5,3
A,add_cp,1,0.1531,0.1615,0.948,0.1801,0.1759,0.2204,0.1617,0.1555,0.2016,1.114,0.0894,0.057,1.567,0.0869,0.086,0.0869,0.0579,0.0576,0.0583,1.501,5,3
A,mul_cp,12,2.7973,1.3319,2.1,1.4334,1.368,1.5894,1.2397,1.2166,1.3603,1.156,3.0829,0.8746,3.525,3.0403,3.0376,3.0562,0.8776,0.8758,0.8934,3.464,5,3
A,mul_cp,11,2.6155,1.2338,2.12,1.2911,1.2452,1.4251,1.1753,1.1526,1.2208,1.098,2.824,0.8087,3.492,2.7979,2.7969,2.7992,0.8134,0.8083,0.825,3.44,5,3
A,mul_cp,10,2.375,1.1276,2.106,1.2303,1.187,1.2919,1.0012,0.9128,1.1982,1.229,2.5918,0.7631,3.396,2.5702,2.5642,2.5706,0.7514,0.7421,0.7532,3.421,5,3
A,mul_cp,9,2.1696,1.0195,2.128,1.2027,1.1351,1.3849,0.9802,0.9695,1.1739,1.227,2.3594,0.6858,3.44,2.3373,2.337,2.3427,0.6865,0.6849,0.6879,3.405,5,3
A,mul_cp,8,1.9237,0.9239,2.082,1.0266,0.9843,1.1628,0.8414,0.7737,1.0392,1.22,2.1288,0.6207,3.43,2.1032,2.099,2.1046,0.6135,0.6127,0.6162,3.428,5,3
A,mul_cp,7,1.709,0.8239,2.074,1.0167,0.9059,1.1621,0.8159,0.703,0.8979,1.246,1.8856,0.5544,3.401,1.869,1.8655,1.8726,0.5489,0.5458,0.5493,3.405,5,3
A,mul_cp,6,1.4968,0.7265,2.06,0.8772,0.8316,1.1162,0.6548,0.5762,0.7125,1.34,1.6592,0.4867,3.409,1.6392,1.6336,1.6442,0.4846,0.481,0.4849,3.383,5,3
A,mul_cp,5,1.285,0.6153,2.088,0.7667,0.6693,0.9223,0.5493,0.4884,0.6416,1.396,1.4218,0.4164,3.415,1.4066,1.4047,1.4067,0.4169,0.4154,0.4184,3.374,5,3
A,mul_cp,4,1.0612,0.5007,2.119,0.6342,0.5123,0.7537,0.4669,0.3843,0.558,1.358,1.1863,0.3468,3.42,1.1723,1.1723,1.1739,0.3457,0.3448,0.3459,3.391,5,3
A,mul_cp,3,0.8383,0.3828,2.19,0.5829,0.522,0.6876,0.3307,0.3097,0.425,1.763,0.9449,0.2706,3.492,0.9358,0.9345,0.9467,0.2716,0.2705,0.273,3.446,5,3
A,mul_cp,2,0.6173,0.2731,2.261,0.4518,0.4344,0.5598,0.2399,0.2317,0.3027,1.883,0.6971,0.2025,3.442,0.6947,0.6942,0.6954,0.2004,0.1991,0.2027,3.467,5,3
A,mul_cp,1,0.3949,0.1687,2.341,0.3361,0.2743,0.3829,0.159,0.1555,0.2181,2.113,0.4477,0.1133,3.95,0.4418,0.4406,0.4422,0.1113,0.1112,0.113,3.969,5,3
A,mul_cc,12,8.7488,5.2556,1.665,9.102,8.9115,9.2781,5.617,5.4736,6.1741,1.62,6.2675,1.2845,4.879,6.2131,6.2081,6.2192,1.2805,1.2794,1.2901,4.852,5,3
A,mul_cc,11,7.9313,4.8478,1.636,8.1701,8.15,9.8348,4.9883,4.8436,5.1783,1.638,5.8198,1.1932,4.878,5.7224,5.7196,5.7248,1.1941,1.1848,1.2092,4.792,5,3
A,mul_cc,10,7.2356,4.3708,1.655,7.3553,7.2127,7.7508,4.4138,4.3821,4.5626,1.666,5.2863,1.1374,4.648,5.2486,5.2462,5.2492,1.0987,1.0893,1.1025,4.777,5,3
A,mul_cc,9,6.479,3.8604,1.678,6.6096,6.5416,10.2082,3.8125,3.6938,4.0977,1.734,4.8404,1.0037,4.823,4.7733,4.7703,4.7779,1.0031,0.9999,1.0034,4.759,5,3
A,mul_cc,8,5.6992,3.5327,1.613,5.9168,5.8917,6.0491,3.3708,3.2915,3.4996,1.755,4.3351,0.9347,4.638,4.2993,4.2959,4.3165,0.9111,0.9088,0.9117,4.719,5,3
A,mul_cc,7,5.0576,3.0119,1.679,5.2818,5.1435,8.1578,3.014,2.9661,3.0666,1.752,3.8444,0.8212,4.681,3.8166,3.8139,3.8175,0.821,0.8198,0.8411,4.649,5,3
A,mul_cc,6,4.4234,2.6417,1.674,4.6691,4.4744,7.1444,2.5924,2.5555,2.6102,1.801,3.3698,0.7319,4.604,3.3347,3.333,3.3401,0.7296,0.7291,0.7448,4.571,5,3
A,mul_cc,5,3.7783,2.2424,1.685,3.8124,3.635,6.1314,2.1966,2.132,2.546,1.736,2.8814,0.6397,4.504,2.8611,2.8607,2.8611,0.6362,0.6358,0.6368,4.497,5,3
A,mul_cc,4,2.5132,1.1691,2.15,3.1217,3.0175,3.1297,1.8168,1.7783,1.8808,1.718,2.4038,0.543,4.427,2.3839,2.3838,2.3853,0.5434,0.5431,0.5574,4.387,5,3
A,mul_cc,3,1.9877,0.911,2.182,2.518,2.477,2.5744,1.4358,1.4161,1.4951,1.754,1.9223,0.4442,4.328,1.9061,1.9058,1.9087,0.447,0.4462,0.4563,4.264,5,3
A,mul_cc,2,1.4766,0.6611,2.234,1.5399,1.4459,1.5491,0.6284,0.6042,0.6596,2.451,1.43,0.348,4.109,1.4261,1.4259,1.4266,0.3498,0.3487,0.3535,4.076,5,3
A,mul_cc,1,0.9763,0.4122,2.369,1.0057,0.9536,1.0346,0.3933,0.3896,0.4322,2.557,0.9463,0.2479,3.817,0.9478,0.9426,0.9674,0.248,0.2476,0.2486,3.823,5,3
A,mul_cc_rlk,12,87.6897,52.9184,1.657,35.336,34.3752,36.1682,26.4547,24.8506,27.3166,1.336,97.3937,44.9344,2.167,97.2262,97.2006,97.367,43.1496,43.1026,43.2125,2.253,5,3
A,mul_cc_rlk,11,82.5358,49.2816,1.675,34.0673,33.6549,41.3895,27.1573,23.9002,33.41,1.254,84.4237,38.1173,2.215,84.4823,84.4357,84.7471,37.402,37.1801,37.459,2.259,5,3
A,mul_cc_rlk,10,76.3615,45.6897,1.671,33.1384,31.9403,33.3907,23.2316,22.3476,26.3776,1.426,72.8945,32.3418,2.254,72.5968,72.573,72.7829,31.9186,31.5761,32.3074,2.274,5,3
A,mul_cc_rlk,9,56.7328,33.9037,1.673,26.0014,23.4048,27.2733,16.3552,14.6358,17.1722,1.59,61.6593,27.6211,2.232,61.631,61.5018,61.9139,26.8876,26.7372,26.9669,2.292,5,3
A,mul_cc_rlk,8,51.8288,30.871,1.679,24.7298,23.1815,27.4746,14.921,14.4383,16.1006,1.657,51.5179,22.8238,2.257,51.384,51.3317,51.491,22.4785,22.3281,22.5386,2.286,5,3
A,mul_cc_rlk,7,47.5922,28.1127,1.693,25.5099,21.6797,30.6419,15.123,14.3483,15.9993,1.687,42.3276,18.4325,2.296,42.1647,42.0753,42.209,18.4028,18.3582,18.4126,2.291,5,3
A,mul_cc_rlk,6,42.7329,25.2894,1.69,22.4509,21.2254,28.8041,13.8217,12.7812,14.4989,1.624,33.9533,14.9762,2.267,33.759,33.7546,33.7597,14.6756,14.5724,14.81,2.3,5,3
A,mul_cc_rlk,5,37.6827,22.3933,1.683,19.6957,19.2356,24.8157,12.2281,11.9021,12.7786,1.611,26.5235,11.5449,2.297,26.337,26.2409,26.3659,11.4463,11.4018,11.4492,2.301,5,3
A,mul_cc_rlk,4,24.2159,14.135,1.713,13.3959,12.0846,15.212,8.3666,7.7535,8.7879,1.601,19.9649,8.62,2.316,19.7737,19.75,19.8243,8.6443,8.6371,8.6513,2.287,5,3
A,mul_cc_rlk,3,20.3081,11.2133,1.811,12.0668,10.791,13.2785,6.9558,6.753,7.3964,1.735,14.4124,6.3255,2.278,14.2762,14.2612,14.2921,6.3272,6.3255,6.356,2.256,5,3
A,mul_cc_rlk,2,16.7793,9.1832,1.827,11.2732,9.8731,11.523,6.4289,5.9678,7.8024,1.754,9.7106,4.4043,2.205,9.6464,9.6464,9.6521,4.4275,4.3968,4.4418,2.179,5,3
A,mul_cc_rlk,1,13.9405,7.657,1.821,8.678,8.2687,10.8779,4.8006,4.3805,5.1347,1.808,5.9548,2.8566,2.085,5.9136,5.9057,5.9389,2.8628,2.8614,2.8656,2.066,5,3
A,relin,12,84.1485,51.7956,1.625,29.2192,28.1621,30.4957,23.7993,22.517,25.5722,1.228,91.1237,42.0234,2.168,91.2309,90.9868,91.2938,41.4203,41.3684,41.6028,2.203,5,3
A,relin,11,78.2879,47.6522,1.643,28.4266,26.3168,30.4376,22.7795,21.223,24.6518,1.248,79.4994,36.3107,2.189,79.0675,78.9234,79.2283,36.0336,35.6725,36.1245,2.194,5,3
A,relin,10,72.1832,44.2423,1.632,28.7544,23.4469,33.595,19.4748,18.4975,21.6483,1.476,68.0233,31.7193,2.145,67.733,67.6236,67.8137,30.9271,30.6855,31.0779,2.19,5,3
A,relin,9,52.7847,33.0992,1.595,21.9814,19.1668,24.0915,14.6427,14.5902,18.6625,1.501,57.4905,27.3895,2.099,57.1172,57.0882,57.2084,26.1448,26.1209,26.2542,2.185,5,3
A,relin,8,48.7196,30.3148,1.607,20.0817,19.494,22.0166,13.4787,13.3266,15.3951,1.49,47.4586,22.1051,2.147,47.3268,47.3156,47.3574,21.7624,21.669,21.9383,2.175,5,3
A,relin,7,43.7216,27.472,1.591,20.9584,18.5523,22.5784,13.2325,12.4869,14.5067,1.584,38.7534,17.9894,2.154,38.6101,38.584,38.6648,17.7897,17.7146,17.8479,2.17,5,3
A,relin,6,39.915,24.7283,1.614,17.9812,17.0893,20.0289,12.0339,11.7185,12.8966,1.494,30.9002,14.4916,2.132,30.7043,30.6195,30.7325,14.1588,14.1483,14.1957,2.169,5,3
A,relin,5,35.7845,21.8536,1.637,16.7874,15.0772,17.2799,11.3866,10.6335,12.2246,1.474,23.8471,11.1317,2.142,23.669,23.6288,23.6975,11.0693,11.0008,11.0804,2.138,5,3
A,relin,4,23.2242,14.2494,1.63,11.853,10.3675,12.6135,7.6818,7.1516,8.7077,1.543,17.7388,8.3407,2.127,17.6846,17.6129,17.7531,8.3047,8.271,8.3698,2.129,5,3
A,relin,3,19.382,11.4092,1.699,11.1544,8.957,11.3418,7.1402,6.6842,8.074,1.562,12.647,6.0908,2.076,12.5508,12.5375,12.5554,6.0586,6.0414,6.0718,2.072,5,3
A,relin,2,15.5472,8.5323,1.822,9.3166,9.2068,11.1869,6.256,5.98,6.9615,1.489,8.4391,4.1964,2.011,8.3728,8.3694,8.3794,4.1899,4.1807,4.2186,1.998,5,3
A,relin,1,12.9802,7.3259,1.772,8.0698,6.6295,10.3304,4.3725,4.1885,4.673,1.846,5.1077,2.6896,1.899,5.0571,5.0557,5.0586,2.7001,2.6856,2.703,1.873,5,3
A,rescale,12,15.0777,3.0215,4.99,3.4215,2.985,3.8908,1.2226,1.1347,1.2395,2.799,10.4712,3.8124,2.747,10.3482,10.3457,10.3728,3.708,3.7006,3.7111,2.791,5,3
A,rescale,11,13.9452,2.7479,5.075,3.7321,2.9206,3.8367,1.1978,1.0804,1.2552,3.116,9.6652,3.4186,2.827,9.5261,9.5244,9.5294,3.4297,3.4249,3.4536,2.778,5,3
A,rescale,10,12.975,2.5327,5.123,3.7363,2.9306,3.8053,1.0622,1.0163,1.1181,3.517,8.8149,3.1723,2.779,8.7216,8.7191,8.7295,3.1403,3.1186,3.1467,2.777,5,3
A,rescale,9,11.4083,2.3121,4.934,3.2639,3.0021,3.6045,1.0762,0.9944,1.105,3.033,7.9889,2.8594,2.794,7.8887,7.8804,7.894,2.845,2.8432,2.8714,2.773,5,3
A,rescale,8,10.2918,2.1014,4.897,3.5206,2.7782,3.6609,0.9788,0.931,1.1841,3.597,7.1658,2.5627,2.796,7.0745,7.0725,7.0795,2.5666,2.5625,2.575,2.756,5,3
A,rescale,7,9.0354,1.8732,4.823,3.5207,3.069,3.5984,0.9173,0.8907,0.9762,3.838,6.3522,2.2933,2.77,6.2677,6.2653,6.2719,2.2806,2.2763,2.2937,2.748,5,3
A,rescale,6,7.9684,1.6701,4.771,3.3053,2.6794,4.0195,0.8418,0.8276,0.8421,3.927,5.5367,2.0263,2.732,5.4694,5.462,5.4756,2.0088,2.0067,2.025,2.723,5,3
A,rescale,5,6.6475,1.4324,4.641,2.8674,2.3592,3.4781,0.7946,0.7856,0.8015,3.609,4.7204,1.7328,2.724,4.6624,4.6527,4.6684,1.7187,1.7165,1.7246,2.713,5,3
A,rescale,4,5.576,1.21,4.608,2.6511,2.3394,3.3344,0.6868,0.6785,0.7949,3.86,3.8956,1.4227,2.738,3.8451,3.8406,3.8476,1.4293,1.4253,1.4393,2.69,5,3
A,rescale,3,4.2693,0.9713,4.395,2.3726,2.3416,3.2279,0.6595,0.6506,0.7365,3.597,3.0646,1.1276,2.718,3.0247,3.0162,3.0263,1.1265,1.1248,1.1309,2.685,5,3
A,rescale,2,3.1857,0.7851,4.058,2.3171,2.2925,3.2227,0.5804,0.5761,0.6353,3.992,2.2345,0.8214,2.72,2.1985,2.1977,2.201,0.8252,0.8252,0.8305,2.664,5,3
A,rescale,1,1.8666,0.508,3.674,1.8629,1.8505,1.9069,0.4979,0.4967,0.5036,3.741,1.3892,0.5384,2.58,1.3838,1.3833,1.3861,0.5388,0.5368,0.5421,2.568,5,3
A,rot1,12,81.4347,49.8382,1.634,28.3281,25.1311,30.0866,22.0757,21.6514,23.5152,1.283,92.2857,44.2935,2.084,91.9801,91.8823,92.0814,42.9186,42.704,43.0204,2.143,5,3
A,rot1,11,75.828,46.0652,1.646,27.1633,25.8951,29.6295,20.6691,19.6913,23.1962,1.314,79.7482,37.8697,2.106,79.7065,79.6705,79.7222,37.0887,36.7805,37.1909,2.149,5,3
A,rot1,10,70.7786,42.6646,1.659,25.6062,24.2151,30.3652,19.1677,18.1611,22.0469,1.336,68.2123,32.1839,2.119,67.9732,67.8728,67.9746,31.625,31.4159,31.6727,2.149,5,3
A,rot1,9,50.911,30.9745,1.644,20.0822,18.3717,21.1223,13.9162,12.8457,15.5149,1.443,57.7823,27.4392,2.106,57.4485,57.4344,57.5259,26.6266,26.515,26.8858,2.158,5,3
A,rot1,8,46.9543,28.3812,1.654,19.0624,16.8373,20.3785,12.9644,12.0073,15.2352,1.47,47.7864,22.5149,2.122,47.7271,47.7084,47.7604,22.1566,22.1253,22.1912,2.154,5,3
A,rot1,7,42.7883,26.0378,1.643,18.744,16.4722,21.2582,11.999,11.6863,12.1742,1.562,38.9987,18.5299,2.105,38.9446,38.9407,38.9648,18.1299,18.1067,18.1724,2.148,5,3
A,rot1,6,39.0345,23.3852,1.669,17.3593,15.6161,20.607,11.7355,10.9703,13.4304,1.479,31.0411,14.9765,2.073,30.9984,30.968,31.0716,14.3892,14.3239,14.4362,2.154,5,3
A,rot1,5,34.71,20.8861,1.662,15.8825,13.8454,18.0462,10.4815,10.1675,11.5506,1.515,24.0523,11.2562,2.137,23.8136,23.7983,23.8491,11.2253,11.1684,11.2384,2.121,5,3
A,rot1,4,21.7986,12.7264,1.713,10.2635,9.9719,11.6128,6.9795,6.9039,7.3465,1.471,17.9139,8.5297,2.1,17.7504,17.7379,17.765,8.4305,8.425,8.442,2.106,5,3
A,rot1,3,18.2151,10.1708,1.791,10.8061,9.1999,11.4752,6.4977,5.9203,7.3442,1.663,12.771,6.1954,2.061,12.6819,12.6796,12.687,6.1631,6.1516,6.1926,2.058,5,3
A,rot1,2,15.6473,8.717,1.795,8.7121,8.0356,10.0254,5.6642,4.6365,5.9217,1.538,8.5051,4.2854,1.985,8.462,8.4566,8.4632,4.2516,4.2479,4.2783,1.99,5,3
A,rot1,1,13.1143,7.4539,1.759,7.8253,7.3488,9.4908,4.7593,4.5115,5.5313,1.644,5.1608,2.7323,1.889,5.118,5.1092,5.1284,2.7337,2.7336,2.7395,1.872,5,3
