mode,library,op,level,mean_ms,lo_ms,hi_ms,kind,logP
1t,lattigo,add_cp,3,0.164168,0.158983,0.169353,std,300
1t,lattigo,mul_cp,3,0.459608,0.44616100000000003,0.473055,std,300
1t,lattigo,mul_cc,3,1.006057,0.992314,1.0198,std,300
1t,lattigo,mul_cc_rlk,3,14.655561,14.20705,15.104072,std,300
1t,lattigo,relin,3,13.509415,13.373816000000001,13.645014,std,300
1t,lattigo,rescale,3,2.746765,2.652975,2.8405549999999997,std,300
1t,lattigo,rot1,3,13.494173,13.425799,13.562547,std,300
1t,lattigo,add_cc,2,0.149538,0.144875,0.154201,std,300
1t,lattigo,add_cp,2,0.12331600000000001,0.118372,0.12826,std,300
1t,lattigo,mul_cp,2,0.342215,0.332659,0.351771,std,300
1t,lattigo,mul_cc,2,0.748447,0.731779,0.765115,std,300
1t,lattigo,mul_cc_rlk,2,12.927884,12.537495,13.318273000000001,std,300
1t,lattigo,relin,2,11.739132999999999,11.660746999999999,11.817518999999999,std,300
1t,lattigo,rescale,2,2.060383,1.9656409999999997,2.155125,std,300
1t,lattigo,rot1,2,11.758040000000001,11.708114000000002,11.807966,std,300
1t,lattigo,add_cc,1,0.094959,0.091352,0.098566,std,300
1t,lattigo,add_cp,1,0.068908,0.06636399999999999,0.071452,std,300
1t,lattigo,mul_cp,1,0.21943600000000002,0.21105500000000002,0.22781700000000002,std,300
1t,lattigo,mul_cc,1,0.485334,0.47262,0.498048,std,300
1t,lattigo,mul_cc_rlk,1,10.769152,10.44439,11.093914,std,300
1t,lattigo,relin,1,10.043458000000001,10.015247,10.071669000000002,std,300
1t,lattigo,rescale,1,1.3700899999999998,1.3507059999999997,1.3894739999999999,std,300
1t,lattigo,rot1,1,10.071563,9.968821,10.174304999999999,std,300
1t,openfhe,add_cc,12,1.531081,1.469244,1.5929179999999998,std,240
1t,openfhe,add_cp,12,1.3703040000000002,1.3488050000000003,1.3918030000000001,std,240
1t,openfhe,mul_cp,12,1.331914,1.318592,1.345236,std,240
1t,openfhe,mul_cc,12,5.255581,5.169852000000001,5.34131,std,240
1t,openfhe,mul_cc_rlk,12,52.918406000000004,52.27985700000001,53.556955,std,240
1t,openfhe,relin,12,51.795604,50.974025999999995,52.617182,std,240
1t,openfhe,rescale,12,3.021493,2.965049,3.077937,std,240
1t,openfhe,rot1,12,49.838248,49.089996,50.5865,std,240
1t,openfhe,add_cc,11,1.300094,1.284357,1.3158310000000002,std,240
1t,openfhe,add_cp,11,1.266098,1.255135,1.277061,std,240
1t,openfhe,mul_cp,11,1.233788,1.2226190000000001,1.244957,std,240
1t,openfhe,mul_cc,11,4.847834,4.728066999999999,4.967601,std,240
1t,openfhe,mul_cc_rlk,11,49.281614000000005,48.791392,49.77183600000001,std,240
1t,openfhe,relin,11,47.652186,46.97559,48.328782000000004,std,240
1t,openfhe,rescale,11,2.747874,2.708887,2.786861,std,240
1t,openfhe,rot1,11,46.065159,45.442748,46.68757,std,240
1t,openfhe,add_cc,10,1.19101,1.179506,1.2025139999999999,std,240
1t,openfhe,add_cp,10,1.15085,1.139772,1.1619279999999998,std,240
1t,openfhe,mul_cp,10,1.127619,1.113055,1.142183,std,240
1t,openfhe,mul_cc,10,4.370761000000001,4.2736410000000005,4.467881000000001,std,240
1t,openfhe,mul_cc_rlk,10,45.689656,45.080939,46.298373,std,240
1t,openfhe,relin,10,44.242297,43.73955,44.745044,std,240
1t,openfhe,rescale,10,2.532691,2.502493,2.5628889999999998,std,240
1t,openfhe,rot1,10,42.664601000000005,41.815712000000005,43.513490000000004,std,240
1t,openfhe,add_cc,9,1.083442,1.072562,1.094322,std,240
1t,openfhe,add_cp,9,1.024381,1.014037,1.034725,std,240
1t,openfhe,mul_cp,9,1.019489,1.011026,1.0279520000000002,std,240
1t,openfhe,mul_cc,9,3.8604160000000003,3.818499,3.9023330000000005,std,240
1t,openfhe,mul_cc_rlk,9,33.90368,33.243381,34.563979,std,240
1t,openfhe,relin,9,33.099163999999995,32.525099,33.67322899999999,std,240
1t,openfhe,rescale,9,2.312118,2.280096,2.34414,std,240
1t,openfhe,rot1,9,30.974546999999998,30.514083999999997,31.43501,std,240
1t,openfhe,add_cc,8,0.972818,0.960874,0.9847619999999999,std,240
1t,openfhe,add_cp,8,0.931531,0.922054,0.941008,std,240
1t,openfhe,mul_cp,8,0.923944,0.9154789999999999,0.932409,std,240
1t,openfhe,mul_cc,8,3.532699,3.094838,3.97056,std,240
1t,openfhe,mul_cc_rlk,8,30.871003,30.407447,31.334559000000002,std,240
1t,openfhe,relin,8,30.314798,29.634581999999998,30.995014,std,240
1t,openfhe,rescale,8,2.101444,2.06722,2.135668,std,240
1t,openfhe,rot1,8,28.38118,28.070553,28.691807,std,240
1t,openfhe,add_cc,7,0.865013,0.8554470000000001,0.874579,std,240
1t,openfhe,add_cp,7,0.827039,0.815484,0.838594,std,240
1t,openfhe,mul_cp,7,0.8239310000000001,0.8153020000000001,0.8325600000000001,std,240
1t,openfhe,mul_cc,7,3.0118519999999998,2.9987389999999996,3.024965,std,240
1t,openfhe,mul_cc_rlk,7,28.112724999999998,27.700744999999998,28.524704999999997,std,240
1t,openfhe,relin,7,27.471992999999998,26.770653999999997,28.173332,std,240
1t,openfhe,rescale,7,1.8732419999999999,1.841006,1.9054779999999998,std,240
1t,openfhe,rot1,7,26.037838,25.642504000000002,26.433172,std,240
1t,openfhe,add_cc,6,0.762452,0.7513770000000001,0.773527,std,240
1t,openfhe,add_cp,6,0.716173,0.707892,0.7244539999999999,std,240
1t,openfhe,mul_cp,6,0.726525,0.704939,0.748111,std,240
1t,openfhe,mul_cc,6,2.641685,2.5950279999999997,2.688342,std,240
1t,openfhe,mul_cc_rlk,6,25.289362,24.723962,25.854762,std,240
1t,openfhe,relin,6,24.728286,24.271168,25.185404000000002,std,240
1t,openfhe,rescale,6,1.6701020000000002,1.6260250000000003,1.7141790000000001,std,240
1t,openfhe,rot1,6,23.385168,23.066101,23.704235,std,240
1t,openfhe,add_cc,5,0.647216,0.6383570000000001,0.656075,std,240
1t,openfhe,add_cp,5,0.5981420000000001,0.5894950000000001,0.606789,std,240
1t,openfhe,mul_cp,5,0.615324,0.608733,0.621915,std,240
1t,openfhe,mul_cc,5,2.242435,2.229596,2.255274,std,240
1t,openfhe,mul_cc_rlk,5,22.393348999999997,21.903629999999996,22.883067999999998,std,240
1t,openfhe,relin,5,21.853589,21.493539,22.213639,std,240
1t,openfhe,rescale,5,1.432395,1.4039130000000002,1.460877,std,240
1t,openfhe,rot1,5,20.886129,20.55296,21.219298000000002,std,240
1t,openfhe,add_cc,4,0.539867,0.532471,0.5472629999999999,std,240
1t,openfhe,add_cp,4,0.475802,0.469124,0.48248,std,240
1t,openfhe,mul_cp,4,0.50074,0.49223599999999995,0.5092439999999999,std,240
1t,openfhe,mul_cc,4,1.169096,1.154626,1.183566,std,240
1t,openfhe,mul_cc_rlk,4,14.135029000000001,13.776280000000002,14.493778,std,240
1t,openfhe,relin,4,14.249431000000001,14.099058000000001,14.399804000000001,std,240
1t,openfhe,rescale,4,1.2100199999999999,1.1846409999999998,1.235399,std,240
1t,openfhe,rot1,4,12.726409,12.572668,12.88015,std,240
1t,openfhe,add_cc,3,0.431987,0.423365,0.44060900000000003,std,240
1t,openfhe,add_cp,3,0.363608,0.354252,0.37296399999999996,std,240
1t,openfhe,mul_cp,3,0.382838,0.376604,0.38907200000000003,std,240
1t,openfhe,mul_cc,3,0.911043,0.899722,0.9223640000000001,std,240
1t,openfhe,mul_cc_rlk,3,11.213305,11.077138,11.349472,std,240
1t,openfhe,relin,3,11.409243,11.281537,11.536949,std,240
1t,openfhe,rescale,3,0.97134,0.949763,0.9929169999999999,std,240
1t,openfhe,rot1,3,10.17083,10.091428,10.250232,std,240
1t,openfhe,add_cc,2,0.31615499999999996,0.309924,0.32238599999999995,std,240
1t,openfhe,add_cp,2,0.25408000000000003,0.24782400000000002,0.260336,std,240
1t,openfhe,mul_cp,2,0.27305900000000005,0.26709000000000005,0.27902800000000005,std,240
1t,openfhe,mul_cc,2,0.661105,0.6509360000000001,0.671274,std,240
1t,openfhe,mul_cc_rlk,2,9.183238,9.118276999999999,9.248199,std,240
1t,openfhe,relin,2,8.532337,8.471771,8.592903,std,240
1t,openfhe,rescale,2,0.785146,0.534602,1.03569,std,240
1t,openfhe,rot1,2,8.716961,8.673909,8.760012999999999,std,240
1t,openfhe,add_cc,1,0.194615,0.189283,0.199947,std,240
1t,openfhe,add_cp,1,0.16153,0.15562900000000002,0.167431,std,240
1t,openfhe,mul_cp,1,0.168671,0.163983,0.17335899999999999,std,240
1t,openfhe,mul_cc,1,0.412175,0.403756,0.420594,std,240
1t,openfhe,mul_cc_rlk,1,7.65698,7.601339,7.7126209999999995,std,240
1t,openfhe,relin,1,7.325876,7.290088,7.361664,std,240
1t,openfhe,rescale,1,0.508011,0.49344899999999997,0.522573,std,240
1t,openfhe,rot1,1,7.453869,7.370278,7.53746,std,240
1t,seal,add_cc,12,0.8409070000000001,0.8347040000000001,0.84711,std,60
1t,seal,add_cp,12,0.630437,0.6232260000000001,0.637648,std,60
1t,seal,mul_cp,12,0.874604,0.8629340000000001,0.886274,std,60
1t,seal,mul_cc,12,1.2845,1.26673,1.30227,std,60
1t,seal,mul_cc_rlk,12,44.934423,43.844559000000004,46.024287,std,60
1t,seal,relin,12,42.023417,41.597444,42.44939,std,60
1t,seal,rescale,12,3.81241,3.685778,3.9390419999999997,std,60
1t,seal,rot1,12,44.293506,43.632595,44.954417,std,60
1t,seal,add_cc,11,0.7799320000000001,0.7632470000000001,0.796617,std,60
1t,seal,add_cp,11,0.582423,0.573186,0.5916600000000001,std,60
1t,seal,mul_cp,11,0.8086720000000001,0.803984,0.8133600000000001,std,60
1t,seal,mul_cc,11,1.193165,1.1773390000000001,1.208991,std,60
1t,seal,mul_cc_rlk,11,38.117256999999995,37.656591999999996,38.577921999999994,std,60
1t,seal,relin,11,36.310696,36.00086,36.620532,std,60
1t,seal,rescale,11,3.4185909999999997,3.3858719999999995,3.45131,std,60
1t,seal,rot1,11,37.869698,37.233899,38.505497,std,60
1t,seal,add_cc,10,0.723795,0.7166629999999999,0.730927,std,60
1t,seal,add_cp,10,0.5456559999999999,0.5371259999999999,0.554186,std,60
1t,seal,mul_cp,10,0.763123,0.7526889999999999,0.773557,std,60
1t,seal,mul_cc,10,1.137435,1.120227,1.1546429999999999,std,60
1t,seal,mul_cc_rlk,10,32.341758,32.010114,32.673401999999996,std,60
1t,seal,relin,10,31.719302,31.24534,32.193264,std,60
1t,seal,rescale,10,3.172257,3.099504,3.24501,std,60
1t,seal,rot1,10,32.183899000000004,31.705412000000003,32.662386000000005,std,60
1t,seal,add_cc,9,0.651464,0.644476,0.658452,std,60
1t,seal,add_cp,9,0.490006,0.484739,0.495273,std,60
1t,seal,mul_cp,9,0.685787,0.676388,0.6951860000000001,std,60
1t,seal,mul_cc,9,1.00371,0.9916940000000001,1.0157260000000001,std,60
1t,seal,mul_cc_rlk,9,27.621078,27.211626,28.030530000000002,std,60
1t,seal,relin,9,27.389484,26.579429,28.199538999999998,std,60
1t,seal,rescale,9,2.859436,2.8218110000000003,2.897061,std,60
1t,seal,rot1,9,27.439224,27.063461999999998,27.814986,std,60
1t,seal,add_cc,8,0.5865370000000001,0.579123,0.5939510000000001,std,60
1t,seal,add_cp,8,0.43835599999999997,0.43175899999999995,0.444953,std,60
1t,seal,mul_cp,8,0.620735,0.610481,0.630989,std,60
1t,seal,mul_cc,8,0.934745,0.921892,0.947598,std,60
1t,seal,mul_cc_rlk,8,22.823775,22.510994,23.136556000000002,std,60
1t,seal,relin,8,22.105117,21.834267,22.375967,std,60
1t,seal,rescale,8,2.562729,2.529293,2.596165,std,60
1t,seal,rot1,8,22.514855,22.275703,22.754007,std,60
1t,seal,add_cc,7,0.5227609999999999,0.5165379999999999,0.5289839999999999,std,60
1t,seal,add_cp,7,0.39037299999999997,0.38558299999999995,0.395163,std,60
1t,seal,mul_cp,7,0.554366,0.546169,0.562563,std,60
1t,seal,mul_cc,7,0.821225,0.810533,0.831917,std,60
1t,seal,mul_cc_rlk,7,18.432539000000002,18.318828000000003,18.54625,std,60
1t,seal,relin,7,17.989397,17.743657,18.235137,std,60
1t,seal,rescale,7,2.293286,2.260818,2.3257540000000003,std,60
1t,seal,rot1,7,18.529872,18.260771000000002,18.798973,std,60
1t,seal,add_cc,6,0.453577,0.4484,0.458754,std,60
1t,seal,add_cp,6,0.337735,0.333478,0.341992,std,60
1t,seal,mul_cp,6,0.48667200000000005,0.47924700000000003,0.49409700000000006,std,60
1t,seal,mul_cc,6,0.731861,0.720594,0.743128,std,60
1t,seal,mul_cc_rlk,6,14.976223,14.744371999999998,15.208074,std,60
1t,seal,relin,6,14.491589,14.277612999999999,14.705565,std,60
1t,seal,rescale,6,2.02628,1.973166,2.0793939999999997,std,60
1t,seal,rot1,6,14.976471,14.613665000000001,15.339277,std,60
1t,seal,add_cc,5,0.38981,0.38293099999999997,0.396689,std,60
1t,seal,add_cp,5,0.28710800000000003,0.28252200000000005,0.291694,std,60
1t,seal,mul_cp,5,0.41638099999999995,0.40913399999999994,0.42362799999999995,std,60
1t,seal,mul_cc,5,0.639725,0.6287429999999999,0.650707,std,60
1t,seal,mul_cc_rlk,5,11.544861999999998,11.436824999999999,11.652898999999998,std,60
1t,seal,relin,5,11.131717,11.000248000000001,11.263186,std,60
1t,seal,rescale,5,1.732814,1.6491630000000002,1.816465,std,60
1t,seal,rot1,5,11.256241,11.180409,11.332073,std,60
1t,seal,add_cc,4,0.322793,0.318269,0.32731699999999997,std,60
1t,seal,add_cp,4,0.232541,0.228543,0.236539,std,60
1t,seal,mul_cp,4,0.346833,0.340711,0.352955,std,60
1t,seal,mul_cc,4,0.54299,0.533401,0.5525789999999999,std,60
1t,seal,mul_cc_rlk,4,8.619952999999999,8.578852999999999,8.661052999999999,std,60
1t,seal,relin,4,8.340739,8.257193,8.424285,std,60
1t,seal,rescale,4,1.422704,1.39741,1.447998,std,60
1t,seal,rot1,4,8.529725000000001,8.476403000000001,8.583047,std,60
1t,seal,add_cc,3,0.25633100000000003,0.252394,0.26026800000000005,std,60
1t,seal,add_cp,3,0.178846,0.175466,0.182226,std,60
1t,seal,mul_cp,3,0.2706,0.264766,0.276434,std,60
1t,seal,mul_cc,3,0.444168,0.434861,0.453475,std,60
1t,seal,mul_cc_rlk,3,6.325463,6.2701,6.380826,std,60
1t,seal,relin,3,6.0908109999999995,6.036847999999999,6.144774,std,60
1t,seal,rescale,3,1.127625,1.0994750000000002,1.155775,std,60
1t,seal,rot1,3,6.195435000000001,6.118599000000001,6.272271000000001,std,60
1t,seal,add_cc,2,0.187494,0.183996,0.190992,std,60
1t,seal,add_cp,2,0.123572,0.120589,0.126555,std,60
1t,seal,mul_cp,2,0.20251,0.197471,0.20754899999999998,std,60
1t,seal,mul_cc,2,0.348021,0.340457,0.35558500000000004,std,60
1t,seal,mul_cc_rlk,2,4.404262,4.383444,4.42508,std,60
1t,seal,relin,2,4.19637,4.168332,4.2244079999999995,std,60
1t,seal,rescale,2,0.8214389999999999,0.8047909999999999,0.8380869999999999,std,60
1t,seal,rot1,2,4.285397,4.213577,4.3572169999999995,std,60
1t,seal,add_cc,1,0.087575,0.084596,0.090554,std,60
1t,seal,add_cp,1,0.057018,0.053956,0.06008,std,60
1t,seal,mul_cp,1,0.113329,0.108821,0.117837,std,60
1t,seal,mul_cc,1,0.247942,0.24007499999999998,0.255809,std,60
1t,seal,mul_cc_rlk,1,2.8566480000000003,2.8229930000000003,2.8903030000000003,std,60
1t,seal,relin,1,2.6895700000000002,2.6628170000000004,2.716323,std,60
1t,seal,rescale,1,0.538359,0.522081,0.554637,std,60
1t,seal,rot1,1,2.732328,2.70397,2.7606859999999998,std,60
mt,lattigo,add_cc,12,0.620875,0.6076039999999999,0.634146,std,300
mt,lattigo,add_cp,12,0.5098659999999999,0.49740899999999993,0.522323,std,300
mt,lattigo,mul_cp,12,1.2486469999999998,1.2291389999999998,1.268155,std,300
mt,lattigo,mul_cc,12,2.836707,2.7387360000000003,2.934678,std,300
mt,lattigo,mul_cc_rlk,12,54.310514000000005,53.911716000000006,54.709312000000004,std,300
mt,lattigo,relin,12,49.716628,49.299432,50.133824,std,300
mt,lattigo,rescale,12,8.822727,8.766931,8.878523000000001,std,300
mt,lattigo,rot1,12,49.674949999999995,49.17581499999999,50.174085,std,300
mt,lattigo,add_cc,11,0.581553,0.541621,0.621485,std,300
mt,lattigo,add_cp,11,0.471157,0.461182,0.481132,std,300
mt,lattigo,mul_cp,11,1.162639,1.146249,1.1790289999999999,std,300
mt,lattigo,mul_cc,11,2.528428,2.464954,2.5919019999999997,std,300
mt,lattigo,mul_cc_rlk,11,51.106076,50.757047,51.455105,std,300
mt,lattigo,relin,11,47.027078,46.243735,47.810421000000005,std,300
mt,lattigo,rescale,11,8.143418,8.075017,8.211819,std,300
mt,lattigo,rot1,11,46.631368,46.318599,46.944137000000005,std,300
mt,lattigo,add_cc,10,0.522166,0.512318,0.532014,std,300
mt,lattigo,add_cp,10,0.43294,0.423064,0.442816,std,300
mt,lattigo,mul_cp,10,1.074219,1.03767,1.110768,std,300
mt,lattigo,mul_cc,10,2.335195,2.275021,2.395369,std,300
mt,lattigo,mul_cc_rlk,10,49.705535000000005,49.301359000000005,50.109711000000004,std,300
mt,lattigo,relin,10,45.639091,45.115783,46.162399,std,300
mt,lattigo,rescale,10,7.43201,7.398944,7.465076,std,300
mt,lattigo,rot1,10,45.455262000000005,45.034459000000005,45.876065000000004,std,300
mt,lattigo,add_cc,9,0.476833,0.466442,0.487224,std,300
mt,lattigo,add_cp,9,0.395185,0.385753,0.404617,std,300
mt,lattigo,mul_cp,9,0.960739,0.938442,0.983036,std,300
mt,lattigo,mul_cc,9,2.124783,2.078395,2.1711709999999997,std,300
mt,lattigo,mul_cc_rlk,9,36.469996,36.222625,36.717367,std,300
mt,lattigo,relin,9,33.303165,32.817152,33.789178,std,300
mt,lattigo,rescale,9,6.800153,6.695009,6.905297,std,300
mt,lattigo,rot1,9,32.9254,32.592144000000005,33.258656,std,300
mt,lattigo,add_cc,8,0.431809,0.419274,0.444344,std,300
mt,lattigo,add_cp,8,0.355054,0.34685499999999997,0.363253,std,300
mt,lattigo,mul_cp,8,0.857311,0.8428380000000001,0.871784,std,300
mt,lattigo,mul_cc,8,1.882572,1.8360729999999998,1.929071,std,300
mt,lattigo,mul_cc_rlk,8,33.641886,33.319978,33.963794,std,300
mt,lattigo,relin,8,30.542971,30.278706,30.807236000000003,std,300
mt,lattigo,rescale,8,6.091505,6.057855,6.1251549999999995,std,300
mt,lattigo,rot1,8,30.43846,30.139965,30.736955,std,300
mt,lattigo,add_cc,7,0.383487,0.370985,0.39598900000000004,std,300
mt,lattigo,add_cp,7,0.317476,0.308521,0.32643099999999997,std,300
mt,lattigo,mul_cp,7,0.7662519999999999,0.7446579999999999,0.7878459999999999,std,300
mt,lattigo,mul_cc,7,1.653866,1.6241830000000002,1.683549,std,300
mt,lattigo,mul_cc_rlk,7,30.120022000000002,29.790672,30.449372000000004,std,300
mt,lattigo,relin,7,27.596095000000002,27.348788000000003,27.843402,std,300
mt,lattigo,rescale,7,5.441109,5.396234,5.485984,std,300
mt,lattigo,rot1,7,27.961766,27.331077,28.592455,std,300
mt,lattigo,add_cc,6,0.333706,0.322509,0.344903,std,300
mt,lattigo,add_cp,6,0.27414,0.265453,0.282827,std,300
mt,lattigo,mul_cp,6,0.6742859999999999,0.6492319999999999,0.69934,std,300
mt,lattigo,mul_cc,6,1.4657170000000002,1.4429220000000003,1.488512,std,300
mt,lattigo,mul_cc_rlk,6,27.51616,27.259231,27.773089,std,300
mt,lattigo,relin,6,25.341909,25.088813000000002,25.595005,std,300
mt,lattigo,rescale,6,4.763715,4.728035,4.7993950000000005,std,300
mt,lattigo,rot1,6,25.388845,25.174852,25.602838,std,300
mt,lattigo,add_cc,5,0.286483,0.275935,0.297031,std,300
mt,lattigo,add_cp,5,0.234509,0.226592,0.242426,std,300
mt,lattigo,mul_cp,5,0.581566,0.5635720000000001,0.59956,std,300
mt,lattigo,mul_cc,5,1.230317,1.206198,1.254436,std,300
mt,lattigo,mul_cc_rlk,5,25.097944,24.751009,25.444878999999997,std,300
mt,lattigo,relin,5,23.31858,22.967483,23.669677,std,300
mt,lattigo,rescale,5,4.083302,4.049348,4.117255999999999,std,300
mt,lattigo,rot1,5,23.274548,22.987139,23.561957,std,300
mt,lattigo,add_cc,4,0.240254,0.230942,0.24956599999999998,std,300
mt,lattigo,add_cp,4,0.193286,0.186373,0.20019900000000002,std,300
mt,lattigo,mul_cp,4,0.465764,0.45366300000000004,0.477865,std,300
mt,lattigo,mul_cc,4,1.018193,0.991767,1.044619,std,300
mt,lattigo,mul_cc_rlk,4,16.869504,16.586668,17.15234,std,300
mt,lattigo,relin,4,15.518113999999999,15.293382999999999,15.742844999999999,std,300
mt,lattigo,rescale,4,3.410373,3.3618349999999997,3.458911,std,300
mt,lattigo,rot1,4,15.538173,15.270697,15.805649,std,300
mt,lattigo,add_cc,3,0.199126,0.191546,0.206706,std,300
mt,lattigo,add_cp,3,0.155605,0.150837,0.160373,std,300
mt,lattigo,mul_cp,3,0.36867300000000003,0.359613,0.37773300000000004,std,300
mt,lattigo,mul_cc,3,0.793689,0.781701,0.805677,std,300
mt,lattigo,mul_cc_rlk,3,14.591462,14.384375,14.798549,std,300
mt,lattigo,relin,3,13.51993,13.20268,13.83718,std,300
mt,lattigo,rescale,3,2.716285,2.689552,2.743018,std,300
mt,lattigo,rot1,3,13.738187,13.541902,13.934472,std,300
mt,lattigo,add_cc,2,0.14438399999999998,0.139701,0.14906699999999998,std,300
mt,lattigo,add_cp,2,0.11814100000000001,0.11333800000000001,0.12294400000000001,std,300
mt,lattigo,mul_cp,2,0.336223,0.325845,0.346601,std,300
mt,lattigo,mul_cc,2,0.6964389999999999,0.6443209999999999,0.7485569999999999,std,300
mt,lattigo,mul_cc_rlk,2,12.50444,12.388146,12.620734,std,300
mt,lattigo,relin,2,11.782354999999999,11.711848,11.852861999999998,std,300
mt,lattigo,rescale,2,2.038837,2.017653,2.060021,std,300
