library,logN,q0,delta,depth,QCount,logQ,PCount,logP,dnum,maxDigitBits,logQP,bound,margin,ok,err,digits
lattigo,14,60,47,4,5,248,2,120,3,107,368,438,70,1,,L4=3;L3=2;L2=2;L1=1
lattigo,14,60,47,4,5,248,3,180,2,154,428,438,10,1,,L4=2;L3=2;L2=1;L1=1
lattigo,14,60,47,4,5,248,4,240,2,201,488,438,-50,1,,L4=2;L3=1;L2=1;L1=1
lattigo,14,60,47,4,5,248,5,300,1,248,548,438,-110,1,,L4=1;L3=1;L2=1;L1=1
lattigo,14,60,48,4,5,252,1,60,5,60,312,438,126,1,,L4=5;L3=4;L2=3;L1=2
lattigo,14,60,48,4,5,252,2,120,3,108,372,438,66,1,,L4=3;L3=2;L2=2;L1=1
lattigo,14,60,48,4,5,252,3,180,2,156,432,438,6,1,,L4=2;L3=2;L2=1;L1=1
lattigo,14,60,48,4,5,252,4,240,2,204,492,438,-54,1,,L4=2;L3=1;L2=1;L1=1
lattigo,14,60,48,4,5,252,5,300,1,252,552,438,-114,1,,L4=1;L3=1;L2=1;L1=1
lattigo,14,60,49,4,5,256,1,60,5,60,316,438,122,1,,L4=5;L3=4;L2=3;L1=2
lattigo,14,60,49,4,5,256,2,120,3,109,376,438,62,1,,L4=3;L3=2;L2=2;L1=1
lattigo,14,60,49,4,5,256,3,180,2,158,436,438,2,1,,L4=2;L3=2;L2=1;L1=1
lattigo,14,60,49,4,5,256,4,240,2,207,496,438,-58,1,,L4=2;L3=1;L2=1;L1=1
lattigo,14,60,49,4,5,256,5,300,1,256,556,438,-118,1,,L4=1;L3=1;L2=1;L1=1
lattigo,14,60,50,4,5,260,1,60,5,60,320,438,118,1,,L4=5;L3=4;L2=3;L1=2
lattigo,14,60,50,4,5,260,2,120,3,110,380,438,58,1,,L4=3;L3=2;L2=2;L1=1
lattigo,14,60,50,4,5,260,3,180,2,160,440,438,-2,1,,L4=2;L3=2;L2=1;L1=1
lattigo,14,60,50,4,5,260,4,240,2,210,500,438,-62,1,,L4=2;L3=1;L2=1;L1=1
lattigo,14,60,50,4,5,260,5,300,1,260,560,438,-122,1,,L4=1;L3=1;L2=1;L1=1
lattigo,14,60,51,4,5,264,1,60,5,60,324,438,114,1,,L4=5;L3=4;L2=3;L1=2
lattigo,14,60,51,4,5,264,2,120,3,111,384,438,54,1,,L4=3;L3=2;L2=2;L1=1
lattigo,14,60,51,4,5,264,3,180,2,162,444,438,-6,1,,L4=2;L3=2;L2=1;L1=1
lattigo,14,60,51,4,5,264,4,240,2,213,504,438,-66,1,,L4=2;L3=1;L2=1;L1=1
lattigo,14,60,51,4,5,264,5,300,1,264,564,438,-126,1,,L4=1;L3=1;L2=1;L1=1
lattigo,14,60,52,4,5,268,1,60,5,60,328,438,110,1,,L4=5;L3=4;L2=3;L1=2
lattigo,14,60,52,4,5,268,2,120,3,112,388,438,50,1,,L4=3;L3=2;L2=2;L1=1
lattigo,14,60,52,4,5,268,3,180,2,164,448,438,-10,1,,L4=2;L3=2;L2=1;L1=1
lattigo,14,60,52,4,5,268,4,240,2,216,508,438,-70,1,,L4=2;L3=1;L2=1;L1=1
lattigo,14,60,52,4,5,268,5,300,1,268,568,438,-130,1,,L4=1;L3=1;L2=1;L1=1
lattigo,14,60,53,4,5,272,1,60,5,60,332,438,106,1,,L4=5;L3=4;L2=3;L1=2
lattigo,14,60,53,4,5,272,2,120,3,113,392,438,46,1,,L4=3;L3=2;L2=2;L1=1
lattigo,14,60,53,4,5,272,3,180,2,166,452,438,-14,1,,L4=2;L3=2;L2=1;L1=1
lattigo,14,60,53,4,5,272,4,240,2,219,512,438,-74,1,,L4=2;L3=1;L2=1;L1=1
lattigo,14,60,53,4,5,272,5,300,1,272,572,438,-134,1,,L4=1;L3=1;L2=1;L1=1
lattigo,14,60,54,4,5,276,1,60,5,60,336,438,102,1,,L4=5;L3=4;L2=3;L1=2
lattigo,14,60,54,4,5,276,2,120,3,114,396,438,42,1,,L4=3;L3=2;L2=2;L1=1
lattigo,14,60,54,4,5,276,3,180,2,168,456,438,-18,1,,L4=2;L3=2;L2=1;L1=1
lattigo,14,60,54,4,5,276,4,240,2,222,516,438,-78,1,,L4=2;L3=1;L2=1;L1=1
lattigo,14,60,54,4,5,276,5,300,1,276,576,438,-138,1,,L4=1;L3=1;L2=1;L1=1
lattigo,14,60,55,4,5,280,1,60,5,60,340,438,98,1,,L4=5;L3=4;L2=3;L1=2
lattigo,14,60,55,4,5,280,2,120,3,115,400,438,38,1,,L4=3;L3=2;L2=2;L1=1
lattigo,14,60,55,4,5,280,3,180,2,170,460,438,-22,1,,L4=2;L3=2;L2=1;L1=1
lattigo,14,60,55,4,5,280,4,240,2,225,520,438,-82,1,,L4=2;L3=1;L2=1;L1=1
lattigo,14,60,55,4,5,280,5,300,1,280,580,438,-142,1,,L4=1;L3=1;L2=1;L1=1
lattigo,14,60,40,5,6,260,1,60,6,60,320,438,118,1,,L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,40,5,6,260,2,120,3,100,380,438,58,1,,L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,40,5,6,260,3,180,2,140,440,438,-2,1,,L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,40,5,6,260,4,240,2,180,500,438,-62,1,,L5=2;L4=2;L3=1;L2=1;L1=1
lattigo,14,60,40,5,6,260,5,300,2,220,560,438,-122,1,,L5=2;L4=1;L3=1;L2=1;L1=1
lattigo,14,60,41,5,6,265,1,60,6,60,325,438,113,1,,L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,41,5,6,265,2,120,3,101,385,438,53,1,,L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,41,5,6,265,3,180,2,142,445,438,-7,1,,L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,41,5,6,265,4,240,2,183,505,438,-67,1,,L5=2;L4=2;L3=1;L2=1;L1=1
lattigo,14,60,41,5,6,265,5,300,2,224,565,438,-127,1,,L5=2;L4=1;L3=1;L2=1;L1=1
lattigo,14,60,42,5,6,270,1,60,6,60,330,438,108,1,,L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,42,5,6,270,2,120,3,102,390,438,48,1,,L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,42,5,6,270,3,180,2,144,450,438,-12,1,,L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,42,5,6,270,4,240,2,186,510,438,-72,1,,L5=2;L4=2;L3=1;L2=1;L1=1
lattigo,14,60,42,5,6,270,5,300,2,228,570,438,-132,1,,L5=2;L4=1;L3=1;L2=1;L1=1
lattigo,14,60,43,5,6,275,1,60,6,60,335,438,103,1,,L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,43,5,6,275,2,120,3,103,395,438,43,1,,L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,43,5,6,275,3,180,2,146,455,438,-17,1,,L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,43,5,6,275,4,240,2,189,515,438,-77,1,,L5=2;L4=2;L3=1;L2=1;L1=1
lattigo,14,60,43,5,6,275,5,300,2,232,575,438,-137,1,,L5=2;L4=1;L3=1;L2=1;L1=1
lattigo,14,60,44,5,6,280,1,60,6,60,340,438,98,1,,L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,44,5,6,280,2,120,3,104,400,438,38,1,,L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,44,5,6,280,3,180,2,148,460,438,-22,1,,L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,44,5,6,280,4,240,2,192,520,438,-82,1,,L5=2;L4=2;L3=1;L2=1;L1=1
lattigo,14,60,44,5,6,280,5,300,2,236,580,438,-142,1,,L5=2;L4=1;L3=1;L2=1;L1=1
lattigo,14,60,45,5,6,285,1,60,6,60,345,438,93,1,,L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,45,5,6,285,2,120,3,105,405,438,33,1,,L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,45,5,6,285,3,180,2,150,465,438,-27,1,,L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,45,5,6,285,4,240,2,195,525,438,-87,1,,L5=2;L4=2;L3=1;L2=1;L1=1
lattigo,14,60,45,5,6,285,5,300,2,240,585,438,-147,1,,L5=2;L4=1;L3=1;L2=1;L1=1
lattigo,14,60,46,5,6,290,1,60,6,60,350,438,88,1,,L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,46,5,6,290,2,120,3,106,410,438,28,1,,L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,46,5,6,290,3,180,2,152,470,438,-32,1,,L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,46,5,6,290,4,240,2,198,530,438,-92,1,,L5=2;L4=2;L3=1;L2=1;L1=1
lattigo,14,60,46,5,6,290,5,300,2,244,590,438,-152,1,,L5=2;L4=1;L3=1;L2=1;L1=1
lattigo,14,60,47,5,6,295,1,60,6,60,355,438,83,1,,L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,47,5,6,295,2,120,3,107,415,438,23,1,,L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,47,5,6,295,3,180,2,154,475,438,-37,1,,L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,47,5,6,295,4,240,2,201,535,438,-97,1,,L5=2;L4=2;L3=1;L2=1;L1=1
lattigo,14,60,47,5,6,295,5,300,2,248,595,438,-157,1,,L5=2;L4=1;L3=1;L2=1;L1=1
lattigo,14,60,48,5,6,300,1,60,6,60,360,438,78,1,,L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,48,5,6,300,2,120,3,108,420,438,18,1,,L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,48,5,6,300,3,180,2,156,480,438,-42,1,,L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,48,5,6,300,4,240,2,204,540,438,-102,1,,L5=2;L4=2;L3=1;L2=1;L1=1
lattigo,14,60,48,5,6,300,5,300,2,252,600,438,-162,1,,L5=2;L4=1;L3=1;L2=1;L1=1
lattigo,14,60,49,5,6,305,1,60,6,60,365,438,73,1,,L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,49,5,6,305,2,120,3,109,425,438,13,1,,L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,49,5,6,305,3,180,2,158,485,438,-47,1,,L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,49,5,6,305,4,240,2,207,545,438,-107,1,,L5=2;L4=2;L3=1;L2=1;L1=1
lattigo,14,60,49,5,6,305,5,300,2,256,605,438,-167,1,,L5=2;L4=1;L3=1;L2=1;L1=1
lattigo,14,60,50,5,6,310,1,60,6,60,370,438,68,1,,L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,50,5,6,310,2,120,3,110,430,438,8,1,,L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,50,5,6,310,3,180,2,160,490,438,-52,1,,L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,50,5,6,310,4,240,2,210,550,438,-112,1,,L5=2;L4=2;L3=1;L2=1;L1=1
lattigo,14,60,50,5,6,310,5,300,2,260,610,438,-172,1,,L5=2;L4=1;L3=1;L2=1;L1=1
lattigo,14,60,51,5,6,315,1,60,6,60,375,438,63,1,,L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,51,5,6,315,2,120,3,111,435,438,3,1,,L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,51,5,6,315,3,180,2,162,495,438,-57,1,,L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,51,5,6,315,4,240,2,213,555,438,-117,1,,L5=2;L4=2;L3=1;L2=1;L1=1
lattigo,14,60,51,5,6,315,5,300,2,264,615,438,-177,1,,L5=2;L4=1;L3=1;L2=1;L1=1
lattigo,14,60,52,5,6,320,1,60,6,60,380,438,58,1,,L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,52,5,6,320,2,120,3,112,440,438,-2,1,,L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,52,5,6,320,3,180,2,164,500,438,-62,1,,L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,52,5,6,320,4,240,2,216,560,438,-122,1,,L5=2;L4=2;L3=1;L2=1;L1=1
lattigo,14,60,52,5,6,320,5,300,2,268,620,438,-182,1,,L5=2;L4=1;L3=1;L2=1;L1=1
lattigo,14,60,53,5,6,325,1,60,6,60,385,438,53,1,,L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,53,5,6,325,2,120,3,113,445,438,-7,1,,L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,53,5,6,325,3,180,2,166,505,438,-67,1,,L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,53,5,6,325,4,240,2,219,565,438,-127,1,,L5=2;L4=2;L3=1;L2=1;L1=1
lattigo,14,60,53,5,6,325,5,300,2,272,625,438,-187,1,,L5=2;L4=1;L3=1;L2=1;L1=1
lattigo,14,60,54,5,6,330,1,60,6,60,390,438,48,1,,L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,54,5,6,330,2,120,3,114,450,438,-12,1,,L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,54,5,6,330,3,180,2,168,510,438,-72,1,,L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,54,5,6,330,4,240,2,222,570,438,-132,1,,L5=2;L4=2;L3=1;L2=1;L1=1
lattigo,14,60,54,5,6,330,5,300,2,276,630,438,-192,1,,L5=2;L4=1;L3=1;L2=1;L1=1
lattigo,14,60,55,5,6,335,1,60,6,60,395,438,43,1,,L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,55,5,6,335,2,120,3,115,455,438,-17,1,,L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,55,5,6,335,3,180,2,170,515,438,-77,1,,L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,55,5,6,335,4,240,2,225,575,438,-137,1,,L5=2;L4=2;L3=1;L2=1;L1=1
lattigo,14,60,55,5,6,335,5,300,2,280,635,438,-197,1,,L5=2;L4=1;L3=1;L2=1;L1=1
lattigo,14,60,40,6,7,300,1,60,7,60,360,438,78,1,,L6=7;L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,40,6,7,300,2,120,4,100,420,438,18,1,,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,40,6,7,300,3,180,3,140,480,438,-42,1,,L6=3;L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,40,6,7,300,4,240,2,180,540,438,-102,1,,L6=2;L5=2;L4=2;L3=1;L2=1;L1=1
lattigo,14,60,40,6,7,300,5,300,2,220,600,438,-162,1,,L6=2;L5=2;L4=1;L3=1;L2=1;L1=1
lattigo,14,60,41,6,7,306,1,60,7,60,366,438,72,1,,L6=7;L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,41,6,7,306,2,120,4,101,426,438,12,1,,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,41,6,7,306,3,180,3,142,486,438,-48,1,,L6=3;L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,41,6,7,306,4,240,2,183,546,438,-108,1,,L6=2;L5=2;L4=2;L3=1;L2=1;L1=1
lattigo,14,60,41,6,7,306,5,300,2,224,606,438,-168,1,,L6=2;L5=2;L4=1;L3=1;L2=1;L1=1
lattigo,14,60,42,6,7,312,1,60,7,60,372,438,66,1,,L6=7;L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,42,6,7,312,2,120,4,102,432,438,6,1,,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,42,6,7,312,3,180,3,144,492,438,-54,1,,L6=3;L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,42,6,7,312,4,240,2,186,552,438,-114,1,,L6=2;L5=2;L4=2;L3=1;L2=1;L1=1
lattigo,14,60,42,6,7,312,5,300,2,228,612,438,-174,1,,L6=2;L5=2;L4=1;L3=1;L2=1;L1=1
lattigo,14,60,43,6,7,318,1,60,7,60,378,438,60,1,,L6=7;L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,43,6,7,318,2,120,4,103,438,438,0,1,,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,43,6,7,318,3,180,3,146,498,438,-60,1,,L6=3;L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,43,6,7,318,4,240,2,189,558,438,-120,1,,L6=2;L5=2;L4=2;L3=1;L2=1;L1=1
lattigo,14,60,43,6,7,318,5,300,2,232,618,438,-180,1,,L6=2;L5=2;L4=1;L3=1;L2=1;L1=1
lattigo,14,60,44,6,7,324,1,60,7,60,384,438,54,1,,L6=7;L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,44,6,7,324,2,120,4,104,444,438,-6,1,,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,44,6,7,324,3,180,3,148,504,438,-66,1,,L6=3;L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,44,6,7,324,4,240,2,192,564,438,-126,1,,L6=2;L5=2;L4=2;L3=1;L2=1;L1=1
lattigo,14,60,44,6,7,324,5,300,2,236,624,438,-186,1,,L6=2;L5=2;L4=1;L3=1;L2=1;L1=1
lattigo,14,60,45,6,7,330,1,60,7,60,390,438,48,1,,L6=7;L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,45,6,7,330,2,120,4,105,450,438,-12,1,,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,45,6,7,330,3,180,3,150,510,438,-72,1,,L6=3;L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,45,6,7,330,4,240,2,195,570,438,-132,1,,L6=2;L5=2;L4=2;L3=1;L2=1;L1=1
lattigo,14,60,45,6,7,330,5,300,2,240,630,438,-192,1,,L6=2;L5=2;L4=1;L3=1;L2=1;L1=1
lattigo,14,60,46,6,7,336,1,60,7,60,396,438,42,1,,L6=7;L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,46,6,7,336,2,120,4,106,456,438,-18,1,,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,46,6,7,336,3,180,3,152,516,438,-78,1,,L6=3;L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,46,6,7,336,4,240,2,198,576,438,-138,1,,L6=2;L5=2;L4=2;L3=1;L2=1;L1=1
lattigo,14,60,46,6,7,336,5,300,2,244,636,438,-198,1,,L6=2;L5=2;L4=1;L3=1;L2=1;L1=1
lattigo,14,60,47,6,7,342,1,60,7,60,402,438,36,1,,L6=7;L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,47,6,7,342,2,120,4,107,462,438,-24,1,,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,47,6,7,342,3,180,3,154,522,438,-84,1,,L6=3;L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,47,6,7,342,4,240,2,201,582,438,-144,1,,L6=2;L5=2;L4=2;L3=1;L2=1;L1=1
lattigo,14,60,47,6,7,342,5,300,2,248,642,438,-204,1,,L6=2;L5=2;L4=1;L3=1;L2=1;L1=1
lattigo,14,60,48,6,7,348,1,60,7,60,408,438,30,1,,L6=7;L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,48,6,7,348,2,120,4,108,468,438,-30,1,,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,48,6,7,348,3,180,3,156,528,438,-90,1,,L6=3;L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,48,6,7,348,4,240,2,204,588,438,-150,1,,L6=2;L5=2;L4=2;L3=1;L2=1;L1=1
lattigo,14,60,48,6,7,348,5,300,2,252,648,438,-210,1,,L6=2;L5=2;L4=1;L3=1;L2=1;L1=1
lattigo,14,60,49,6,7,354,1,60,7,60,414,438,24,1,,L6=7;L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,49,6,7,354,2,120,4,109,474,438,-36,1,,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,49,6,7,354,3,180,3,158,534,438,-96,1,,L6=3;L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,49,6,7,354,4,240,2,207,594,438,-156,1,,L6=2;L5=2;L4=2;L3=1;L2=1;L1=1
lattigo,14,60,49,6,7,354,5,300,2,256,654,438,-216,1,,L6=2;L5=2;L4=1;L3=1;L2=1;L1=1
lattigo,14,60,50,6,7,360,1,60,7,60,420,438,18,1,,L6=7;L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,50,6,7,360,2,120,4,110,480,438,-42,1,,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,50,6,7,360,3,180,3,160,540,438,-102,1,,L6=3;L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,50,6,7,360,4,240,2,210,600,438,-162,1,,L6=2;L5=2;L4=2;L3=1;L2=1;L1=1
lattigo,14,60,50,6,7,360,5,300,2,260,660,438,-222,1,,L6=2;L5=2;L4=1;L3=1;L2=1;L1=1
lattigo,14,60,51,6,7,366,1,60,7,60,426,438,12,1,,L6=7;L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,51,6,7,366,2,120,4,111,486,438,-48,1,,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,51,6,7,366,3,180,3,162,546,438,-108,1,,L6=3;L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,51,6,7,366,4,240,2,213,606,438,-168,1,,L6=2;L5=2;L4=2;L3=1;L2=1;L1=1
lattigo,14,60,51,6,7,366,5,300,2,264,666,438,-228,1,,L6=2;L5=2;L4=1;L3=1;L2=1;L1=1
lattigo,14,60,52,6,7,372,1,60,7,60,432,438,6,1,,L6=7;L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,52,6,7,372,2,120,4,112,492,438,-54,1,,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,52,6,7,372,3,180,3,164,552,438,-114,1,,L6=3;L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,52,6,7,372,4,240,2,216,612,438,-174,1,,L6=2;L5=2;L4=2;L3=1;L2=1;L1=1
lattigo,14,60,52,6,7,372,5,300,2,268,672,438,-234,1,,L6=2;L5=2;L4=1;L3=1;L2=1;L1=1
lattigo,14,60,53,6,7,378,1,60,7,60,438,438,0,1,,L6=7;L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,53,6,7,378,2,120,4,113,498,438,-60,1,,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,53,6,7,378,3,180,3,166,558,438,-120,1,,L6=3;L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,53,6,7,378,4,240,2,219,618,438,-180,1,,L6=2;L5=2;L4=2;L3=1;L2=1;L1=1
lattigo,14,60,53,6,7,378,5,300,2,272,678,438,-240,1,,L6=2;L5=2;L4=1;L3=1;L2=1;L1=1
lattigo,14,60,54,6,7,384,1,60,7,60,444,438,-6,1,,L6=7;L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,54,6,7,384,2,120,4,114,504,438,-66,1,,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,54,6,7,384,3,180,3,168,564,438,-126,1,,L6=3;L5=2;L4=2;L3=2;L2=1;L1=1
