preset,logN,depth,delta,mode,library,dnum,PCount,logP,level,rep,enc_dec,rot1,ks_loss
A,15,12,42,1t,lattigo,3,5,300,5,0,33.6378,30.0647,3.5731
A,15,12,42,1t,lattigo,3,5,300,5,1,33.6299,30.0649,3.5649999999999977
A,15,12,42,1t,lattigo,3,5,300,5,2,33.6279,30.0567,3.5711999999999975
A,15,12,42,1t,lattigo,3,5,300,5,3,33.632,30.0831,3.548899999999996
A,15,12,42,1t,lattigo,3,5,300,5,4,33.6315,30.085,3.5465000000000018
A,15,12,42,1t,lattigo,3,5,300,5,5,33.6251,30.0673,3.557800000000004
A,15,12,42,1t,lattigo,3,5,300,5,6,33.6337,30.0853,3.5483999999999973
A,15,12,42,1t,lattigo,3,5,300,5,7,33.633,30.0924,3.5406000000000013
A,15,12,42,1t,lattigo,3,5,300,5,8,33.637,30.0682,3.5687999999999995
A,15,12,42,1t,lattigo,3,5,300,5,9,33.6178,30.063,3.5548000000000037
A,15,12,42,1t,lattigo,3,5,300,5,10,33.6194,30.0736,3.5458
A,15,12,42,1t,lattigo,3,5,300,5,11,33.6215,30.0702,3.5512999999999977
A,15,12,42,1t,lattigo,3,5,300,6,0,33.6209,30.0767,3.5442
A,15,12,42,1t,lattigo,3,5,300,6,1,33.6392,30.0764,3.562800000000003
A,15,12,42,1t,lattigo,3,5,300,6,2,33.6251,30.0762,3.5489000000000033
A,15,12,42,1t,lattigo,3,5,300,6,3,33.642,30.0818,3.560200000000002
A,15,12,42,1t,lattigo,3,5,300,6,4,33.6238,30.0591,3.564700000000002
A,15,12,42,1t,lattigo,3,5,300,6,5,33.6314,30.0679,3.5634999999999977
A,15,12,42,1t,lattigo,3,5,300,6,6,33.6334,30.0707,3.562700000000003
A,15,12,42,1t,lattigo,3,5,300,6,7,33.6323,30.075,3.5573000000000015
A,15,12,42,1t,lattigo,3,5,300,6,8,33.6255,30.0814,3.544100000000004
A,15,12,42,1t,lattigo,3,5,300,6,9,33.6325,30.0647,3.567800000000002
A,15,12,42,1t,lattigo,3,5,300,6,10,33.6104,30.0676,3.5427999999999997
A,15,12,42,1t,lattigo,3,5,300,6,11,33.6293,30.0723,3.557000000000002
A,15,12,42,1t,lattigo,3,5,300,7,0,33.6343,30.0656,3.5687000000000033
A,15,12,42,1t,lattigo,3,5,300,7,1,33.626,30.0829,3.543099999999999
A,15,12,42,1t,lattigo,3,5,300,7,2,33.6491,30.0627,3.5863999999999976
A,15,12,42,1t,lattigo,3,5,300,7,3,33.624,30.0792,3.544800000000002
A,15,12,42,1t,lattigo,3,5,300,7,4,33.6364,30.0752,3.561200000000003
A,15,12,42,1t,lattigo,3,5,300,7,5,33.6312,30.0777,3.5534999999999997
A,15,12,42,1t,lattigo,3,5,300,7,6,33.6237,30.0776,3.546099999999999
A,15,12,42,1t,lattigo,3,5,300,7,7,33.6324,30.0825,3.5498999999999974
A,15,12,42,1t,lattigo,3,5,300,7,8,33.62,30.0734,3.546599999999998
A,15,12,42,1t,lattigo,3,5,300,7,9,33.6421,30.0723,3.5698000000000008
A,15,12,42,1t,lattigo,3,5,300,7,10,33.6282,30.078,3.5502000000000002
A,15,12,42,1t,lattigo,3,5,300,7,11,33.6212,30.0773,3.5439000000000007
A,15,12,42,1t,lattigo,3,5,300,8,0,33.622,30.0685,3.5534999999999997
A,15,12,42,1t,lattigo,3,5,300,8,1,33.6266,30.0797,3.5469000000000044
A,15,12,42,1t,lattigo,3,5,300,8,2,33.629,30.071,3.5579999999999963
A,15,12,42,1t,lattigo,3,5,300,8,3,33.6216,30.0624,3.5592000000000006
A,15,12,42,1t,lattigo,3,5,300,8,4,33.617,30.0753,3.5416999999999987
A,15,12,42,1t,lattigo,3,5,300,8,5,33.6298,30.0677,3.5621000000000045
A,15,12,42,1t,lattigo,3,5,300,8,6,33.6294,30.0651,3.564299999999996
A,15,12,42,1t,lattigo,3,5,300,8,7,33.6266,30.0858,3.5408000000000044
A,15,12,42,1t,lattigo,3,5,300,8,8,33.6288,30.0777,3.551099999999998
A,15,12,42,1t,lattigo,3,5,300,8,9,33.6372,30.082,3.5551999999999992
A,15,12,42,1t,lattigo,3,5,300,8,10,33.6289,30.0691,3.5598000000000027
A,15,12,42,1t,lattigo,3,5,300,8,11,33.6242,30.0756,3.5486000000000004
A,15,12,42,1t,lattigo,3,5,300,9,0,33.6179,30.0513,3.5665999999999976
A,15,12,42,1t,lattigo,3,5,300,9,1,33.6312,30.0661,3.565100000000001
A,15,12,42,1t,lattigo,3,5,300,9,2,33.6229,30.0808,3.5421000000000014
A,15,12,42,1t,lattigo,3,5,300,9,3,33.6328,30.0794,3.5534000000000034
A,15,12,42,1t,lattigo,3,5,300,9,4,33.6391,30.0737,3.5654000000000003
A,15,12,42,1t,lattigo,3,5,300,9,5,33.6426,30.071,3.5716
A,15,12,42,1t,lattigo,3,5,300,9,6,33.6339,30.0746,3.559299999999997
A,15,12,42,1t,lattigo,3,5,300,9,7,33.6392,30.0679,3.571300000000001
A,15,12,42,1t,lattigo,3,5,300,9,8,33.6252,30.0804,3.5447999999999986
A,15,12,42,1t,lattigo,3,5,300,9,9,33.6309,30.0802,3.5506999999999955
A,15,12,42,1t,lattigo,3,5,300,9,10,33.6357,30.0684,3.5672999999999995
A,15,12,42,1t,lattigo,3,5,300,9,11,33.6205,30.073,3.5474999999999994
A,15,12,42,1t,lattigo,3,5,300,10,0,33.6263,30.0731,3.5532000000000004
A,15,12,42,1t,lattigo,3,5,300,10,1,33.6387,30.0747,3.564
A,15,12,42,1t,lattigo,3,5,300,10,2,33.6291,30.0779,3.5512000000000015
A,15,12,42,1t,lattigo,3,5,300,10,3,33.6322,30.0863,3.545899999999996
A,15,12,42,1t,lattigo,3,5,300,10,4,33.6182,30.07,3.5482000000000014
A,15,12,42,1t,lattigo,3,5,300,10,5,33.6437,30.0824,3.561300000000003
A,15,12,42,1t,lattigo,3,5,300,10,6,33.6274,30.0793,3.5481000000000016
A,15,12,42,1t,lattigo,3,5,300,10,7,33.6285,30.0852,3.543300000000002
A,15,12,42,1t,lattigo,3,5,300,10,8,33.6271,30.0807,3.5463999999999984
A,15,12,42,1t,lattigo,3,5,300,10,9,33.6338,30.0917,3.5421000000000014
A,15,12,42,1t,lattigo,3,5,300,10,10,33.6261,30.0708,3.5553000000000026
A,15,12,42,1t,lattigo,3,5,300,10,11,33.6235,30.0876,3.5359000000000016
A,15,12,42,1t,lattigo,3,5,300,11,0,33.6235,30.0766,3.546900000000001
A,15,12,42,1t,lattigo,3,5,300,11,1,33.6307,30.0932,3.537499999999998
A,15,12,42,1t,lattigo,3,5,300,11,2,33.6348,30.0872,3.547599999999999
A,15,12,42,1t,lattigo,3,5,300,11,3,33.6408,30.0781,3.5626999999999995
A,15,12,42,1t,lattigo,3,5,300,11,4,33.6374,30.0664,3.570999999999998
A,15,12,42,1t,lattigo,3,5,300,11,5,33.63,30.0781,3.5519000000000034
A,15,12,42,1t,lattigo,3,5,300,11,6,33.6311,30.0839,3.5472000000000037
A,15,12,42,1t,lattigo,3,5,300,11,7,33.6298,30.0737,3.5561000000000043
A,15,12,42,1t,lattigo,3,5,300,11,8,33.6133,30.0659,3.547400000000003
A,15,12,42,1t,lattigo,3,5,300,11,9,33.6287,30.0791,3.5496000000000016
A,15,12,42,1t,lattigo,3,5,300,11,10,33.6252,30.0767,3.5485000000000007
A,15,12,42,1t,lattigo,3,5,300,11,11,33.6175,30.0816,3.535899999999998
A,15,12,42,1t,lattigo,3,5,300,12,0,33.6305,30.0823,3.548199999999998
A,15,12,42,1t,lattigo,3,5,300,12,1,33.6365,30.0909,3.5455999999999968
A,15,12,42,1t,lattigo,3,5,300,12,2,33.6274,30.0587,3.5686999999999998
A,15,12,42,1t,lattigo,3,5,300,12,3,33.6314,30.0824,3.5489999999999995
A,15,12,42,1t,lattigo,3,5,300,12,4,33.626,30.0718,3.554199999999998
A,15,12,42,1t,lattigo,3,5,300,12,5,33.6289,30.0944,3.5345000000000013
A,15,12,42,1t,lattigo,3,5,300,12,6,33.6412,30.0786,3.562599999999996
A,15,12,42,1t,lattigo,3,5,300,12,7,33.6298,30.0825,3.5473000000000035
A,15,12,42,1t,lattigo,3,5,300,12,8,33.6284,30.078,3.5504
A,15,12,42,1t,lattigo,3,5,300,12,9,33.6298,30.0878,3.5420000000000016
A,15,12,42,1t,lattigo,3,5,300,12,10,33.6282,30.0725,3.555699999999998
A,15,12,42,1t,lattigo,3,5,300,12,11,33.6161,30.0773,3.538800000000002
A,15,12,42,1t,openfhe,3,4,240,1,0,30.313,27.9268,2.3861999999999988
A,15,12,42,1t,openfhe,3,4,240,1,1,30.3213,27.4017,2.919599999999999
A,15,12,42,1t,openfhe,3,4,240,1,2,30.3216,27.0893,3.2322999999999986
A,15,12,42,1t,openfhe,3,4,240,1,3,30.3131,27.1766,3.136499999999998
A,15,12,42,1t,openfhe,3,4,240,1,4,30.3151,27.4932,2.8218999999999994
A,15,12,42,1t,openfhe,3,4,240,1,5,30.3157,28.136,2.1797000000000004
A,15,12,42,1t,openfhe,3,4,240,1,6,30.3178,27.8453,2.4724999999999966
A,15,12,42,1t,openfhe,3,4,240,1,7,30.3102,27.1861,3.1240999999999985
A,15,12,42,1t,openfhe,3,4,240,1,8,30.3215,26.0549,4.2666
A,15,12,42,1t,openfhe,3,4,240,1,9,30.3221,27.06,3.2621
A,15,12,42,1t,openfhe,3,4,240,1,10,30.3218,26.6063,3.7154999999999987
A,15,12,42,1t,openfhe,3,4,240,1,11,30.3194,27.7606,2.5588000000000015
A,15,12,42,1t,openfhe,3,4,240,2,0,30.3056,27.893,2.4125999999999976
A,15,12,42,1t,openfhe,3,4,240,2,1,30.3135,27.3948,2.918700000000001
A,15,12,42,1t,openfhe,3,4,240,2,2,30.315,27.0933,3.221700000000002
A,15,12,42,1t,openfhe,3,4,240,2,3,30.3025,27.1679,3.134599999999999
A,15,12,42,1t,openfhe,3,4,240,2,4,30.3292,27.4886,2.8405999999999985
A,15,12,42,1t,openfhe,3,4,240,2,5,30.3023,28.1365,2.1657999999999973
A,15,12,42,1t,openfhe,3,4,240,2,6,30.3138,27.838,2.4757999999999996
A,15,12,42,1t,openfhe,3,4,240,2,7,30.3218,27.1824,3.1393999999999984
A,15,12,42,1t,openfhe,3,4,240,2,8,30.3203,26.0503,4.27
A,15,12,42,1t,openfhe,3,4,240,2,9,30.3161,27.0531,3.262999999999998
A,15,12,42,1t,openfhe,3,4,240,2,10,30.3112,26.5985,3.712699999999998
A,15,12,42,1t,openfhe,3,4,240,2,11,30.3076,27.7542,2.5534
A,15,12,42,1t,openfhe,3,4,240,3,0,30.323,27.9198,2.403200000000002
A,15,12,42,1t,openfhe,3,4,240,3,1,30.3227,27.3919,2.9308000000000014
A,15,12,42,1t,openfhe,3,4,240,3,2,30.3228,27.1059,3.2169000000000025
A,15,12,42,1t,openfhe,3,4,240,3,3,30.3167,27.1693,3.147400000000001
A,15,12,42,1t,openfhe,3,4,240,3,4,30.3157,27.4861,2.8295999999999992
A,15,12,42,1t,openfhe,3,4,240,3,5,30.3204,28.1436,2.1768
A,15,12,42,1t,openfhe,3,4,240,3,6,30.3264,27.8563,2.4700999999999986
A,15,12,42,1t,openfhe,3,4,240,3,7,30.3192,27.1849,3.1342999999999996
A,15,12,42,1t,openfhe,3,4,240,3,8,30.323,26.0648,4.258199999999999
A,15,12,42,1t,openfhe,3,4,240,3,9,30.3124,27.0408,3.2715999999999994
A,15,12,42,1t,openfhe,3,4,240,3,10,30.3159,26.599,3.716899999999999
A,15,12,42,1t,openfhe,3,4,240,3,11,30.3233,27.7591,2.5641999999999996
A,15,12,42,1t,openfhe,3,4,240,4,0,30.3227,27.9302,2.392500000000002
A,15,12,42,1t,openfhe,3,4,240,4,1,30.3294,27.4007,2.928699999999999
A,15,12,42,1t,openfhe,3,4,240,4,2,30.313,27.1115,3.2014999999999993
A,15,12,42,1t,openfhe,3,4,240,4,3,30.3087,27.1631,3.1456000000000017
A,15,12,42,1t,openfhe,3,4,240,4,4,30.3324,27.4884,2.844000000000001
A,15,12,42,1t,openfhe,3,4,240,4,5,30.3184,28.1395,2.1788999999999987
A,15,12,42,1t,openfhe,3,4,240,4,6,30.2969,27.856,2.440899999999999
A,15,12,42,1t,openfhe,3,4,240,4,7,30.3323,27.2043,3.128
A,15,12,42,1t,openfhe,3,4,240,4,8,30.3123,26.0659,4.246400000000001
A,15,12,42,1t,openfhe,3,4,240,4,9,30.3304,27.0469,3.2835
A,15,12,42,1t,openfhe,3,4,240,4,10,30.3199,26.6183,3.701599999999999
A,15,12,42,1t,openfhe,3,4,240,4,11,30.3211,27.768,2.5531000000000006
A,15,12,42,1t,openfhe,3,4,240,5,0,30.3154,27.9039,2.4115
A,15,12,42,1t,openfhe,3,4,240,5,1,30.3192,27.3919,2.927299999999999
A,15,12,42,1t,openfhe,3,4,240,5,2,30.3217,27.0895,3.232199999999999
A,15,12,42,1t,openfhe,3,4,240,5,3,30.3226,27.1703,3.1523000000000003
A,15,12,42,1t,openfhe,3,4,240,5,4,30.3042,27.4955,2.8087000000000018
A,15,12,42,1t,openfhe,3,4,240,5,5,30.3239,28.1509,2.1729999999999983
A,15,12,42,1t,openfhe,3,4,240,5,6,30.3215,27.8309,2.4906000000000006
A,15,12,42,1t,openfhe,3,4,240,5,7,30.323,27.1564,3.166599999999999
A,15,12,42,1t,openfhe,3,4,240,5,8,30.2991,26.0511,4.2479999999999976
A,15,12,42,1t,openfhe,3,4,240,5,9,30.3152,27.0315,3.2836999999999996
A,15,12,42,1t,openfhe,3,4,240,5,10,30.3271,26.5827,3.7444000000000024
A,15,12,42,1t,openfhe,3,4,240,5,11,30.3363,27.7584,2.5778999999999996
A,15,12,42,1t,openfhe,3,4,240,6,0,30.3036,27.9336,2.370000000000001
A,15,12,42,1t,openfhe,3,4,240,6,1,30.3193,27.3973,2.921999999999997
A,15,12,42,1t,openfhe,3,4,240,6,2,30.321,27.0878,3.2332
A,15,12,42,1t,openfhe,3,4,240,6,3,30.3161,27.1696,3.1464999999999996
A,15,12,42,1t,openfhe,3,4,240,6,4,30.3091,27.4918,2.8172999999999995
A,15,12,42,1t,openfhe,3,4,240,6,5,30.3272,28.1375,2.189700000000002
A,15,12,42,1t,openfhe,3,4,240,6,6,30.3217,27.8591,2.4625999999999983
A,15,12,42,1t,openfhe,3,4,240,6,7,30.3248,27.2045,3.1203000000000003
A,15,12,42,1t,openfhe,3,4,240,6,8,30.31,26.0569,4.2531
A,15,12,42,1t,openfhe,3,4,240,6,9,30.34,27.0397,3.3003
A,15,12,42,1t,openfhe,3,4,240,6,10,30.3138,26.5969,3.716899999999999
A,15,12,42,1t,openfhe,3,4,240,6,11,30.3207,27.7448,2.575899999999997
A,15,12,42,1t,openfhe,3,4,240,7,0,30.3377,27.9088,2.4289000000000023
A,15,12,42,1t,openfhe,3,4,240,7,1,30.3276,27.4144,2.9132
A,15,12,42,1t,openfhe,3,4,240,7,2,30.316,27.1089,3.2071000000000005
A,15,12,42,1t,openfhe,3,4,240,7,3,30.3252,27.1628,3.162399999999998
A,15,12,42,1t,openfhe,3,4,240,7,4,30.3255,27.4865,2.839000000000002
A,15,12,42,1t,openfhe,3,4,240,7,5,30.3174,28.1509,2.166499999999999
A,15,12,42,1t,openfhe,3,4,240,7,6,30.3165,27.8548,2.4617000000000004
A,15,12,42,1t,openfhe,3,4,240,7,7,30.3066,27.1824,3.1241999999999983
A,15,12,42,1t,openfhe,3,4,240,7,8,30.3183,26.071,4.247299999999999
A,15,12,42,1t,openfhe,3,4,240,7,9,30.3049,27.0362,3.268699999999999
A,15,12,42,1t,openfhe,3,4,240,7,10,30.3146,26.625,3.6895999999999987
A,15,12,42,1t,openfhe,3,4,240,7,11,30.314,27.7598,2.5542000000000016
A,15,12,42,1t,openfhe,3,4,240,8,0,30.319,27.913,2.405999999999999
A,15,12,42,1t,openfhe,3,4,240,8,1,30.3062,27.4076,2.898600000000002
A,15,12,42,1t,openfhe,3,4,240,8,2,30.3162,27.0916,3.224599999999999
A,15,12,42,1t,openfhe,3,4,240,8,3,30.3128,27.1699,3.142900000000001
A,15,12,42,1t,openfhe,3,4,240,8,4,30.3225,27.4829,2.839600000000001
A,15,12,42,1t,openfhe,3,4,240,8,5,30.2977,28.1295,2.168199999999999
A,15,12,42,1t,openfhe,3,4,240,8,6,30.3309,27.839,2.491900000000001
A,15,12,42,1t,openfhe,3,4,240,8,7,30.3039,27.1789,3.125
A,15,12,42,1t,openfhe,3,4,240,8,8,30.3177,26.0499,4.267799999999998
A,15,12,42,1t,openfhe,3,4,240,8,9,30.3141,27.0493,3.264800000000001
A,15,12,42,1t,openfhe,3,4,240,8,10,30.322,26.6097,3.712299999999999
A,15,12,42,1t,openfhe,3,4,240,8,11,30.3098,27.777,2.532799999999998
A,15,12,42,1t,openfhe,3,4,240,9,0,30.3179,27.9108,2.4071000000000033
A,15,12,42,1t,openfhe,3,4,240,9,1,30.3039,27.403,2.9009
A,15,12,42,1t,openfhe,3,4,240,9,2,30.3049,27.0976,3.2073
A,15,12,42,1t,openfhe,3,4,240,9,3,30.339,27.1681,3.1708999999999996
A,15,12,42,1t,openfhe,3,4,240,9,4,30.3244,27.4925,2.831900000000001
A,15,12,42,1t,openfhe,3,4,240,9,5,30.312,28.1464,2.1656000000000013
A,15,12,42,1t,openfhe,3,4,240,9,6,30.3238,27.8712,2.452599999999997
A,15,12,42,1t,openfhe,3,4,240,9,7,30.3214,27.1779,3.1434999999999995
A,15,12,42,1t,openfhe,3,4,240,9,8,30.3135,26.046,4.267500000000002
A,15,12,42,1t,openfhe,3,4,240,9,9,30.3027,27.0437,3.2590000000000003
A,15,12,42,1t,openfhe,3,4,240,9,10,30.3166,26.6181,3.698500000000003
A,15,12,42,1t,openfhe,3,4,240,9,11,30.3196,27.7598,2.5598000000000027
A,15,12,42,1t,openfhe,3,4,240,10,0,30.3266,27.9062,2.4204000000000008
A,15,12,42,1t,openfhe,3,4,240,10,1,30.3181,27.4042,2.9139000000000017
A,15,12,42,1t,openfhe,3,4,240,10,2,30.312,27.1007,3.2113000000000014
A,15,12,42,1t,openfhe,3,4,240,10,3,30.3103,27.152,3.1583000000000006
A,15,12,42,1t,openfhe,3,4,240,10,4,30.3283,27.4774,2.8508999999999993
A,15,12,42,1t,openfhe,3,4,240,10,5,30.3181,28.1406,2.177500000000002
A,15,12,42,1t,openfhe,3,4,240,10,6,30.3088,27.8337,2.475100000000001
A,15,12,42,1t,openfhe,3,4,240,10,7,30.3208,27.1994,3.1213999999999977
A,15,12,42,1t,openfhe,3,4,240,10,8,30.3177,26.0599,4.2578
A,15,12,42,1t,openfhe,3,4,240,10,9,30.3239,27.0416,3.2822999999999993
A,15,12,42,1t,openfhe,3,4,240,10,10,30.3323,26.6012,3.7311000000000014
A,15,12,42,1t,openfhe,3,4,240,10,11,30.3201,27.7629,2.5572000000000017
A,15,12,42,1t,openfhe,3,4,240,11,0,30.3238,27.946,2.377799999999997
A,15,12,42,1t,openfhe,3,4,240,11,1,30.3207,27.3975,2.923199999999998
A,15,12,42,1t,openfhe,3,4,240,11,2,30.3183,27.1148,3.203500000000002
A,15,12,42,1t,openfhe,3,4,240,11,3,30.3178,27.1643,3.1534999999999975
A,15,12,42,1t,openfhe,3,4,240,11,4,30.3233,27.4906,2.832699999999999
A,15,12,42,1t,openfhe,3,4,240,11,5,30.3132,28.1339,2.179299999999998
A,15,12,42,1t,openfhe,3,4,240,11,6,30.3125,27.8553,2.4572000000000003
A,15,12,42,1t,openfhe,3,4,240,11,7,30.3225,27.1767,3.1458000000000013
A,15,12,42,1t,openfhe,3,4,240,11,8,30.3165,26.0619,4.2546
A,15,12,42,1t,openfhe,3,4,240,11,9,30.3381,27.0405,3.297599999999999
A,15,12,42,1t,openfhe,3,4,240,11,10,30.3179,26.5982,3.719700000000003
A,15,12,42,1t,openfhe,3,4,240,11,11,30.3159,27.7644,2.5515000000000008
A,15,12,42,1t,openfhe,3,4,240,12,0,30.3036,27.9146,2.3889999999999993
A,15,12,42,1t,openfhe,3,4,240,12,1,30.3257,27.4038,2.921900000000001
A,15,12,42,1t,openfhe,3,4,240,12,2,30.3143,27.0889,3.2254000000000005
A,15,12,42,1t,openfhe,3,4,240,12,3,30.321,27.1759,3.145100000000003
A,15,12,42,1t,openfhe,3,4,240,12,4,30.3188,27.4872,2.831599999999998
A,15,12,42,1t,openfhe,3,4,240,12,5,30.3125,28.1421,2.1704000000000008
A,15,12,42,1t,openfhe,3,4,240,12,6,30.3183,27.8537,2.464600000000001
A,15,12,42,1t,openfhe,3,4,240,12,7,30.3274,27.1871,3.1403
A,15,12,42,1t,openfhe,3,4,240,12,8,30.3149,26.052,4.262900000000002
A,15,12,42,1t,openfhe,3,4,240,12,9,30.3225,27.0475,3.275000000000002
A,15,12,42,1t,openfhe,3,4,240,12,10,30.3276,26.6093,3.7182999999999993
A,15,12,42,1t,openfhe,3,4,240,12,11,30.3197,27.7739,2.5458
A,15,12,42,1t,seal,13,1,60,1,0,33.6276,27.9559,5.671700000000001
A,15,12,42,1t,seal,13,1,60,1,1,33.6031,27.9736,5.629499999999997
A,15,12,42,1t,seal,13,1,60,1,2,33.6304,27.9841,5.6463
A,15,12,42,1t,seal,13,1,60,1,3,33.6247,27.9771,5.647599999999997
A,15,12,42,1t,seal,13,1,60,1,4,33.6158,27.9949,5.620899999999999
A,15,12,42,1t,seal,13,1,60,1,5,33.6246,27.921,5.703600000000002
A,15,12,42,1t,seal,13,1,60,1,6,33.6384,27.968,5.670399999999997
A,15,12,42,1t,seal,13,1,60,1,7,33.6189,27.963,5.6558999999999955
A,15,12,42,1t,seal,13,1,60,1,8,33.6095,27.9316,5.6778999999999975
A,15,12,42,1t,seal,13,1,60,1,9,33.6222,27.9823,5.639900000000001
A,15,12,42,1t,seal,13,1,60,1,10,33.607,27.9732,5.633800000000001
A,15,12,42,1t,seal,13,1,60,1,11,33.6157,27.9712,5.644499999999997
A,15,12,42,1t,seal,13,1,60,2,0,33.6239,27.9527,5.671199999999999
A,15,12,42,1t,seal,13,1,60,2,1,33.6197,27.9783,5.641400000000001
A,15,12,42,1t,seal,13,1,60,2,2,33.6131,27.9814,5.631700000000002
A,15,12,42,1t,seal,13,1,60,2,3,33.6191,27.9822,5.636900000000004
A,15,12,42,1t,seal,13,1,60,2,4,33.6208,27.992,5.628800000000002
A,15,12,42,1t,seal,13,1,60,2,5,33.6322,27.9268,5.705399999999997
A,15,12,42,1t,seal,13,1,60,2,6,33.6403,27.9773,5.663000000000004
A,15,12,42,1t,seal,13,1,60,2,7,33.6193,27.9435,5.675800000000002
A,15,12,42,1t,seal,13,1,60,2,8,33.6145,27.9363,5.6782
A,15,12,42,1t,seal,13,1,60,2,9,33.6285,27.9786,5.649900000000002
A,15,12,42,1t,seal,13,1,60,2,10,33.5965,27.9654,5.6311
A,15,12,42,1t,seal,13,1,60,2,11,33.6365,27.971,5.665499999999998
A,15,12,42,1t,seal,13,1,60,3,0,33.6349,27.9556,5.679300000000001
A,15,12,42,1t,seal,13,1,60,3,1,33.604,27.9662,5.637799999999999
A,15,12,42,1t,seal,13,1,60,3,2,33.6108,27.9883,5.622499999999999
A,15,12,42,1t,seal,13,1,60,3,3,33.6148,27.9747,5.640100000000004
A,15,12,42,1t,seal,13,1,60,3,4,33.5988,27.9816,5.617199999999997
