=== 상한(L=20)에 걸린 셀 vs 격자 안에서 끝난 셀 ===
 levelBudget   q0    Δ    최대L     상한걸림  OF dnum  OF logQP    OF여유  LA dnum  LA logQP    LA여유
       {2,2}   40   33     20      YES        4      1654      93       13      1723      24
       {4,3}   45   45     14                18      1740       7       35      1727      20
       {4,3}   50   45     14                18      1745       2       35      1732      15
       {4,3}   50   48     13                35      1742       5       34      1726      21
       {4,3}   50   50     11                33      1710      37       16      1713      34
       {4,3}   55   48     13                35      1747       0       34      1731      16
       {4,3}   55   50     11                33      1715      32       16      1718      29
       {4,3}   55   55      8                30      1710      37        8      1730      17
       {4,3}   60   55      8                30      1715      32        8      1735      12
       {4,3}   60   58      7                29      1744       3        7      1701      46
       {4,4}   40   33     18                 5      1720      27       40      1725      22
       {4,4}   40   35     17                 5      1705      42       39      1726      21
       {4,4}   40   38     16                 7      1724      23       38      1739       8
       {4,4}   40   40     15                10      1700      47       37      1731      16
       {4,4}   42   35     17                 5      1707      40       39      1728      19
       {4,4}   42   38     16                 7      1726      21       38      1741       6
       {4,4}   42   40     15                10      1702      45       37      1733      14
       {4,4}   42   42     14                10      1734      13       36      1721      26
       {4,4}   45   38     16                 7      1729      18       38      1744       3
       {4,4}   45   40     15                10      1705      42       37      1736      11
       {4,4}   45   42     14                10      1737      10       36      1724      23
       {4,4}   45   45     13                18      1740       7       35      1721      26
       {4,4}   50   45     13                18      1745       2       35      1726      21
       {4,4}   50   48     12                35      1742       5       34      1717      30
       {4,4}   50   50     10                33      1710      37       16      1702      45
       {4,4}   55   48     12                35      1747       0       34      1722      25
       {4,4}   55   50     10                33      1715      32       16      1707      40
       {4,4}   55   55      7                30      1710      37        8      1714      33
       {4,4}   60   55      7                30      1715      32        8      1719      28
       {4,4}   60   58      6                29      1744       3        6      1743       4

상한에 걸린 셀 13 / 전체 100
걸린 셀은 전부 Δ ≤ 40 이고 분해깊이가 얕은 쪽이다.
