library,logN,numSlots,q0,delta,residual_L,boot_depth,levelBudget_c2s,levelBudget_s2c,evalmod_levels,K,QCount_boot,logQ_boot,PCount_boot,logP_boot,logQP_boot,QCount_residual,logQ_residual,logP_residual,logQP_residual,dnum,maxDigitBits,margin_1747,mod1_degree,mod1_inv_degree,log_message_ratio,ephemeral_secret_weight,in_scale_log2,ok,fail_reason
openfhe,16,32768,53,52,4,18,2,2,14,512,23,1197,4,240,1437,5,261,240,501,6,209,310,,,1,,52,1,
openfhe,16,32768,53,52,6,16,1,1,14,512,23,1197,4,240,1437,7,365,240,605,6,209,310,,,1,,52,1,
openfhe,16,32768,53,52,4,18,2,2,14,512,23,1197,3,180,1377,5,261,180,441,8,157,370,,,1,,52,1,
openfhe,16,32768,53,52,6,16,1,1,14,512,23,1197,3,180,1377,7,365,180,545,8,157,370,,,1,,52,1,
openfhe,16,32768,53,52,4,18,2,2,14,512,23,1197,2,120,1317,5,261,120,381,12,105,430,,,1,,52,1,
openfhe,16,32768,53,52,6,16,1,1,14,512,23,1197,2,120,1317,7,365,120,485,12,105,430,,,1,,52,1,
openfhe,16,32768,53,52,4,18,2,2,14,512,23,1197,1,60,1257,5,261,60,321,23,53,490,,,1,,52,1,
openfhe,16,32768,53,52,6,16,1,1,14,512,23,1197,1,60,1257,7,365,60,425,23,53,490,,,1,,52,1,
openfhe,16,32768,53,52,3,20,3,3,14,512,,,,,,,,,,1,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1249 + 예측 logP 1260 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,5,18,2,2,14,512,,,,,,,,,,1,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1249 + 예측 logP 1260 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,7,16,1,1,14,512,,,,,,,,,,1,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1249 + 예측 logP 1260 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,3,20,3,3,14,512,,,,,,,,,,2,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1249 + 예측 logP 660 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,5,18,2,2,14,512,,,,,,,,,,2,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1249 + 예측 logP 660 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,7,16,1,1,14,512,,,,,,,,,,2,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1249 + 예측 logP 660 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,3,20,3,3,14,512,24,1249,7,420,1669,4,209,420,629,3,417,78,,,1,,52,1,
openfhe,16,32768,53,52,5,18,2,2,14,512,24,1249,7,420,1669,6,313,420,733,3,417,78,,,1,,52,1,
openfhe,16,32768,53,52,7,16,1,1,14,512,24,1249,7,420,1669,8,417,420,837,3,417,78,,,1,,52,1,
openfhe,16,32768,53,52,3,20,3,3,14,512,24,1249,6,360,1609,4,209,360,569,4,314,138,,,1,,52,1,
openfhe,16,32768,53,52,5,18,2,2,14,512,24,1249,6,360,1609,6,313,360,673,4,314,138,,,1,,52,1,
openfhe,16,32768,53,52,7,16,1,1,14,512,24,1249,6,360,1609,8,417,360,777,4,314,138,,,1,,52,1,
openfhe,16,32768,53,52,3,20,3,3,14,512,24,1249,5,300,1549,4,209,300,509,5,261,198,,,1,,52,1,
openfhe,16,32768,53,52,5,18,2,2,14,512,24,1249,5,300,1549,6,313,300,613,5,261,198,,,1,,52,1,
openfhe,16,32768,53,52,7,16,1,1,14,512,24,1249,5,300,1549,8,417,300,717,5,261,198,,,1,,52,1,
openfhe,16,32768,53,52,3,20,3,3,14,512,24,1249,4,240,1489,4,209,240,449,6,210,258,,,1,,52,1,
openfhe,16,32768,53,52,5,18,2,2,14,512,24,1249,4,240,1489,6,313,240,553,6,210,258,,,1,,52,1,
openfhe,16,32768,53,52,7,16,1,1,14,512,24,1249,4,240,1489,8,417,240,657,6,210,258,,,1,,52,1,
openfhe,16,32768,53,52,3,20,3,3,14,512,24,1249,3,180,1429,4,209,180,389,8,157,318,,,1,,52,1,
openfhe,16,32768,53,52,5,18,2,2,14,512,24,1249,3,180,1429,6,313,180,493,8,157,318,,,1,,52,1,
openfhe,16,32768,53,52,7,16,1,1,14,512,24,1249,3,180,1429,8,417,180,597,8,157,318,,,1,,52,1,
openfhe,16,32768,53,52,3,20,3,3,14,512,24,1249,2,120,1369,4,209,120,329,12,106,378,,,1,,52,1,
openfhe,16,32768,53,52,5,18,2,2,14,512,24,1249,2,120,1369,6,313,120,433,12,106,378,,,1,,52,1,
openfhe,16,32768,53,52,7,16,1,1,14,512,24,1249,2,120,1369,8,417,120,537,12,106,378,,,1,,52,1,
openfhe,16,32768,53,52,3,20,3,3,14,512,24,1249,1,60,1309,4,209,60,269,24,53,438,,,1,,52,1,
openfhe,16,32768,53,52,5,18,2,2,14,512,24,1249,1,60,1309,6,313,60,373,24,53,438,,,1,,52,1,
openfhe,16,32768,53,52,7,16,1,1,14,512,24,1249,1,60,1309,8,417,60,477,24,53,438,,,1,,52,1,
openfhe,16,32768,53,52,3,21,3,4,14,512,,,,,,,,,,1,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1301 + 예측 logP 1320 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,3,21,4,3,14,512,,,,,,,,,,1,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1301 + 예측 logP 1320 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,4,20,3,3,14,512,,,,,,,,,,1,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1301 + 예측 logP 1320 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,6,18,2,2,14,512,,,,,,,,,,1,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1301 + 예측 logP 1320 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,8,16,1,1,14,512,,,,,,,,,,1,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1301 + 예측 logP 1320 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,3,21,3,4,14,512,,,,,,,,,,2,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1301 + 예측 logP 720 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,3,21,4,3,14,512,,,,,,,,,,2,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1301 + 예측 logP 720 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,4,20,3,3,14,512,,,,,,,,,,2,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1301 + 예측 logP 720 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,6,18,2,2,14,512,,,,,,,,,,2,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1301 + 예측 logP 720 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,8,16,1,1,14,512,,,,,,,,,,2,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1301 + 예측 logP 720 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,3,21,3,4,14,512,25,1301,8,480,1781,4,209,480,689,3,469,-34,,,1,,52,0,logQP_boot 1781 > 1747
openfhe,16,32768,53,52,3,21,4,3,14,512,25,1301,8,480,1781,4,209,480,689,3,469,-34,,,1,,52,0,logQP_boot 1781 > 1747
openfhe,16,32768,53,52,4,20,3,3,14,512,25,1301,8,480,1781,5,261,480,741,3,469,-34,,,1,,52,0,logQP_boot 1781 > 1747
openfhe,16,32768,53,52,6,18,2,2,14,512,25,1301,8,480,1781,7,365,480,845,3,469,-34,,,1,,52,0,logQP_boot 1781 > 1747
openfhe,16,32768,53,52,8,16,1,1,14,512,25,1301,8,480,1781,9,469,480,949,3,469,-34,,,1,,52,0,logQP_boot 1781 > 1747
openfhe,16,32768,53,52,3,21,3,4,14,512,25,1301,7,420,1721,4,209,420,629,4,365,26,,,1,,52,1,
openfhe,16,32768,53,52,3,21,4,3,14,512,25,1301,7,420,1721,4,209,420,629,4,365,26,,,1,,52,1,
openfhe,16,32768,53,52,4,20,3,3,14,512,25,1301,7,420,1721,5,261,420,681,4,365,26,,,1,,52,1,
openfhe,16,32768,53,52,6,18,2,2,14,512,25,1301,7,420,1721,7,365,420,785,4,365,26,,,1,,52,1,
openfhe,16,32768,53,52,8,16,1,1,14,512,25,1301,7,420,1721,9,469,420,889,4,365,26,,,1,,52,1,
openfhe,16,32768,53,52,3,21,3,4,14,512,25,1301,5,300,1601,4,209,300,509,5,261,146,,,1,,52,1,
openfhe,16,32768,53,52,3,21,4,3,14,512,25,1301,5,300,1601,4,209,300,509,5,261,146,,,1,,52,1,
openfhe,16,32768,53,52,4,20,3,3,14,512,25,1301,5,300,1601,5,261,300,561,5,261,146,,,1,,52,1,
openfhe,16,32768,53,52,6,18,2,2,14,512,25,1301,5,300,1601,7,365,300,665,5,261,146,,,1,,52,1,
openfhe,16,32768,53,52,8,16,1,1,14,512,25,1301,5,300,1601,9,469,300,769,5,261,146,,,1,,52,1,
openfhe,16,32768,53,52,3,21,3,4,14,512,25,1301,4,240,1541,4,209,240,449,7,209,206,,,1,,52,1,
openfhe,16,32768,53,52,3,21,4,3,14,512,25,1301,4,240,1541,4,209,240,449,7,209,206,,,1,,52,1,
openfhe,16,32768,53,52,4,20,3,3,14,512,25,1301,4,240,1541,5,261,240,501,7,209,206,,,1,,52,1,
openfhe,16,32768,53,52,6,18,2,2,14,512,25,1301,4,240,1541,7,365,240,605,7,209,206,,,1,,52,1,
openfhe,16,32768,53,52,8,16,1,1,14,512,25,1301,4,240,1541,9,469,240,709,7,209,206,,,1,,52,1,
openfhe,16,32768,53,52,3,21,3,4,14,512,25,1301,3,180,1481,4,209,180,389,9,157,266,,,1,,52,1,
openfhe,16,32768,53,52,3,21,4,3,14,512,25,1301,3,180,1481,4,209,180,389,9,157,266,,,1,,52,1,
openfhe,16,32768,53,52,4,20,3,3,14,512,25,1301,3,180,1481,5,261,180,441,9,157,266,,,1,,52,1,
openfhe,16,32768,53,52,6,18,2,2,14,512,25,1301,3,180,1481,7,365,180,545,9,157,266,,,1,,52,1,
openfhe,16,32768,53,52,8,16,1,1,14,512,25,1301,3,180,1481,9,469,180,649,9,157,266,,,1,,52,1,
openfhe,16,32768,53,52,3,21,3,4,14,512,25,1301,2,120,1421,4,209,120,329,13,105,326,,,1,,52,1,
openfhe,16,32768,53,52,3,21,4,3,14,512,25,1301,2,120,1421,4,209,120,329,13,105,326,,,1,,52,1,
openfhe,16,32768,53,52,4,20,3,3,14,512,25,1301,2,120,1421,5,261,120,381,13,105,326,,,1,,52,1,
openfhe,16,32768,53,52,6,18,2,2,14,512,25,1301,2,120,1421,7,365,120,485,13,105,326,,,1,,52,1,
openfhe,16,32768,53,52,8,16,1,1,14,512,25,1301,2,120,1421,9,469,120,589,13,105,326,,,1,,52,1,
openfhe,16,32768,53,52,3,21,3,4,14,512,25,1301,1,60,1361,4,209,60,269,25,53,386,,,1,,52,1,
openfhe,16,32768,53,52,3,21,4,3,14,512,25,1301,1,60,1361,4,209,60,269,25,53,386,,,1,,52,1,
openfhe,16,32768,53,52,4,20,3,3,14,512,25,1301,1,60,1361,5,261,60,321,25,53,386,,,1,,52,1,
openfhe,16,32768,53,52,6,18,2,2,14,512,25,1301,1,60,1361,7,365,60,425,25,53,386,,,1,,52,1,
openfhe,16,32768,53,52,8,16,1,1,14,512,25,1301,1,60,1361,9,469,60,529,25,53,386,,,1,,52,1,
openfhe,16,32768,53,52,3,22,4,4,14,512,,,,,,,,,,1,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1353 + 예측 logP 1380 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,4,21,3,4,14,512,,,,,,,,,,1,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1353 + 예측 logP 1380 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,4,21,4,3,14,512,,,,,,,,,,1,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1353 + 예측 logP 1380 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,5,20,3,3,14,512,,,,,,,,,,1,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1353 + 예측 logP 1380 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,7,18,2,2,14,512,,,,,,,,,,1,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1353 + 예측 logP 1380 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,9,16,1,1,14,512,,,,,,,,,,1,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1353 + 예측 logP 1380 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,3,22,4,4,14,512,,,,,,,,,,2,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1353 + 예측 logP 720 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,4,21,3,4,14,512,,,,,,,,,,2,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1353 + 예측 logP 720 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,4,21,4,3,14,512,,,,,,,,,,2,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1353 + 예측 logP 720 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,5,20,3,3,14,512,,,,,,,,,,2,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1353 + 예측 logP 720 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,7,18,2,2,14,512,,,,,,,,,,2,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1353 + 예측 logP 720 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,9,16,1,1,14,512,,,,,,,,,,2,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1353 + 예측 logP 720 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,3,22,4,4,14,512,,,,,,,,,,3,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1353 + 예측 logP 480 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,4,21,3,4,14,512,,,,,,,,,,3,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1353 + 예측 logP 480 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,4,21,4,3,14,512,,,,,,,,,,3,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1353 + 예측 logP 480 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,5,20,3,3,14,512,,,,,,,,,,3,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1353 + 예측 logP 480 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,7,18,2,2,14,512,,,,,,,,,,3,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1353 + 예측 logP 480 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,9,16,1,1,14,512,,,,,,,,,,3,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1353 + 예측 logP 480 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,3,22,4,4,14,512,26,1353,7,420,1773,4,209,420,629,4,365,-26,,,1,,52,0,logQP_boot 1773 > 1747
openfhe,16,32768,53,52,4,21,3,4,14,512,26,1353,7,420,1773,5,261,420,681,4,365,-26,,,1,,52,0,logQP_boot 1773 > 1747
openfhe,16,32768,53,52,4,21,4,3,14,512,26,1353,7,420,1773,5,261,420,681,4,365,-26,,,1,,52,0,logQP_boot 1773 > 1747
openfhe,16,32768,53,52,5,20,3,3,14,512,26,1353,7,420,1773,6,313,420,733,4,365,-26,,,1,,52,0,logQP_boot 1773 > 1747
openfhe,16,32768,53,52,7,18,2,2,14,512,26,1353,7,420,1773,8,417,420,837,4,365,-26,,,1,,52,0,logQP_boot 1773 > 1747
openfhe,16,32768,53,52,9,16,1,1,14,512,26,1353,7,420,1773,10,521,420,941,4,365,-26,,,1,,52,0,logQP_boot 1773 > 1747
openfhe,16,32768,53,52,3,22,4,4,14,512,26,1353,6,360,1713,4,209,360,569,5,314,34,,,1,,52,1,
openfhe,16,32768,53,52,4,21,3,4,14,512,26,1353,6,360,1713,5,261,360,621,5,314,34,,,1,,52,1,
openfhe,16,32768,53,52,4,21,4,3,14,512,26,1353,6,360,1713,5,261,360,621,5,314,34,,,1,,52,1,
openfhe,16,32768,53,52,5,20,3,3,14,512,26,1353,6,360,1713,6,313,360,673,5,314,34,,,1,,52,1,
openfhe,16,32768,53,52,7,18,2,2,14,512,26,1353,6,360,1713,8,417,360,777,5,314,34,,,1,,52,1,
openfhe,16,32768,53,52,9,16,1,1,14,512,26,1353,6,360,1713,10,521,360,881,5,314,34,,,1,,52,1,
openfhe,16,32768,53,52,3,22,4,4,14,512,26,1353,5,300,1653,4,209,300,509,6,261,94,,,1,,52,1,
openfhe,16,32768,53,52,4,21,3,4,14,512,26,1353,5,300,1653,5,261,300,561,6,261,94,,,1,,52,1,
openfhe,16,32768,53,52,4,21,4,3,14,512,26,1353,5,300,1653,5,261,300,561,6,261,94,,,1,,52,1,
openfhe,16,32768,53,52,5,20,3,3,14,512,26,1353,5,300,1653,6,313,300,613,6,261,94,,,1,,52,1,
openfhe,16,32768,53,52,7,18,2,2,14,512,26,1353,5,300,1653,8,417,300,717,6,261,94,,,1,,52,1,
openfhe,16,32768,53,52,9,16,1,1,14,512,26,1353,5,300,1653,10,521,300,821,6,261,94,,,1,,52,1,
openfhe,16,32768,53,52,3,22,4,4,14,512,26,1353,4,240,1593,4,209,240,449,7,210,154,,,1,,52,1,
openfhe,16,32768,53,52,4,21,3,4,14,512,26,1353,4,240,1593,5,261,240,501,7,210,154,,,1,,52,1,
openfhe,16,32768,53,52,4,21,4,3,14,512,26,1353,4,240,1593,5,261,240,501,7,210,154,,,1,,52,1,
openfhe,16,32768,53,52,5,20,3,3,14,512,26,1353,4,240,1593,6,313,240,553,7,210,154,,,1,,52,1,
openfhe,16,32768,53,52,7,18,2,2,14,512,26,1353,4,240,1593,8,417,240,657,7,210,154,,,1,,52,1,
openfhe,16,32768,53,52,9,16,1,1,14,512,26,1353,4,240,1593,10,521,240,761,7,210,154,,,1,,52,1,
openfhe,16,32768,53,52,3,22,4,4,14,512,26,1353,3,180,1533,4,209,180,389,9,157,214,,,1,,52,1,
openfhe,16,32768,53,52,4,21,3,4,14,512,26,1353,3,180,1533,5,261,180,441,9,157,214,,,1,,52,1,
openfhe,16,32768,53,52,4,21,4,3,14,512,26,1353,3,180,1533,5,261,180,441,9,157,214,,,1,,52,1,
openfhe,16,32768,53,52,5,20,3,3,14,512,26,1353,3,180,1533,6,313,180,493,9,157,214,,,1,,52,1,
openfhe,16,32768,53,52,7,18,2,2,14,512,26,1353,3,180,1533,8,417,180,597,9,157,214,,,1,,52,1,
openfhe,16,32768,53,52,9,16,1,1,14,512,26,1353,3,180,1533,10,521,180,701,9,157,214,,,1,,52,1,
openfhe,16,32768,53,52,3,22,4,4,14,512,26,1353,2,120,1473,4,209,120,329,13,106,274,,,1,,52,1,
openfhe,16,32768,53,52,4,21,3,4,14,512,26,1353,2,120,1473,5,261,120,381,13,106,274,,,1,,52,1,
openfhe,16,32768,53,52,4,21,4,3,14,512,26,1353,2,120,1473,5,261,120,381,13,106,274,,,1,,52,1,
openfhe,16,32768,53,52,5,20,3,3,14,512,26,1353,2,120,1473,6,313,120,433,13,106,274,,,1,,52,1,
openfhe,16,32768,53,52,7,18,2,2,14,512,26,1353,2,120,1473,8,417,120,537,13,106,274,,,1,,52,1,
openfhe,16,32768,53,52,9,16,1,1,14,512,26,1353,2,120,1473,10,521,120,641,13,106,274,,,1,,52,1,
openfhe,16,32768,53,52,3,22,4,4,14,512,26,1353,1,60,1413,4,209,60,269,26,53,334,,,1,,52,1,
openfhe,16,32768,53,52,4,21,3,4,14,512,26,1353,1,60,1413,5,261,60,321,26,53,334,,,1,,52,1,
openfhe,16,32768,53,52,4,21,4,3,14,512,26,1353,1,60,1413,5,261,60,321,26,53,334,,,1,,52,1,
openfhe,16,32768,53,52,5,20,3,3,14,512,26,1353,1,60,1413,6,313,60,373,26,53,334,,,1,,52,1,
openfhe,16,32768,53,52,7,18,2,2,14,512,26,1353,1,60,1413,8,417,60,477,26,53,334,,,1,,52,1,
openfhe,16,32768,53,52,9,16,1,1,14,512,26,1353,1,60,1413,10,521,60,581,26,53,334,,,1,,52,1,
openfhe,16,32768,53,52,4,22,4,4,14,512,,,,,,,,,,1,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1405 + 예측 logP 1440 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,5,21,3,4,14,512,,,,,,,,,,1,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1405 + 예측 logP 1440 > 1747+60 → 컨텍스트 미생성
