q0,delta,residual_L,levelBudget_c2s,levelBudget_s2c,boot_depth_of,evalmod_levels_of,QCount_boot_of,logQ_boot_of,PCount_boot_of,logP_boot_of,logQP_boot_of,margin_1747_of,dnum_of,QCount_residual_of,logQ_residual_of,logQP_residual_of,grid_of,boot_depth_la,evalmod_levels_la,QCount_boot_la,logQ_boot_la,PCount_boot_la,logP_boot_la,logQP_boot_la,margin_1747_la,dnum_la,QCount_residual_la,logQ_residual_la,logQP_residual_la,grid_la,rotkeys_la,rotkeys_of
40,33,5,4,4,22,14,28.0,931.0,8.0,480.0,1411.0,336.0,2,6.0,205.0,685.0,L3-14,21.0,13.0,27.0,1235.0,7,427.0,1662.0,85.0,4.0,6.0,205.0,571.0,L3-14,33,
40,33,6,2,2,18,14,25.0,832.0,14.0,840.0,1672.0,75.0,1,7.0,238.0,1078.0,L3-14,17.0,13.0,24.0,1078.0,8,488.0,1566.0,181.0,3.0,7.0,238.0,665.0,L3-14,61,
40,33,6,3,3,20,14,27.0,898.0,8.0,480.0,1378.0,369.0,2,7.0,238.0,718.0,L3-14,19.0,13.0,26.0,1173.0,7,427.0,1600.0,147.0,4.0,7.0,238.0,665.0,L3-14,39,
40,33,6,3,4,21,14,28.0,931.0,8.0,480.0,1411.0,336.0,2,7.0,238.0,718.0,L3-14,20.0,13.0,27.0,1212.0,7,427.0,1639.0,108.0,4.0,7.0,238.0,665.0,L3-14,48,
40,33,6,4,3,21,14,28.0,931.0,8.0,480.0,1411.0,336.0,2,7.0,238.0,718.0,L3-14,20.0,13.0,27.0,1229.0,7,427.0,1656.0,91.0,4.0,7.0,238.0,665.0,L3-14,48,
40,33,6,4,4,22,14,29.0,964.0,9.0,540.0,1504.0,243.0,2,7.0,238.0,778.0,L3-14,21.0,13.0,28.0,1268.0,7,427.0,1695.0,52.0,4.0,7.0,238.0,665.0,L3-14,33,
40,33,7,2,2,18,14,26.0,865.0,8.0,480.0,1345.0,402.0,2,8.0,271.0,751.0,L3-14,17.0,13.0,25.0,1111.0,7,427.0,1538.0,209.0,4.0,8.0,271.0,759.0,L3-14,61,
40,33,7,3,3,20,14,28.0,931.0,8.0,480.0,1411.0,336.0,2,8.0,271.0,751.0,L3-14,19.0,13.0,27.0,1206.0,7,427.0,1633.0,114.0,4.0,8.0,271.0,759.0,L3-14,39,
40,33,7,3,4,21,14,29.0,964.0,9.0,540.0,1504.0,243.0,2,8.0,271.0,811.0,L3-14,20.0,13.0,28.0,1245.0,7,427.0,1672.0,75.0,4.0,8.0,271.0,759.0,L3-14,48,
40,33,7,4,3,21,14,29.0,964.0,9.0,540.0,1504.0,243.0,2,8.0,271.0,811.0,L3-14,20.0,13.0,28.0,1262.0,7,427.0,1689.0,58.0,4.0,8.0,271.0,759.0,L3-14,48,
40,33,7,4,4,22,14,30.0,997.0,9.0,540.0,1537.0,210.0,2,8.0,271.0,811.0,L3-14,21.0,13.0,29.0,1301.0,6,366.0,1667.0,80.0,5.0,8.0,271.0,759.0,L3-14,33,
40,33,8,2,2,18,14,27.0,898.0,8.0,480.0,1378.0,369.0,2,9.0,304.0,784.0,L3-14,17.0,13.0,26.0,1144.0,7,427.0,1571.0,176.0,4.0,9.0,304.0,609.0,L3-14,61,
40,33,8,3,3,20,14,29.0,964.0,9.0,540.0,1504.0,243.0,2,9.0,304.0,844.0,L3-14,19.0,13.0,28.0,1239.0,7,427.0,1666.0,81.0,4.0,9.0,304.0,609.0,L3-14,39,
40,33,8,3,4,21,14,30.0,997.0,9.0,540.0,1537.0,210.0,2,9.0,304.0,844.0,L3-14,20.0,13.0,29.0,1278.0,6,366.0,1644.0,103.0,5.0,9.0,304.0,609.0,L3-14,48,
40,33,8,4,3,21,14,30.0,997.0,9.0,540.0,1537.0,210.0,2,9.0,304.0,844.0,L3-14,20.0,13.0,29.0,1295.0,6,366.0,1661.0,86.0,5.0,9.0,304.0,609.0,L3-14,48,
40,33,8,4,4,22,14,31.0,1030.0,9.0,540.0,1570.0,177.0,2,9.0,304.0,844.0,L3-14,21.0,13.0,30.0,1334.0,6,366.0,1700.0,47.0,5.0,9.0,304.0,609.0,L3-14,33,
40,33,9,2,2,18,14,28.0,931.0,8.0,480.0,1411.0,336.0,2,10.0,337.0,817.0,L3-14,17.0,13.0,27.0,1177.0,7,427.0,1604.0,143.0,4.0,10.0,337.0,642.0,L3-14,61,
40,33,9,3,3,20,14,30.0,997.0,9.0,540.0,1537.0,210.0,2,10.0,337.0,877.0,L3-14,19.0,13.0,29.0,1272.0,6,366.0,1638.0,109.0,5.0,10.0,337.0,642.0,L3-14,39,
40,33,9,3,4,21,14,31.0,1030.0,9.0,540.0,1570.0,177.0,2,10.0,337.0,877.0,L3-14,20.0,13.0,30.0,1311.0,6,366.0,1677.0,70.0,5.0,10.0,337.0,642.0,L3-14,48,
40,33,9,4,3,21,14,31.0,1030.0,9.0,540.0,1570.0,177.0,2,10.0,337.0,877.0,L3-14,20.0,13.0,30.0,1328.0,6,366.0,1694.0,53.0,5.0,10.0,337.0,642.0,L3-14,48,
40,33,9,4,4,22,14,32.0,1063.0,9.0,540.0,1603.0,144.0,2,10.0,337.0,877.0,L3-14,21.0,13.0,31.0,1367.0,6,366.0,1733.0,14.0,6.0,10.0,337.0,642.0,L3-14,33,
40,33,10,2,2,18,14,29.0,964.0,9.0,540.0,1504.0,243.0,2,11.0,370.0,910.0,L3-14,17.0,13.0,28.0,1210.0,7,427.0,1637.0,110.0,4.0,11.0,370.0,736.0,L3-14,61,
40,33,10,3,3,20,14,31.0,1030.0,9.0,540.0,1570.0,177.0,2,11.0,370.0,910.0,L3-14,19.0,13.0,30.0,1305.0,6,366.0,1671.0,76.0,5.0,11.0,370.0,736.0,L3-14,39,
40,33,10,3,4,21,14,32.0,1063.0,9.0,540.0,1603.0,144.0,2,11.0,370.0,910.0,L3-14,20.0,13.0,31.0,1344.0,6,366.0,1710.0,37.0,6.0,11.0,370.0,736.0,L3-14,48,
40,33,10,4,3,21,14,32.0,1063.0,9.0,540.0,1603.0,144.0,2,11.0,370.0,910.0,L3-14,20.0,13.0,31.0,1361.0,6,366.0,1727.0,20.0,6.0,11.0,370.0,736.0,L3-14,48,
40,33,10,4,4,22,14,33.0,1096.0,10.0,600.0,1696.0,51.0,2,11.0,370.0,970.0,L3-14,21.0,13.0,32.0,1400.0,5,305.0,1705.0,42.0,7.0,11.0,370.0,736.0,L3-14,33,
40,33,11,2,2,18,14,30.0,997.0,9.0,540.0,1537.0,210.0,2,12.0,403.0,943.0,L3-14,17.0,13.0,29.0,1243.0,8,488.0,1731.0,16.0,4.0,12.0,403.0,769.0,L3-14,61,
40,33,11,3,3,20,14,32.0,1063.0,9.0,540.0,1603.0,144.0,2,12.0,403.0,943.0,L3-14,19.0,13.0,31.0,1338.0,6,366.0,1704.0,43.0,6.0,12.0,403.0,769.0,L3-14,39,
40,33,11,3,4,21,14,33.0,1096.0,10.0,600.0,1696.0,51.0,2,12.0,403.0,1003.0,L3-14,20.0,13.0,32.0,1377.0,6,366.0,1743.0,4.0,6.0,12.0,403.0,769.0,L3-14,48,
40,33,11,4,3,21,14,33.0,1096.0,10.0,600.0,1696.0,51.0,2,12.0,403.0,1003.0,L3-14,20.0,13.0,32.0,1394.0,5,305.0,1699.0,48.0,7.0,12.0,403.0,769.0,L3-14,48,
40,33,11,4,4,22,14,34.0,1129.0,10.0,600.0,1729.0,18.0,2,12.0,403.0,1003.0,L3-14,21.0,13.0,33.0,1433.0,5,305.0,1738.0,9.0,7.0,12.0,403.0,769.0,L3-14,33,
40,33,12,2,2,18,14,31.0,1030.0,9.0,540.0,1570.0,177.0,2,13.0,436.0,976.0,L3-14,17.0,13.0,30.0,1276.0,6,366.0,1642.0,105.0,5.0,13.0,436.0,863.0,L3-14,61,
40,33,12,3,3,20,14,33.0,1096.0,10.0,600.0,1696.0,51.0,2,13.0,436.0,1036.0,L3-14,19.0,13.0,32.0,1371.0,6,366.0,1737.0,10.0,6.0,13.0,436.0,863.0,L3-14,39,
40,33,12,3,4,21,14,34.0,1129.0,10.0,600.0,1729.0,18.0,2,13.0,436.0,1036.0,L3-14,20.0,13.0,33.0,1410.0,5,305.0,1715.0,32.0,7.0,13.0,436.0,863.0,L3-14,48,
40,33,12,4,3,21,14,34.0,1129.0,10.0,600.0,1729.0,18.0,2,13.0,436.0,1036.0,L3-14,20.0,13.0,33.0,1427.0,5,305.0,1732.0,15.0,7.0,13.0,436.0,863.0,L3-14,48,
40,33,12,4,4,22,14,35.0,1162.0,7.0,420.0,1582.0,165.0,3,13.0,436.0,856.0,L3-14,21.0,13.0,34.0,1466.0,4,244.0,1710.0,37.0,9.0,13.0,436.0,863.0,L3-14,33,
40,33,13,2,2,18,14,32.0,1063.0,9.0,540.0,1603.0,144.0,2,14.0,469.0,1009.0,L3-14,17.0,13.0,31.0,1309.0,7,427.0,1736.0,11.0,5.0,14.0,469.0,896.0,L3-14,61,
40,33,13,3,3,20,14,34.0,1129.0,10.0,600.0,1729.0,18.0,2,14.0,469.0,1069.0,L3-14,19.0,13.0,33.0,1404.0,5,305.0,1709.0,38.0,7.0,14.0,469.0,896.0,L3-14,39,
40,33,13,3,4,21,14,35.0,1162.0,7.0,420.0,1582.0,165.0,3,14.0,469.0,889.0,L3-14,20.0,13.0,34.0,1443.0,4,244.0,1687.0,60.0,9.0,14.0,469.0,896.0,L3-14,48,
40,33,13,4,3,21,14,35.0,1162.0,7.0,420.0,1582.0,165.0,3,14.0,469.0,889.0,L3-14,20.0,13.0,34.0,1460.0,4,244.0,1704.0,43.0,9.0,14.0,469.0,896.0,L3-14,48,
40,33,13,4,4,22,14,36.0,1195.0,7.0,420.0,1615.0,132.0,3,14.0,469.0,889.0,L3-14,21.0,13.0,35.0,1499.0,4,244.0,1743.0,4.0,9.0,14.0,469.0,896.0,L3-14,33,
40,33,14,2,2,18,14,33.0,1096.0,10.0,600.0,1696.0,51.0,2,15.0,502.0,1102.0,L3-14,17.0,13.0,32.0,1342.0,6,366.0,1708.0,39.0,6.0,15.0,502.0,990.0,L3-14,61,
40,33,14,3,3,20,14,35.0,1162.0,7.0,420.0,1582.0,165.0,3,15.0,502.0,922.0,L3-14,19.0,13.0,34.0,1437.0,5,305.0,1742.0,5.0,7.0,15.0,502.0,990.0,L3-14,39,
40,33,14,3,4,21,14,36.0,1195.0,7.0,420.0,1615.0,132.0,3,15.0,502.0,922.0,L3-14,20.0,13.0,35.0,1476.0,4,244.0,1720.0,27.0,9.0,15.0,502.0,990.0,L3-14,48,
40,33,14,4,3,21,14,36.0,1195.0,7.0,420.0,1615.0,132.0,3,15.0,502.0,922.0,L3-14,20.0,13.0,35.0,1493.0,4,244.0,1737.0,10.0,9.0,15.0,502.0,990.0,L3-14,48,
40,33,14,4,4,22,14,37.0,1228.0,8.0,480.0,1708.0,39.0,3,15.0,502.0,982.0,L3-14,21.0,13.0,36.0,1532.0,3,183.0,1715.0,32.0,12.0,15.0,502.0,990.0,L3-14,33,
40,33,15,2,2,18,14,34.0,1129.0,10.0,600.0,1729.0,18.0,2,16.0,535.0,1135.0,L15-20,17.0,13.0,33.0,1375.0,6,366.0,1741.0,6.0,6.0,16.0,535.0,1023.0,L15-20,61,
40,33,15,3,3,20,14,36.0,1195.0,7.0,420.0,1615.0,132.0,3,16.0,535.0,955.0,L15-20,19.0,13.0,35.0,1470.0,4,244.0,1714.0,33.0,9.0,16.0,535.0,1023.0,L15-20,39,
40,33,15,3,4,21,14,37.0,1228.0,8.0,480.0,1708.0,39.0,3,16.0,535.0,1015.0,L15-20,20.0,13.0,36.0,1509.0,3,183.0,1692.0,55.0,12.0,16.0,535.0,1023.0,L15-20,48,
40,33,15,4,3,21,14,37.0,1228.0,8.0,480.0,1708.0,39.0,3,16.0,535.0,1015.0,L15-20,20.0,13.0,36.0,1526.0,3,183.0,1709.0,38.0,12.0,16.0,535.0,1023.0,L15-20,48,
40,33,15,4,4,22,14,38.0,1261.0,8.0,480.0,1741.0,6.0,3,16.0,535.0,1015.0,L15-20,21.0,13.0,37.0,1565.0,2,122.0,1687.0,60.0,19.0,16.0,535.0,1023.0,L15-20,33,
40,33,16,2,2,18,14,35.0,1162.0,7.0,420.0,1582.0,165.0,3,17.0,568.0,988.0,L15-20,17.0,13.0,34.0,1408.0,5,305.0,1713.0,34.0,7.0,17.0,568.0,934.0,L15-20,61,
40,33,16,3,3,20,14,37.0,1228.0,8.0,480.0,1708.0,39.0,3,17.0,568.0,1048.0,L15-20,19.0,13.0,36.0,1503.0,4,244.0,1747.0,0.0,9.0,17.0,568.0,934.0,L15-20,39,
40,33,16,3,4,21,14,38.0,1261.0,8.0,480.0,1741.0,6.0,3,17.0,568.0,1048.0,L15-20,20.0,13.0,37.0,1542.0,3,183.0,1725.0,22.0,13.0,17.0,568.0,934.0,L15-20,48,
40,33,16,4,3,21,14,38.0,1261.0,8.0,480.0,1741.0,6.0,3,17.0,568.0,1048.0,L15-20,20.0,13.0,37.0,1559.0,3,183.0,1742.0,5.0,13.0,17.0,568.0,934.0,L15-20,48,
40,33,16,4,4,22,14,39.0,1294.0,6.0,360.0,1654.0,93.0,4,17.0,568.0,928.0,L15-20,21.0,13.0,38.0,1598.0,2,122.0,1720.0,27.0,19.0,17.0,568.0,934.0,L15-20,33,
40,33,17,2,2,18,14,36.0,1195.0,7.0,420.0,1615.0,132.0,3,18.0,601.0,1021.0,L15-20,17.0,13.0,35.0,1441.0,5,305.0,1746.0,1.0,7.0,18.0,601.0,967.0,L15-20,61,
40,33,17,3,3,20,14,38.0,1261.0,8.0,480.0,1741.0,6.0,3,18.0,601.0,1081.0,L15-20,19.0,13.0,37.0,1536.0,3,183.0,1719.0,28.0,13.0,18.0,601.0,967.0,L15-20,39,
40,33,17,3,4,21,14,39.0,1294.0,6.0,360.0,1654.0,93.0,4,18.0,601.0,961.0,L15-20,20.0,13.0,38.0,1575.0,2,122.0,1697.0,50.0,19.0,18.0,601.0,967.0,L15-20,48,
40,33,17,4,3,21,14,39.0,1294.0,6.0,360.0,1654.0,93.0,4,18.0,601.0,961.0,L15-20,20.0,13.0,38.0,1592.0,2,122.0,1714.0,33.0,19.0,18.0,601.0,967.0,L15-20,48,
40,33,17,4,4,22,14,40.0,1327.0,6.0,360.0,1687.0,60.0,4,18.0,601.0,961.0,L15-20,21.0,13.0,39.0,1631.0,1,61.0,1692.0,55.0,39.0,18.0,601.0,967.0,L15-20,33,
40,33,18,2,2,18,14,37.0,1228.0,8.0,480.0,1708.0,39.0,3,19.0,634.0,1114.0,L15-20,17.0,13.0,36.0,1474.0,4,244.0,1718.0,29.0,9.0,19.0,634.0,1061.0,L15-20,61,
40,33,18,3,3,20,14,39.0,1294.0,6.0,360.0,1654.0,93.0,4,19.0,634.0,994.0,L15-20,19.0,13.0,38.0,1569.0,2,122.0,1691.0,56.0,19.0,19.0,634.0,1061.0,L15-20,39,
40,33,18,3,4,21,14,40.0,1327.0,6.0,360.0,1687.0,60.0,4,19.0,634.0,994.0,L15-20,20.0,13.0,39.0,1608.0,2,122.0,1730.0,17.0,20.0,19.0,634.0,1061.0,L15-20,48,
40,33,18,4,3,21,14,40.0,1327.0,6.0,360.0,1687.0,60.0,4,19.0,634.0,994.0,L15-20,20.0,13.0,39.0,1625.0,2,122.0,1747.0,0.0,20.0,19.0,634.0,1061.0,L15-20,48,
40,33,18,4,4,22,14,41.0,1360.0,6.0,360.0,1720.0,27.0,5,19.0,634.0,994.0,L15-20,21.0,13.0,40.0,1664.0,1,61.0,1725.0,22.0,40.0,19.0,634.0,1061.0,L15-20,33,
40,33,19,2,2,18,14,38.0,1261.0,8.0,480.0,1741.0,6.0,3,20.0,667.0,1147.0,L15-20,17.0,13.0,37.0,1507.0,3,183.0,1690.0,57.0,13.0,20.0,667.0,1094.0,L15-20,61,
40,33,19,3,3,20,14,40.0,1327.0,6.0,360.0,1687.0,60.0,4,20.0,667.0,1027.0,L15-20,19.0,13.0,39.0,1602.0,2,122.0,1724.0,23.0,20.0,20.0,667.0,1094.0,L15-20,39,
40,33,19,3,4,21,14,41.0,1360.0,6.0,360.0,1720.0,27.0,5,20.0,667.0,1027.0,L15-20,20.0,13.0,40.0,1641.0,1,61.0,1702.0,45.0,40.0,20.0,667.0,1094.0,L15-20,48,
40,33,19,4,3,21,14,41.0,1360.0,6.0,360.0,1720.0,27.0,5,20.0,667.0,1027.0,L15-20,20.0,13.0,40.0,1658.0,1,61.0,1719.0,28.0,40.0,20.0,667.0,1094.0,L15-20,48,
40,33,20,2,2,18,14,39.0,1294.0,6.0,360.0,1654.0,93.0,4,21.0,700.0,1060.0,L15-20,17.0,13.0,38.0,1540.0,3,183.0,1723.0,24.0,13.0,21.0,700.0,1127.0,L15-20,61,
40,33,20,3,3,20,14,41.0,1360.0,6.0,360.0,1720.0,27.0,5,21.0,700.0,1060.0,L15-20,19.0,13.0,40.0,1635.0,1,61.0,1696.0,51.0,40.0,21.0,700.0,1127.0,L15-20,39,
40,33,20,3,4,21,14,42.0,1393.0,4.0,240.0,1633.0,114.0,6,21.0,700.0,940.0,L15-20,20.0,13.0,41.0,1674.0,1,61.0,1735.0,12.0,41.0,21.0,700.0,1127.0,L15-20,48,
40,35,3,2,2,18,14,22.0,775.0,13.0,780.0,1555.0,192.0,1,4.0,145.0,925.0,L3-14,17.0,13.0,21.0,985.0,7,427.0,1412.0,335.0,3.0,4.0,145.0,389.0,L3-14,61,
40,35,3,3,3,20,14,24.0,845.0,15.0,900.0,1745.0,2.0,1,4.0,145.0,1045.0,L3-14,19.0,13.0,23.0,1080.0,8,488.0,1568.0,179.0,3.0,4.0,145.0,389.0,L3-14,39,
40,35,3,3,4,21,14,25.0,880.0,8.0,480.0,1360.0,387.0,2,4.0,145.0,625.0,L3-14,20.0,13.0,24.0,1119.0,8,488.0,1607.0,140.0,3.0,4.0,145.0,389.0,L3-14,48,
40,35,3,4,3,21,14,25.0,880.0,8.0,480.0,1360.0,387.0,2,4.0,145.0,625.0,L3-14,20.0,13.0,24.0,1136.0,8,488.0,1624.0,123.0,3.0,4.0,145.0,389.0,L3-14,48,
40,35,3,4,4,22,14,26.0,915.0,8.0,480.0,1395.0,352.0,2,4.0,145.0,625.0,L3-14,21.0,13.0,25.0,1175.0,7,427.0,1602.0,145.0,4.0,4.0,145.0,389.0,L3-14,33,
40,35,4,2,2,18,14,23.0,810.0,14.0,840.0,1650.0,97.0,1,5.0,180.0,1020.0,L3-14,17.0,13.0,22.0,1020.0,8,488.0,1508.0,239.0,3.0,5.0,180.0,485.0,L3-14,61,
40,35,4,3,3,20,14,25.0,880.0,8.0,480.0,1360.0,387.0,2,5.0,180.0,660.0,L3-14,19.0,13.0,24.0,1115.0,8,488.0,1603.0,144.0,3.0,5.0,180.0,485.0,L3-14,39,
40,35,4,3,4,21,14,26.0,915.0,8.0,480.0,1395.0,352.0,2,5.0,180.0,660.0,L3-14,20.0,13.0,25.0,1154.0,7,427.0,1581.0,166.0,4.0,5.0,180.0,485.0,L3-14,48,
40,35,4,4,3,21,14,26.0,915.0,8.0,480.0,1395.0,352.0,2,5.0,180.0,660.0,L3-14,20.0,13.0,25.0,1171.0,7,427.0,1598.0,149.0,4.0,5.0,180.0,485.0,L3-14,48,
40,35,4,4,4,22,14,27.0,950.0,9.0,540.0,1490.0,257.0,2,5.0,180.0,720.0,L3-14,21.0,13.0,26.0,1210.0,7,427.0,1637.0,110.0,4.0,5.0,180.0,485.0,L3-14,33,
40,35,5,2,2,18,14,24.0,845.0,15.0,900.0,1745.0,2.0,1,6.0,215.0,1115.0,L3-14,17.0,13.0,23.0,1055.0,8,488.0,1543.0,204.0,3.0,6.0,215.0,581.0,L3-14,61,
40,35,5,3,3,20,14,26.0,915.0,8.0,480.0,1395.0,352.0,2,6.0,215.0,695.0,L3-14,19.0,13.0,25.0,1150.0,7,427.0,1577.0,170.0,4.0,6.0,215.0,581.0,L3-14,39,
40,35,5,3,4,21,14,27.0,950.0,9.0,540.0,1490.0,257.0,2,6.0,215.0,755.0,L3-14,20.0,13.0,26.0,1189.0,7,427.0,1616.0,131.0,4.0,6.0,215.0,581.0,L3-14,48,
40,35,5,4,3,21,14,27.0,950.0,9.0,540.0,1490.0,257.0,2,6.0,215.0,755.0,L3-14,20.0,13.0,26.0,1206.0,7,427.0,1633.0,114.0,4.0,6.0,215.0,581.0,L3-14,48,
40,35,5,4,4,22,14,28.0,985.0,9.0,540.0,1525.0,222.0,2,6.0,215.0,755.0,L3-14,21.0,13.0,27.0,1245.0,7,427.0,1672.0,75.0,4.0,6.0,215.0,581.0,L3-14,33,
40,35,6,2,2,18,14,25.0,880.0,8.0,480.0,1360.0,387.0,2,7.0,250.0,730.0,L3-14,17.0,13.0,24.0,1090.0,8,488.0,1578.0,169.0,3.0,7.0,250.0,677.0,L3-14,61,
40,35,6,3,3,20,14,27.0,950.0,9.0,540.0,1490.0,257.0,2,7.0,250.0,790.0,L3-14,19.0,13.0,26.0,1185.0,7,427.0,1612.0,135.0,4.0,7.0,250.0,677.0,L3-14,39,
40,35,6,3,4,21,14,28.0,985.0,9.0,540.0,1525.0,222.0,2,7.0,250.0,790.0,L3-14,20.0,13.0,27.0,1224.0,7,427.0,1651.0,96.0,4.0,7.0,250.0,677.0,L3-14,48,
40,35,6,4,3,21,14,28.0,985.0,9.0,540.0,1525.0,222.0,2,7.0,250.0,790.0,L3-14,20.0,13.0,27.0,1241.0,7,427.0,1668.0,79.0,4.0,7.0,250.0,677.0,L3-14,48,
40,35,6,4,4,22,14,29.0,1020.0,9.0,540.0,1560.0,187.0,2,7.0,250.0,790.0,L3-14,21.0,13.0,28.0,1280.0,7,427.0,1707.0,40.0,4.0,7.0,250.0,677.0,L3-14,33,
40,35,7,2,2,18,14,26.0,915.0,8.0,480.0,1395.0,352.0,2,8.0,285.0,765.0,L3-14,17.0,13.0,25.0,1125.0,7,427.0,1552.0,195.0,4.0,8.0,285.0,773.0,L3-14,61,
40,35,7,3,3,20,14,28.0,985.0,9.0,540.0,1525.0,222.0,2,8.0,285.0,825.0,L3-14,19.0,13.0,27.0,1220.0,7,427.0,1647.0,100.0,4.0,8.0,285.0,773.0,L3-14,39,
40,35,7,3,4,21,14,29.0,1020.0,9.0,540.0,1560.0,187.0,2,8.0,285.0,825.0,L3-14,20.0,13.0,28.0,1259.0,7,427.0,1686.0,61.0,4.0,8.0,285.0,773.0,L3-14,48,
40,35,7,4,3,21,14,29.0,1020.0,9.0,540.0,1560.0,187.0,2,8.0,285.0,825.0,L3-14,20.0,13.0,28.0,1276.0,7,427.0,1703.0,44.0,4.0,8.0,285.0,773.0,L3-14,48,
40,35,7,4,4,22,14,30.0,1055.0,9.0,540.0,1595.0,152.0,2,8.0,285.0,825.0,L3-14,21.0,13.0,29.0,1315.0,6,366.0,1681.0,66.0,5.0,8.0,285.0,773.0,L3-14,33,
40,35,8,2,2,18,14,27.0,950.0,9.0,540.0,1490.0,257.0,2,9.0,320.0,860.0,L3-14,17.0,13.0,26.0,1160.0,7,427.0,1587.0,160.0,4.0,9.0,320.0,625.0,L3-14,61,
40,35,8,3,3,20,14,29.0,1020.0,9.0,540.0,1560.0,187.0,2,9.0,320.0,860.0,L3-14,19.0,13.0,28.0,1255.0,7,427.0,1682.0,65.0,4.0,9.0,320.0,625.0,L3-14,39,
40,35,8,3,4,21,14,30.0,1055.0,9.0,540.0,1595.0,152.0,2,9.0,320.0,860.0,L3-14,20.0,13.0,29.0,1294.0,6,366.0,1660.0,87.0,5.0,9.0,320.0,625.0,L3-14,48,
40,35,8,4,3,21,14,30.0,1055.0,9.0,540.0,1595.0,152.0,2,9.0,320.0,860.0,L3-14,20.0,13.0,29.0,1311.0,6,366.0,1677.0,70.0,5.0,9.0,320.0,625.0,L3-14,48,
40,35,8,4,4,22,14,31.0,1090.0,10.0,600.0,1690.0,57.0,2,9.0,320.0,920.0,L3-14,21.0,13.0,30.0,1350.0,6,366.0,1716.0,31.0,5.0,9.0,320.0,625.0,L3-14,33,
