library,logN,numSlots,q0,delta,residual_L,boot_depth,levelBudget_c2s,levelBudget_s2c,evalmod_levels,K,QCount_boot,logQ_boot,PCount_boot,logP_boot,logQP_boot,QCount_residual,logQ_residual,logP_residual,logQP_residual,dnum,maxDigitBits,margin_1747,ok,fail_reason
openfhe,16,32768,40,33,8,16,1,1,14,512,25,832,3,180,1012,9,304,180,484,5,173,735,1,
openfhe,16,32768,40,33,3,21,3,4,14,512,25,832,3,180,1012,4,139,180,319,7,139,735,1,
openfhe,16,32768,40,33,3,21,4,3,14,512,25,832,3,180,1012,4,139,180,319,7,139,735,1,
openfhe,16,32768,40,33,4,20,3,3,14,512,25,832,3,180,1012,5,172,180,352,7,139,735,1,
openfhe,16,32768,40,33,6,18,2,2,14,512,25,832,3,180,1012,7,238,180,418,7,139,735,1,
openfhe,16,32768,40,33,8,16,1,1,14,512,25,832,3,180,1012,9,304,180,484,7,139,735,1,
openfhe,16,32768,40,33,3,21,3,4,14,512,25,832,2,120,952,4,139,120,259,9,107,795,1,
openfhe,16,32768,40,33,3,21,4,3,14,512,25,832,2,120,952,4,139,120,259,9,107,795,1,
openfhe,16,32768,40,33,4,20,3,3,14,512,25,832,2,120,952,5,172,120,292,9,107,795,1,
openfhe,16,32768,40,33,6,18,2,2,14,512,25,832,2,120,952,7,238,120,358,9,107,795,1,
openfhe,16,32768,40,33,8,16,1,1,14,512,25,832,2,120,952,9,304,120,424,9,107,795,1,
openfhe,16,32768,40,33,3,21,3,4,14,512,25,832,2,120,952,4,139,120,259,13,73,795,1,
openfhe,16,32768,40,33,3,21,4,3,14,512,25,832,2,120,952,4,139,120,259,13,73,795,1,
openfhe,16,32768,40,33,4,20,3,3,14,512,25,832,2,120,952,5,172,120,292,13,73,795,1,
openfhe,16,32768,40,33,6,18,2,2,14,512,25,832,2,120,952,7,238,120,358,13,73,795,1,
openfhe,16,32768,40,33,8,16,1,1,14,512,25,832,2,120,952,9,304,120,424,13,73,795,1,
openfhe,16,32768,40,33,3,21,3,4,14,512,25,832,1,60,892,4,139,60,199,25,40,855,1,
openfhe,16,32768,40,33,3,21,4,3,14,512,25,832,1,60,892,4,139,60,199,25,40,855,1,
openfhe,16,32768,40,33,4,20,3,3,14,512,25,832,1,60,892,5,172,60,232,25,40,855,1,
openfhe,16,32768,40,33,6,18,2,2,14,512,25,832,1,60,892,7,238,60,298,25,40,855,1,
openfhe,16,32768,40,33,8,16,1,1,14,512,25,832,1,60,892,9,304,60,364,25,40,855,1,
openfhe,16,32768,40,33,3,22,4,4,14,512,26,865,15,900,1765,4,139,900,1039,1,866,-18,0,logQP_boot 1765 > 1747
openfhe,16,32768,40,33,4,21,3,4,14,512,26,865,15,900,1765,5,172,900,1072,1,866,-18,0,logQP_boot 1765 > 1747
openfhe,16,32768,40,33,4,21,4,3,14,512,26,865,15,900,1765,5,172,900,1072,1,866,-18,0,logQP_boot 1765 > 1747
openfhe,16,32768,40,33,5,20,3,3,14,512,26,865,15,900,1765,6,205,900,1105,1,866,-18,0,logQP_boot 1765 > 1747
openfhe,16,32768,40,33,7,18,2,2,14,512,26,865,15,900,1765,8,271,900,1171,1,866,-18,0,logQP_boot 1765 > 1747
openfhe,16,32768,40,33,9,16,1,1,14,512,26,865,15,900,1765,10,337,900,1237,1,866,-18,0,logQP_boot 1765 > 1747
openfhe,16,32768,40,33,3,22,4,4,14,512,26,865,8,480,1345,4,139,480,619,2,437,402,1,
openfhe,16,32768,40,33,4,21,3,4,14,512,26,865,8,480,1345,5,172,480,652,2,437,402,1,
openfhe,16,32768,40,33,4,21,4,3,14,512,26,865,8,480,1345,5,172,480,652,2,437,402,1,
openfhe,16,32768,40,33,5,20,3,3,14,512,26,865,8,480,1345,6,205,480,685,2,437,402,1,
openfhe,16,32768,40,33,7,18,2,2,14,512,26,865,8,480,1345,8,271,480,751,2,437,402,1,
openfhe,16,32768,40,33,9,16,1,1,14,512,26,865,8,480,1345,10,337,480,817,2,437,402,1,
openfhe,16,32768,40,33,3,22,4,4,14,512,26,865,6,360,1225,4,139,360,499,3,305,522,1,
openfhe,16,32768,40,33,4,21,3,4,14,512,26,865,6,360,1225,5,172,360,532,3,305,522,1,
openfhe,16,32768,40,33,4,21,4,3,14,512,26,865,6,360,1225,5,172,360,532,3,305,522,1,
openfhe,16,32768,40,33,5,20,3,3,14,512,26,865,6,360,1225,6,205,360,565,3,305,522,1,
openfhe,16,32768,40,33,7,18,2,2,14,512,26,865,6,360,1225,8,271,360,631,3,305,522,1,
openfhe,16,32768,40,33,9,16,1,1,14,512,26,865,6,360,1225,10,337,360,697,3,305,522,1,
openfhe,16,32768,40,33,3,22,4,4,14,512,26,865,4,240,1105,4,139,240,379,4,239,642,1,
openfhe,16,32768,40,33,4,21,3,4,14,512,26,865,4,240,1105,5,172,240,412,4,239,642,1,
openfhe,16,32768,40,33,4,21,4,3,14,512,26,865,4,240,1105,5,172,240,412,4,239,642,1,
openfhe,16,32768,40,33,5,20,3,3,14,512,26,865,4,240,1105,6,205,240,445,4,239,642,1,
openfhe,16,32768,40,33,7,18,2,2,14,512,26,865,4,240,1105,8,271,240,511,4,239,642,1,
openfhe,16,32768,40,33,9,16,1,1,14,512,26,865,4,240,1105,10,337,240,577,4,239,642,1,
openfhe,16,32768,40,33,3,22,4,4,14,512,26,865,4,240,1105,4,139,240,379,5,206,642,1,
openfhe,16,32768,40,33,4,21,3,4,14,512,26,865,4,240,1105,5,172,240,412,5,206,642,1,
openfhe,16,32768,40,33,4,21,4,3,14,512,26,865,4,240,1105,5,172,240,412,5,206,642,1,
openfhe,16,32768,40,33,5,20,3,3,14,512,26,865,4,240,1105,6,205,240,445,5,206,642,1,
openfhe,16,32768,40,33,7,18,2,2,14,512,26,865,4,240,1105,8,271,240,511,5,206,642,1,
openfhe,16,32768,40,33,9,16,1,1,14,512,26,865,4,240,1105,10,337,240,577,5,206,642,1,
openfhe,16,32768,40,33,3,22,4,4,14,512,26,865,3,180,1045,4,139,180,319,6,173,702,1,
openfhe,16,32768,40,33,4,21,3,4,14,512,26,865,3,180,1045,5,172,180,352,6,173,702,1,
openfhe,16,32768,40,33,4,21,4,3,14,512,26,865,3,180,1045,5,172,180,352,6,173,702,1,
openfhe,16,32768,40,33,5,20,3,3,14,512,26,865,3,180,1045,6,205,180,385,6,173,702,1,
openfhe,16,32768,40,33,7,18,2,2,14,512,26,865,3,180,1045,8,271,180,451,6,173,702,1,
openfhe,16,32768,40,33,9,16,1,1,14,512,26,865,3,180,1045,10,337,180,517,6,173,702,1,
openfhe,16,32768,40,33,3,22,4,4,14,512,26,865,3,180,1045,4,139,180,319,7,140,702,1,
openfhe,16,32768,40,33,4,21,3,4,14,512,26,865,3,180,1045,5,172,180,352,7,140,702,1,
openfhe,16,32768,40,33,4,21,4,3,14,512,26,865,3,180,1045,5,172,180,352,7,140,702,1,
openfhe,16,32768,40,33,5,20,3,3,14,512,26,865,3,180,1045,6,205,180,385,7,140,702,1,
openfhe,16,32768,40,33,7,18,2,2,14,512,26,865,3,180,1045,8,271,180,451,7,140,702,1,
openfhe,16,32768,40,33,9,16,1,1,14,512,26,865,3,180,1045,10,337,180,517,7,140,702,1,
openfhe,16,32768,40,33,3,22,4,4,14,512,26,865,2,120,985,4,139,120,259,9,107,762,1,
openfhe,16,32768,40,33,4,21,3,4,14,512,26,865,2,120,985,5,172,120,292,9,107,762,1,
openfhe,16,32768,40,33,4,21,4,3,14,512,26,865,2,120,985,5,172,120,292,9,107,762,1,
openfhe,16,32768,40,33,5,20,3,3,14,512,26,865,2,120,985,6,205,120,325,9,107,762,1,
openfhe,16,32768,40,33,7,18,2,2,14,512,26,865,2,120,985,8,271,120,391,9,107,762,1,
openfhe,16,32768,40,33,9,16,1,1,14,512,26,865,2,120,985,10,337,120,457,9,107,762,1,
openfhe,16,32768,40,33,3,22,4,4,14,512,26,865,2,120,985,4,139,120,259,13,74,762,1,
openfhe,16,32768,40,33,4,21,3,4,14,512,26,865,2,120,985,5,172,120,292,13,74,762,1,
openfhe,16,32768,40,33,4,21,4,3,14,512,26,865,2,120,985,5,172,120,292,13,74,762,1,
openfhe,16,32768,40,33,5,20,3,3,14,512,26,865,2,120,985,6,205,120,325,13,74,762,1,
openfhe,16,32768,40,33,7,18,2,2,14,512,26,865,2,120,985,8,271,120,391,13,74,762,1,
openfhe,16,32768,40,33,9,16,1,1,14,512,26,865,2,120,985,10,337,120,457,13,74,762,1,
openfhe,16,32768,40,33,3,22,4,4,14,512,26,865,1,60,925,4,139,60,199,26,40,822,1,
openfhe,16,32768,40,33,4,21,3,4,14,512,26,865,1,60,925,5,172,60,232,26,40,822,1,
openfhe,16,32768,40,33,4,21,4,3,14,512,26,865,1,60,925,5,172,60,232,26,40,822,1,
openfhe,16,32768,40,33,5,20,3,3,14,512,26,865,1,60,925,6,205,60,265,26,40,822,1,
openfhe,16,32768,40,33,7,18,2,2,14,512,26,865,1,60,925,8,271,60,331,26,40,822,1,
openfhe,16,32768,40,33,9,16,1,1,14,512,26,865,1,60,925,10,337,60,397,26,40,822,1,
openfhe,16,32768,40,33,4,22,4,4,14,512,27,898,15,900,1798,5,172,900,1072,1,899,-51,0,logQP_boot 1798 > 1747
openfhe,16,32768,40,33,5,21,3,4,14,512,27,898,15,900,1798,6,205,900,1105,1,899,-51,0,logQP_boot 1798 > 1747
openfhe,16,32768,40,33,5,21,4,3,14,512,27,898,15,900,1798,6,205,900,1105,1,899,-51,0,logQP_boot 1798 > 1747
openfhe,16,32768,40,33,6,20,3,3,14,512,27,898,15,900,1798,7,238,900,1138,1,899,-51,0,logQP_boot 1798 > 1747
openfhe,16,32768,40,33,8,18,2,2,14,512,27,898,15,900,1798,9,304,900,1204,1,899,-51,0,logQP_boot 1798 > 1747
openfhe,16,32768,40,33,10,16,1,1,14,512,27,898,15,900,1798,11,370,900,1270,1,899,-51,0,logQP_boot 1798 > 1747
openfhe,16,32768,40,33,4,22,4,4,14,512,27,898,8,480,1378,5,172,480,652,2,470,369,1,
openfhe,16,32768,40,33,5,21,3,4,14,512,27,898,8,480,1378,6,205,480,685,2,470,369,1,
openfhe,16,32768,40,33,5,21,4,3,14,512,27,898,8,480,1378,6,205,480,685,2,470,369,1,
openfhe,16,32768,40,33,6,20,3,3,14,512,27,898,8,480,1378,7,238,480,718,2,470,369,1,
openfhe,16,32768,40,33,8,18,2,2,14,512,27,898,8,480,1378,9,304,480,784,2,470,369,1,
openfhe,16,32768,40,33,10,16,1,1,14,512,27,898,8,480,1378,11,370,480,850,2,470,369,1,
openfhe,16,32768,40,33,4,22,4,4,14,512,27,898,6,360,1258,5,172,360,532,3,305,489,1,
openfhe,16,32768,40,33,5,21,3,4,14,512,27,898,6,360,1258,6,205,360,565,3,305,489,1,
openfhe,16,32768,40,33,5,21,4,3,14,512,27,898,6,360,1258,6,205,360,565,3,305,489,1,
openfhe,16,32768,40,33,6,20,3,3,14,512,27,898,6,360,1258,7,238,360,598,3,305,489,1,
openfhe,16,32768,40,33,8,18,2,2,14,512,27,898,6,360,1258,9,304,360,664,3,305,489,1,
openfhe,16,32768,40,33,10,16,1,1,14,512,27,898,6,360,1258,11,370,360,730,3,305,489,1,
openfhe,16,32768,40,33,4,22,4,4,14,512,27,898,4,240,1138,5,172,240,412,4,239,609,1,
openfhe,16,32768,40,33,5,21,3,4,14,512,27,898,4,240,1138,6,205,240,445,4,239,609,1,
openfhe,16,32768,40,33,5,21,4,3,14,512,27,898,4,240,1138,6,205,240,445,4,239,609,1,
openfhe,16,32768,40,33,6,20,3,3,14,512,27,898,4,240,1138,7,238,240,478,4,239,609,1,
openfhe,16,32768,40,33,8,18,2,2,14,512,27,898,4,240,1138,9,304,240,544,4,239,609,1,
openfhe,16,32768,40,33,10,16,1,1,14,512,27,898,4,240,1138,11,370,240,610,4,239,609,1,
openfhe,16,32768,40,33,4,22,4,4,14,512,27,898,4,240,1138,5,172,240,412,5,205,609,1,
openfhe,16,32768,40,33,5,21,3,4,14,512,27,898,4,240,1138,6,205,240,445,5,205,609,1,
openfhe,16,32768,40,33,5,21,4,3,14,512,27,898,4,240,1138,6,205,240,445,5,205,609,1,
openfhe,16,32768,40,33,6,20,3,3,14,512,27,898,4,240,1138,7,238,240,478,5,205,609,1,
openfhe,16,32768,40,33,8,18,2,2,14,512,27,898,4,240,1138,9,304,240,544,5,205,609,1,
openfhe,16,32768,40,33,10,16,1,1,14,512,27,898,4,240,1138,11,370,240,610,5,205,609,1,
openfhe,16,32768,40,33,4,22,4,4,14,512,27,898,3,180,1078,5,172,180,352,6,173,669,1,
openfhe,16,32768,40,33,5,21,3,4,14,512,27,898,3,180,1078,6,205,180,385,6,173,669,1,
openfhe,16,32768,40,33,5,21,4,3,14,512,27,898,3,180,1078,6,205,180,385,6,173,669,1,
openfhe,16,32768,40,33,6,20,3,3,14,512,27,898,3,180,1078,7,238,180,418,6,173,669,1,
openfhe,16,32768,40,33,8,18,2,2,14,512,27,898,3,180,1078,9,304,180,484,6,173,669,1,
openfhe,16,32768,40,33,10,16,1,1,14,512,27,898,3,180,1078,11,370,180,550,6,173,669,1,
openfhe,16,32768,40,33,4,22,4,4,14,512,27,898,3,180,1078,5,172,180,352,7,139,669,1,
openfhe,16,32768,40,33,5,21,3,4,14,512,27,898,3,180,1078,6,205,180,385,7,139,669,1,
openfhe,16,32768,40,33,5,21,4,3,14,512,27,898,3,180,1078,6,205,180,385,7,139,669,1,
openfhe,16,32768,40,33,6,20,3,3,14,512,27,898,3,180,1078,7,238,180,418,7,139,669,1,
openfhe,16,32768,40,33,8,18,2,2,14,512,27,898,3,180,1078,9,304,180,484,7,139,669,1,
openfhe,16,32768,40,33,10,16,1,1,14,512,27,898,3,180,1078,11,370,180,550,7,139,669,1,
openfhe,16,32768,40,33,4,22,4,4,14,512,27,898,2,120,1018,5,172,120,292,9,107,729,1,
openfhe,16,32768,40,33,5,21,3,4,14,512,27,898,2,120,1018,6,205,120,325,9,107,729,1,
openfhe,16,32768,40,33,5,21,4,3,14,512,27,898,2,120,1018,6,205,120,325,9,107,729,1,
openfhe,16,32768,40,33,6,20,3,3,14,512,27,898,2,120,1018,7,238,120,358,9,107,729,1,
openfhe,16,32768,40,33,8,18,2,2,14,512,27,898,2,120,1018,9,304,120,424,9,107,729,1,
openfhe,16,32768,40,33,10,16,1,1,14,512,27,898,2,120,1018,11,370,120,490,9,107,729,1,
openfhe,16,32768,40,33,4,22,4,4,14,512,27,898,2,120,1018,5,172,120,292,14,73,729,1,
openfhe,16,32768,40,33,5,21,3,4,14,512,27,898,2,120,1018,6,205,120,325,14,73,729,1,
openfhe,16,32768,40,33,5,21,4,3,14,512,27,898,2,120,1018,6,205,120,325,14,73,729,1,
openfhe,16,32768,40,33,6,20,3,3,14,512,27,898,2,120,1018,7,238,120,358,14,73,729,1,
openfhe,16,32768,40,33,8,18,2,2,14,512,27,898,2,120,1018,9,304,120,424,14,73,729,1,
openfhe,16,32768,40,33,10,16,1,1,14,512,27,898,2,120,1018,11,370,120,490,14,73,729,1,
openfhe,16,32768,40,33,4,22,4,4,14,512,27,898,1,60,958,5,172,60,232,27,40,789,1,
openfhe,16,32768,40,33,5,21,3,4,14,512,27,898,1,60,958,6,205,60,265,27,40,789,1,
openfhe,16,32768,40,33,5,21,4,3,14,512,27,898,1,60,958,6,205,60,265,27,40,789,1,
openfhe,16,32768,40,33,6,20,3,3,14,512,27,898,1,60,958,7,238,60,298,27,40,789,1,
openfhe,16,32768,40,33,8,18,2,2,14,512,27,898,1,60,958,9,304,60,364,27,40,789,1,
openfhe,16,32768,40,33,10,16,1,1,14,512,27,898,1,60,958,11,370,60,430,27,40,789,1,
openfhe,16,32768,40,33,5,22,4,4,14,512,,,,,,,,,,1,,,0,예측 탈락(§8.5 규칙4): logQ 931 + 예측 logP 960 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,40,33,6,21,3,4,14,512,,,,,,,,,,1,,,0,예측 탈락(§8.5 규칙4): logQ 931 + 예측 logP 960 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,40,33,6,21,4,3,14,512,,,,,,,,,,1,,,0,예측 탈락(§8.5 규칙4): logQ 931 + 예측 logP 960 > 1747+60 → 컨텍스트 미생성
