library,logN,numSlots,q0,delta,residual_L,boot_depth,levelBudget_c2s,levelBudget_s2c,evalmod_levels,evalmod_scale,K,QCount_boot,logQ_boot,PCount_boot,logP_boot,logQP_boot,QCount_residual,logQ_residual,logP_residual,logQP_residual,dnum,maxDigitBits,margin_1747,mod1_degree,mod1_inv_degree,log_message_ratio,ephemeral_secret_weight,in_scale_log2,ok,fail_reason
lattigo,16,32768,53,52,3,14,2,4,8,50,16,18,877,2,122,999,4,209,244,453,9,112,748,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,2,4,8,50,16,18,877,3,183,1060,4,209,244,453,6,162,687,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,2,4,8,50,16,18,877,4,244,1121,4,209,244,453,5,209,626,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,2,4,8,50,16,18,877,5,305,1182,4,209,244,453,4,250,565,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,2,4,8,50,16,18,877,6,366,1243,4,209,244,453,3,312,504,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,2,4,8,50,16,18,877,7,427,1304,4,209,244,453,3,339,443,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,2,4,8,50,16,18,877,8,488,1365,4,209,244,453,3,400,382,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,2,4,8,55,16,18,917,1,61,978,4,209,244,453,18,56,769,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,2,4,8,55,16,18,917,2,122,1039,4,209,244,453,9,112,708,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,2,4,8,55,16,18,917,3,183,1100,4,209,244,453,6,167,647,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,2,4,8,55,16,18,917,4,244,1161,4,209,244,453,5,220,586,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,2,4,8,55,16,18,917,5,305,1222,4,209,244,453,4,275,525,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,2,4,8,55,16,18,917,6,366,1283,4,209,244,453,3,332,464,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,2,4,8,55,16,18,917,7,427,1344,4,209,244,453,3,369,403,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,2,4,8,55,16,18,917,8,488,1405,4,209,244,453,3,440,342,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,2,4,8,60,16,18,957,1,61,1018,4,209,244,453,18,60,729,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,2,4,8,60,16,18,957,2,122,1079,4,209,244,453,9,120,668,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,2,4,8,60,16,18,957,3,183,1140,4,209,244,453,6,180,607,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,2,4,8,60,16,18,957,4,244,1201,4,209,244,453,5,240,546,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,2,4,8,60,16,18,957,5,305,1262,4,209,244,453,4,300,485,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,2,4,8,60,16,18,957,6,366,1323,4,209,244,453,3,352,424,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,2,4,8,60,16,18,957,7,427,1384,4,209,244,453,3,399,363,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,2,4,8,60,16,18,957,8,488,1445,4,209,244,453,3,480,302,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,3,2,8,50,16,17,855,1,61,916,4,209,244,453,17,56,831,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,3,2,8,50,16,17,855,2,122,977,4,209,244,453,9,112,770,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,3,2,8,50,16,17,855,3,183,1038,4,209,244,453,6,157,709,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,3,2,8,50,16,17,855,4,244,1099,4,209,244,453,5,212,648,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,3,2,8,50,16,17,855,5,305,1160,4,209,244,453,4,256,587,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,3,2,8,50,16,17,855,6,366,1221,4,209,244,453,3,300,526,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,3,2,8,50,16,17,855,7,427,1282,4,209,244,453,3,350,465,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,3,2,8,50,16,17,855,8,488,1343,4,209,244,453,3,412,404,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,3,2,8,55,16,17,895,1,61,956,4,209,244,453,17,56,791,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,3,2,8,55,16,17,895,2,122,1017,4,209,244,453,9,112,730,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,3,2,8,55,16,17,895,3,183,1078,4,209,244,453,6,166,669,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,3,2,8,55,16,17,895,4,244,1139,4,209,244,453,5,222,608,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,3,2,8,55,16,17,895,5,305,1200,4,209,244,453,4,276,547,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,3,2,8,55,16,17,895,6,366,1261,4,209,244,453,3,330,486,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,3,2,8,55,16,17,895,7,427,1322,4,209,244,453,3,385,425,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,3,2,8,55,16,17,895,8,488,1383,4,209,244,453,3,442,364,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,3,2,8,60,16,17,935,1,61,996,4,209,244,453,17,60,751,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,3,2,8,60,16,17,935,2,122,1057,4,209,244,453,9,120,690,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,3,2,8,60,16,17,935,3,183,1118,4,209,244,453,6,180,629,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,3,2,8,60,16,17,935,4,244,1179,4,209,244,453,5,240,568,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,3,2,8,60,16,17,935,5,305,1240,4,209,244,453,4,296,507,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,3,2,8,60,16,17,935,6,366,1301,4,209,244,453,3,360,446,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,3,2,8,60,16,17,935,7,427,1362,4,209,244,453,3,420,385,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,3,2,8,60,16,17,935,8,488,1423,4,209,244,453,3,472,324,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,3,3,8,50,16,18,894,1,61,955,4,209,244,453,18,56,792,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,3,3,8,50,16,18,894,2,122,1016,4,209,244,453,9,112,731,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,3,3,8,50,16,18,894,3,183,1077,4,209,244,453,6,168,670,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,3,3,8,50,16,18,894,4,244,1138,4,209,244,453,5,209,609,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,3,3,8,50,16,18,894,5,305,1199,4,209,244,453,4,250,548,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,3,3,8,50,16,18,894,6,366,1260,4,209,244,453,3,318,487,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,3,3,8,50,16,18,894,7,427,1321,4,209,244,453,3,350,426,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,3,3,8,50,16,18,894,8,488,1382,4,209,244,453,3,406,365,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,3,3,8,55,16,18,934,1,61,995,4,209,244,453,18,56,752,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,3,3,8,55,16,18,934,2,122,1056,4,209,244,453,9,112,691,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,3,3,8,55,16,18,934,3,183,1117,4,209,244,453,6,168,630,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,3,3,8,55,16,18,934,4,244,1178,4,209,244,453,5,221,569,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,3,3,8,55,16,18,934,5,305,1239,4,209,244,453,4,275,508,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,3,3,8,55,16,18,934,6,366,1300,4,209,244,453,3,333,447,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,3,3,8,55,16,18,934,7,427,1361,4,209,244,453,3,385,386,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,3,3,8,55,16,18,934,8,488,1422,4,209,244,453,3,441,325,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,3,3,8,60,16,18,974,1,61,1035,4,209,244,453,18,60,712,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,3,3,8,60,16,18,974,2,122,1096,4,209,244,453,9,120,651,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,3,3,8,60,16,18,974,3,183,1157,4,209,244,453,6,180,590,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,3,3,8,60,16,18,974,4,244,1218,4,209,244,453,5,240,529,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,3,3,8,60,16,18,974,5,305,1279,4,209,244,453,4,300,468,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,3,3,8,60,16,18,974,6,366,1340,4,209,244,453,3,348,407,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,3,3,8,60,16,18,974,7,427,1401,4,209,244,453,3,420,346,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,3,3,8,60,16,18,974,8,488,1462,4,209,244,453,3,476,285,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,3,4,8,50,16,19,933,1,61,994,4,209,244,453,19,56,753,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,3,4,8,50,16,19,933,2,122,1055,4,209,244,453,10,112,692,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,3,4,8,50,16,19,933,3,183,1116,4,209,244,453,7,162,631,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,3,4,8,50,16,19,933,4,244,1177,4,209,244,453,5,209,570,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,3,4,8,50,16,19,933,5,305,1238,4,209,244,453,4,250,509,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,3,4,8,50,16,19,933,6,366,1299,4,209,244,453,4,312,448,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,3,4,8,50,16,19,933,7,427,1360,4,209,244,453,3,339,387,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,3,4,8,50,16,19,933,8,488,1421,4,209,244,453,3,400,326,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,3,4,8,55,16,19,973,1,61,1034,4,209,244,453,19,56,713,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,3,4,8,55,16,19,973,2,122,1095,4,209,244,453,10,112,652,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,3,4,8,55,16,19,973,3,183,1156,4,209,244,453,7,167,591,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,3,4,8,55,16,19,973,4,244,1217,4,209,244,453,5,220,530,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,3,4,8,55,16,19,973,5,305,1278,4,209,244,453,4,275,469,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,3,4,8,55,16,19,973,6,366,1339,4,209,244,453,4,332,408,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,3,4,8,55,16,19,973,7,427,1400,4,209,244,453,3,369,347,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,3,4,8,55,16,19,973,8,488,1461,4,209,244,453,3,440,286,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,3,4,8,60,16,19,1013,1,61,1074,4,209,244,453,19,60,673,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,3,4,8,60,16,19,1013,2,122,1135,4,209,244,453,10,120,612,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,3,4,8,60,16,19,1013,3,183,1196,4,209,244,453,7,180,551,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,3,4,8,60,16,19,1013,4,244,1257,4,209,244,453,5,240,490,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,3,4,8,60,16,19,1013,5,305,1318,4,209,244,453,4,300,429,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,3,4,8,60,16,19,1013,6,366,1379,4,209,244,453,4,352,368,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,3,4,8,60,16,19,1013,7,427,1440,4,209,244,453,3,399,307,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,3,4,8,60,16,19,1013,8,488,1501,4,209,244,453,3,480,246,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,4,2,8,50,16,18,911,1,61,972,4,209,244,453,18,56,775,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,4,2,8,50,16,18,911,2,122,1033,4,209,244,453,9,112,714,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,4,2,8,50,16,18,911,3,183,1094,4,209,244,453,6,168,653,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,4,2,8,50,16,18,911,4,244,1155,4,209,244,453,5,212,592,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,4,2,8,50,16,18,911,5,305,1216,4,209,244,453,4,256,531,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,4,2,8,50,16,18,911,6,366,1277,4,209,244,453,3,324,470,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,4,2,8,50,16,18,911,7,427,1338,4,209,244,453,3,350,409,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,4,2,8,50,16,18,911,8,488,1399,4,209,244,453,3,412,348,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,4,2,8,55,16,18,951,1,61,1012,4,209,244,453,18,56,735,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,4,2,8,55,16,18,951,2,122,1073,4,209,244,453,9,112,674,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,4,2,8,55,16,18,951,3,183,1134,4,209,244,453,6,168,613,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,4,2,8,55,16,18,951,4,244,1195,4,209,244,453,5,222,552,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,4,2,8,55,16,18,951,5,305,1256,4,209,244,453,4,276,491,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,4,2,8,55,16,18,951,6,366,1317,4,209,244,453,3,334,430,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,4,2,8,55,16,18,951,7,427,1378,4,209,244,453,3,385,369,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,4,2,8,55,16,18,951,8,488,1439,4,209,244,453,3,442,308,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,4,2,8,60,16,18,991,1,61,1052,4,209,244,453,18,60,695,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,4,2,8,60,16,18,991,2,122,1113,4,209,244,453,9,120,634,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,4,2,8,60,16,18,991,3,183,1174,4,209,244,453,6,180,573,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,4,2,8,60,16,18,991,4,244,1235,4,209,244,453,5,240,512,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,4,2,8,60,16,18,991,5,305,1296,4,209,244,453,4,296,451,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,4,2,8,60,16,18,991,6,366,1357,4,209,244,453,3,360,390,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,4,2,8,60,16,18,991,7,427,1418,4,209,244,453,3,420,329,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,4,2,8,60,16,18,991,8,488,1479,4,209,244,453,3,472,268,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,4,3,8,50,16,19,950,1,61,1011,4,209,244,453,19,56,736,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,4,3,8,50,16,19,950,2,122,1072,4,209,244,453,10,112,675,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,4,3,8,50,16,19,950,3,183,1133,4,209,244,453,7,168,614,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,4,3,8,50,16,19,950,4,244,1194,4,209,244,453,5,209,553,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,4,3,8,50,16,19,950,5,305,1255,4,209,244,453,4,250,492,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,4,3,8,50,16,19,950,6,366,1316,4,209,244,453,4,318,431,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,4,3,8,50,16,19,950,7,427,1377,4,209,244,453,3,350,370,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,4,3,8,50,16,19,950,8,488,1438,4,209,244,453,3,406,309,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,4,3,8,55,16,19,990,1,61,1051,4,209,244,453,19,56,696,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,4,3,8,55,16,19,990,2,122,1112,4,209,244,453,10,112,635,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,4,3,8,55,16,19,990,3,183,1173,4,209,244,453,7,168,574,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,4,3,8,55,16,19,990,4,244,1234,4,209,244,453,5,221,513,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,4,3,8,55,16,19,990,5,305,1295,4,209,244,453,4,275,452,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,4,3,8,55,16,19,990,6,366,1356,4,209,244,453,4,333,391,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,4,3,8,55,16,19,990,7,427,1417,4,209,244,453,3,385,330,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,4,3,8,55,16,19,990,8,488,1478,4,209,244,453,3,441,269,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,4,3,8,60,16,19,1030,1,61,1091,4,209,244,453,19,60,656,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,4,3,8,60,16,19,1030,2,122,1152,4,209,244,453,10,120,595,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,4,3,8,60,16,19,1030,3,183,1213,4,209,244,453,7,180,534,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,4,3,8,60,16,19,1030,4,244,1274,4,209,244,453,5,240,473,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,4,3,8,60,16,19,1030,5,305,1335,4,209,244,453,4,300,412,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,4,3,8,60,16,19,1030,6,366,1396,4,209,244,453,4,348,351,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,4,3,8,60,16,19,1030,7,427,1457,4,209,244,453,3,420,290,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,15,4,3,8,60,16,19,1030,8,488,1518,4,209,244,453,3,476,229,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,16,4,4,8,50,16,20,989,1,61,1050,4,209,244,453,20,56,697,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,16,4,4,8,50,16,20,989,2,122,1111,4,209,244,453,10,112,636,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,16,4,4,8,50,16,20,989,3,183,1172,4,209,244,453,7,162,575,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,16,4,4,8,50,16,20,989,4,244,1233,4,209,244,453,5,224,514,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,16,4,4,8,50,16,20,989,5,305,1294,4,209,244,453,4,274,453,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,16,4,4,8,50,16,20,989,6,366,1355,4,209,244,453,4,312,392,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,16,4,4,8,50,16,20,989,7,427,1416,4,209,244,453,3,339,331,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,16,4,4,8,50,16,20,989,8,488,1477,4,209,244,453,3,400,270,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,16,4,4,8,55,16,20,1029,1,61,1090,4,209,244,453,20,56,657,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,16,4,4,8,55,16,20,1029,2,122,1151,4,209,244,453,10,112,596,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,16,4,4,8,55,16,20,1029,3,183,1212,4,209,244,453,7,167,535,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,16,4,4,8,55,16,20,1029,4,244,1273,4,209,244,453,5,224,474,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,16,4,4,8,55,16,20,1029,5,305,1334,4,209,244,453,4,279,413,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,16,4,4,8,55,16,20,1029,6,366,1395,4,209,244,453,4,332,352,30,0,1,32,52,1,
