q0,delta,residual_L,levelBudget_c2s,levelBudget_s2c,boot_depth_of,evalmod_levels_of,QCount_boot_of,logQ_boot_of,PCount_boot_of,logP_boot_of,logQP_boot_of,margin_1747_of,dnum_of,log_message_ratio_of,boot_depth_la,evalmod_levels_la,QCount_boot_la,logQ_boot_la,PCount_boot_la,logP_boot_la,logQP_boot_la,margin_1747_la,dnum_la,log_message_ratio_la,evalmod_scale_la
53,52,7,3,3,20,14,28.0,1457.0,4.0,240.0,1697.0,50.0,7,1,14.0,8.0,22.0,1102.0,8,488.0,1590.0,157.0,3.0,1,50
53,52,7,3,4,21,14,29.0,1509.0,3.0,180.0,1689.0,58.0,10,1,15.0,8.0,23.0,1141.0,8,488.0,1629.0,118.0,3.0,1,50
53,52,7,4,3,21,14,29.0,1509.0,3.0,180.0,1689.0,58.0,10,1,15.0,8.0,23.0,1158.0,8,488.0,1646.0,101.0,3.0,1,50
53,52,7,4,4,22,14,30.0,1561.0,3.0,180.0,1741.0,6.0,10,1,16.0,8.0,24.0,1197.0,8,488.0,1685.0,62.0,3.0,1,50
53,52,8,2,2,18,14,27.0,1405.0,5.0,300.0,1705.0,42.0,6,1,12.0,8.0,21.0,1059.0,7,427.0,1486.0,261.0,3.0,1,50
53,52,8,3,3,20,14,29.0,1509.0,3.0,180.0,1689.0,58.0,10,1,14.0,8.0,23.0,1154.0,8,488.0,1642.0,105.0,3.0,1,50
53,52,8,3,4,21,14,30.0,1561.0,3.0,180.0,1741.0,6.0,10,1,15.0,8.0,24.0,1193.0,8,488.0,1681.0,66.0,3.0,1,50
53,52,8,4,3,21,14,30.0,1561.0,3.0,180.0,1741.0,6.0,10,1,15.0,8.0,24.0,1210.0,8,488.0,1698.0,49.0,3.0,1,50
53,52,8,4,4,22,14,31.0,1613.0,2.0,120.0,1733.0,14.0,16,1,16.0,8.0,25.0,1249.0,7,427.0,1676.0,71.0,4.0,1,50
53,52,9,2,2,18,14,28.0,1457.0,4.0,240.0,1697.0,50.0,7,1,12.0,8.0,22.0,1111.0,8,488.0,1599.0,148.0,3.0,1,50
53,52,9,3,3,20,14,30.0,1561.0,3.0,180.0,1741.0,6.0,10,1,14.0,8.0,24.0,1206.0,8,488.0,1694.0,53.0,3.0,1,50
53,52,9,3,4,21,14,31.0,1613.0,2.0,120.0,1733.0,14.0,16,1,15.0,8.0,25.0,1245.0,7,427.0,1672.0,75.0,4.0,1,50
53,52,9,4,3,21,14,31.0,1613.0,2.0,120.0,1733.0,14.0,16,1,15.0,8.0,25.0,1262.0,7,427.0,1689.0,58.0,4.0,1,50
53,52,9,4,4,22,14,32.0,1665.0,1.0,60.0,1725.0,22.0,32,1,16.0,8.0,26.0,1301.0,7,427.0,1728.0,19.0,4.0,1,50
53,52,10,2,2,18,14,29.0,1509.0,3.0,180.0,1689.0,58.0,10,1,12.0,8.0,23.0,1163.0,8,488.0,1651.0,96.0,3.0,1,50
53,52,10,3,3,20,14,31.0,1613.0,2.0,120.0,1733.0,14.0,16,1,14.0,8.0,25.0,1258.0,7,427.0,1685.0,62.0,4.0,1,50
53,52,10,3,4,21,14,32.0,1665.0,1.0,60.0,1725.0,22.0,32,1,15.0,8.0,26.0,1297.0,7,427.0,1724.0,23.0,4.0,1,50
53,52,10,4,3,21,14,32.0,1665.0,1.0,60.0,1725.0,22.0,32,1,15.0,8.0,26.0,1314.0,7,427.0,1741.0,6.0,4.0,1,50
53,52,11,2,2,18,14,30.0,1561.0,3.0,180.0,1741.0,6.0,10,1,12.0,8.0,24.0,1215.0,8,488.0,1703.0,44.0,3.0,1,50
53,52,11,3,3,20,14,32.0,1665.0,1.0,60.0,1725.0,22.0,32,1,14.0,8.0,26.0,1310.0,7,427.0,1737.0,10.0,4.0,1,50
53,52,12,2,2,18,14,31.0,1613.0,2.0,120.0,1733.0,14.0,16,1,12.0,8.0,25.0,1267.0,7,427.0,1694.0,53.0,4.0,1,50
53,52,13,2,2,18,14,32.0,1665.0,1.0,60.0,1725.0,22.0,32,1,12.0,8.0,26.0,1319.0,7,427.0,1746.0,1.0,4.0,1,50
54,52,3,2,2,18,14,22.0,1146.0,10.0,600.0,1746.0,1.0,2,2,12.0,8.0,16.0,800.0,8,488.0,1288.0,459.0,2.0,2,50
54,52,3,3,3,20,14,24.0,1250.0,7.0,420.0,1670.0,77.0,3,2,14.0,8.0,18.0,895.0,6,366.0,1261.0,486.0,3.0,2,50
54,52,3,3,4,21,14,25.0,1302.0,7.0,420.0,1722.0,25.0,4,2,15.0,8.0,19.0,934.0,7,427.0,1361.0,386.0,3.0,2,50
54,52,3,4,3,21,14,25.0,1302.0,7.0,420.0,1722.0,25.0,4,2,15.0,8.0,19.0,951.0,7,427.0,1378.0,369.0,3.0,2,50
54,52,3,4,4,22,14,26.0,1354.0,6.0,360.0,1714.0,33.0,5,2,16.0,8.0,20.0,990.0,7,427.0,1417.0,330.0,3.0,2,50
54,52,4,2,2,18,14,23.0,1198.0,7.0,420.0,1618.0,129.0,3,2,12.0,8.0,17.0,852.0,6,366.0,1218.0,529.0,3.0,2,50
54,52,4,3,3,20,14,25.0,1302.0,7.0,420.0,1722.0,25.0,4,2,14.0,8.0,19.0,947.0,7,427.0,1374.0,373.0,3.0,2,50
54,52,4,3,4,21,14,26.0,1354.0,6.0,360.0,1714.0,33.0,5,2,15.0,8.0,20.0,986.0,7,427.0,1413.0,334.0,3.0,2,50
54,52,4,4,3,21,14,26.0,1354.0,6.0,360.0,1714.0,33.0,5,2,15.0,8.0,20.0,1003.0,7,427.0,1430.0,317.0,3.0,2,50
54,52,4,4,4,22,14,27.0,1406.0,5.0,300.0,1706.0,41.0,6,2,16.0,8.0,21.0,1042.0,7,427.0,1469.0,278.0,3.0,2,50
54,52,5,2,2,18,14,24.0,1250.0,7.0,420.0,1670.0,77.0,3,2,12.0,8.0,18.0,904.0,6,366.0,1270.0,477.0,3.0,2,50
54,52,5,3,3,20,14,26.0,1354.0,6.0,360.0,1714.0,33.0,5,2,14.0,8.0,20.0,999.0,7,427.0,1426.0,321.0,3.0,2,50
54,52,5,3,4,21,14,27.0,1406.0,5.0,300.0,1706.0,41.0,6,2,15.0,8.0,21.0,1038.0,7,427.0,1465.0,282.0,3.0,2,50
54,52,5,4,3,21,14,27.0,1406.0,5.0,300.0,1706.0,41.0,6,2,15.0,8.0,21.0,1055.0,7,427.0,1482.0,265.0,3.0,2,50
54,52,5,4,4,22,14,28.0,1458.0,4.0,240.0,1698.0,49.0,7,2,16.0,8.0,22.0,1094.0,8,488.0,1582.0,165.0,3.0,2,50
54,52,6,2,2,18,14,25.0,1302.0,7.0,420.0,1722.0,25.0,4,2,12.0,8.0,19.0,956.0,7,427.0,1383.0,364.0,3.0,2,50
54,52,6,3,3,20,14,27.0,1406.0,5.0,300.0,1706.0,41.0,6,2,14.0,8.0,21.0,1051.0,7,427.0,1478.0,269.0,3.0,2,50
54,52,6,3,4,21,14,28.0,1458.0,4.0,240.0,1698.0,49.0,7,2,15.0,8.0,22.0,1090.0,8,488.0,1578.0,169.0,3.0,2,50
54,52,6,4,3,21,14,28.0,1458.0,4.0,240.0,1698.0,49.0,7,2,15.0,8.0,22.0,1107.0,8,488.0,1595.0,152.0,3.0,2,50
54,52,6,4,4,22,14,29.0,1510.0,3.0,180.0,1690.0,57.0,10,2,16.0,8.0,23.0,1146.0,8,488.0,1634.0,113.0,3.0,2,50
54,52,7,2,2,18,14,26.0,1354.0,6.0,360.0,1714.0,33.0,5,2,12.0,8.0,20.0,1008.0,7,427.0,1435.0,312.0,3.0,2,50
54,52,7,3,3,20,14,28.0,1458.0,4.0,240.0,1698.0,49.0,7,2,14.0,8.0,22.0,1103.0,8,488.0,1591.0,156.0,3.0,2,50
54,52,7,3,4,21,14,29.0,1510.0,3.0,180.0,1690.0,57.0,10,2,15.0,8.0,23.0,1142.0,8,488.0,1630.0,117.0,3.0,2,50
54,52,7,4,3,21,14,29.0,1510.0,3.0,180.0,1690.0,57.0,10,2,15.0,8.0,23.0,1159.0,8,488.0,1647.0,100.0,3.0,2,50
54,52,7,4,4,22,14,30.0,1562.0,3.0,180.0,1742.0,5.0,10,2,16.0,8.0,24.0,1198.0,8,488.0,1686.0,61.0,3.0,2,50
54,52,8,2,2,18,14,27.0,1406.0,5.0,300.0,1706.0,41.0,6,2,12.0,8.0,21.0,1060.0,7,427.0,1487.0,260.0,3.0,2,50
54,52,8,3,3,20,14,29.0,1510.0,3.0,180.0,1690.0,57.0,10,2,14.0,8.0,23.0,1155.0,8,488.0,1643.0,104.0,3.0,2,50
54,52,8,3,4,21,14,30.0,1562.0,3.0,180.0,1742.0,5.0,10,2,15.0,8.0,24.0,1194.0,8,488.0,1682.0,65.0,3.0,2,50
54,52,8,4,3,21,14,30.0,1562.0,3.0,180.0,1742.0,5.0,10,2,15.0,8.0,24.0,1211.0,8,488.0,1699.0,48.0,3.0,2,50
54,52,8,4,4,22,14,31.0,1614.0,2.0,120.0,1734.0,13.0,16,2,16.0,8.0,25.0,1250.0,7,427.0,1677.0,70.0,4.0,2,50
54,52,9,2,2,18,14,28.0,1458.0,4.0,240.0,1698.0,49.0,7,2,12.0,8.0,22.0,1112.0,8,488.0,1600.0,147.0,3.0,2,50
54,52,9,3,3,20,14,30.0,1562.0,3.0,180.0,1742.0,5.0,10,2,14.0,8.0,24.0,1207.0,8,488.0,1695.0,52.0,3.0,2,50
54,52,9,3,4,21,14,31.0,1614.0,2.0,120.0,1734.0,13.0,16,2,15.0,8.0,25.0,1246.0,7,427.0,1673.0,74.0,4.0,2,50
54,52,9,4,3,21,14,31.0,1614.0,2.0,120.0,1734.0,13.0,16,2,15.0,8.0,25.0,1263.0,7,427.0,1690.0,57.0,4.0,2,50
54,52,9,4,4,22,14,32.0,1666.0,1.0,60.0,1726.0,21.0,32,2,16.0,8.0,26.0,1302.0,7,427.0,1729.0,18.0,4.0,2,50
54,52,10,2,2,18,14,29.0,1510.0,3.0,180.0,1690.0,57.0,10,2,12.0,8.0,23.0,1164.0,8,488.0,1652.0,95.0,3.0,2,50
54,52,10,3,3,20,14,31.0,1614.0,2.0,120.0,1734.0,13.0,16,2,14.0,8.0,25.0,1259.0,7,427.0,1686.0,61.0,4.0,2,50
54,52,10,3,4,21,14,32.0,1666.0,1.0,60.0,1726.0,21.0,32,2,15.0,8.0,26.0,1298.0,7,427.0,1725.0,22.0,4.0,2,50
54,52,10,4,3,21,14,32.0,1666.0,1.0,60.0,1726.0,21.0,32,2,15.0,8.0,26.0,1315.0,7,427.0,1742.0,5.0,4.0,2,50
54,52,11,2,2,18,14,30.0,1562.0,3.0,180.0,1742.0,5.0,10,2,12.0,8.0,24.0,1216.0,8,488.0,1704.0,43.0,3.0,2,50
54,52,11,3,3,20,14,32.0,1666.0,1.0,60.0,1726.0,21.0,32,2,14.0,8.0,26.0,1311.0,7,427.0,1738.0,9.0,4.0,2,50
54,52,12,2,2,18,14,31.0,1614.0,2.0,120.0,1734.0,13.0,16,2,12.0,8.0,25.0,1268.0,7,427.0,1695.0,52.0,4.0,2,50
54,52,13,2,2,18,14,32.0,1666.0,1.0,60.0,1726.0,21.0,32,2,12.0,8.0,26.0,1320.0,7,427.0,1747.0,0.0,4.0,2,50
54,53,3,2,2,18,14,22.0,1167.0,8.0,480.0,1647.0,100.0,3,1,12.0,8.0,16.0,803.0,8,488.0,1291.0,456.0,2.0,1,50
54,53,3,3,3,20,14,24.0,1273.0,6.0,360.0,1633.0,114.0,4,1,14.0,8.0,18.0,898.0,6,366.0,1264.0,483.0,3.0,1,50
54,53,3,3,4,21,14,25.0,1326.0,7.0,420.0,1746.0,1.0,4,1,15.0,8.0,19.0,937.0,7,427.0,1364.0,383.0,3.0,1,50
54,53,3,4,3,21,14,25.0,1326.0,7.0,420.0,1746.0,1.0,4,1,15.0,8.0,19.0,954.0,7,427.0,1381.0,366.0,3.0,1,50
54,53,3,4,4,22,14,26.0,1379.0,6.0,360.0,1739.0,8.0,5,1,16.0,8.0,20.0,993.0,7,427.0,1420.0,327.0,3.0,1,50
54,53,4,2,2,18,14,23.0,1220.0,8.0,480.0,1700.0,47.0,3,1,12.0,8.0,17.0,856.0,6,366.0,1222.0,525.0,3.0,1,50
54,53,4,3,3,20,14,25.0,1326.0,7.0,420.0,1746.0,1.0,4,1,14.0,8.0,19.0,951.0,7,427.0,1378.0,369.0,3.0,1,50
54,53,4,3,4,21,14,26.0,1379.0,6.0,360.0,1739.0,8.0,5,1,15.0,8.0,20.0,990.0,7,427.0,1417.0,330.0,3.0,1,50
54,53,4,4,3,21,14,26.0,1379.0,6.0,360.0,1739.0,8.0,5,1,15.0,8.0,20.0,1007.0,7,427.0,1434.0,313.0,3.0,1,50
54,53,4,4,4,22,14,27.0,1432.0,5.0,300.0,1732.0,15.0,6,1,16.0,8.0,21.0,1046.0,7,427.0,1473.0,274.0,3.0,1,50
54,53,5,2,2,18,14,24.0,1273.0,6.0,360.0,1633.0,114.0,4,1,12.0,8.0,18.0,909.0,6,366.0,1275.0,472.0,3.0,1,50
54,53,5,3,3,20,14,26.0,1379.0,6.0,360.0,1739.0,8.0,5,1,14.0,8.0,20.0,1004.0,7,427.0,1431.0,316.0,3.0,1,50
54,53,5,3,4,21,14,27.0,1432.0,5.0,300.0,1732.0,15.0,6,1,15.0,8.0,21.0,1043.0,7,427.0,1470.0,277.0,3.0,1,50
54,53,5,4,3,21,14,27.0,1432.0,5.0,300.0,1732.0,15.0,6,1,15.0,8.0,21.0,1060.0,7,427.0,1487.0,260.0,3.0,1,50
54,53,5,4,4,22,14,28.0,1485.0,4.0,240.0,1725.0,22.0,7,1,16.0,8.0,22.0,1099.0,8,488.0,1587.0,160.0,3.0,1,50
54,53,6,2,2,18,14,25.0,1326.0,7.0,420.0,1746.0,1.0,4,1,12.0,8.0,19.0,962.0,7,427.0,1389.0,358.0,3.0,1,50
54,53,6,3,3,20,14,27.0,1432.0,5.0,300.0,1732.0,15.0,6,1,14.0,8.0,21.0,1057.0,7,427.0,1484.0,263.0,3.0,1,50
54,53,6,3,4,21,14,28.0,1485.0,4.0,240.0,1725.0,22.0,7,1,15.0,8.0,22.0,1096.0,8,488.0,1584.0,163.0,3.0,1,50
54,53,6,4,3,21,14,28.0,1485.0,4.0,240.0,1725.0,22.0,7,1,15.0,8.0,22.0,1113.0,8,488.0,1601.0,146.0,3.0,1,50
54,53,6,4,4,22,14,29.0,1538.0,3.0,180.0,1718.0,29.0,10,1,16.0,8.0,23.0,1152.0,8,488.0,1640.0,107.0,3.0,1,50
54,53,7,2,2,18,14,26.0,1379.0,6.0,360.0,1739.0,8.0,5,1,12.0,8.0,20.0,1015.0,7,427.0,1442.0,305.0,3.0,1,50
54,53,7,3,3,20,14,28.0,1485.0,4.0,240.0,1725.0,22.0,7,1,14.0,8.0,22.0,1110.0,8,488.0,1598.0,149.0,3.0,1,50
54,53,7,3,4,21,14,29.0,1538.0,3.0,180.0,1718.0,29.0,10,1,15.0,8.0,23.0,1149.0,8,488.0,1637.0,110.0,3.0,1,50
54,53,7,4,3,21,14,29.0,1538.0,3.0,180.0,1718.0,29.0,10,1,15.0,8.0,23.0,1166.0,8,488.0,1654.0,93.0,3.0,1,50
54,53,7,4,4,22,14,30.0,1591.0,2.0,120.0,1711.0,36.0,15,1,16.0,8.0,24.0,1205.0,8,488.0,1693.0,54.0,3.0,1,50
54,53,8,2,2,18,14,27.0,1432.0,5.0,300.0,1732.0,15.0,6,1,12.0,8.0,21.0,1068.0,7,427.0,1495.0,252.0,3.0,1,50
54,53,8,3,3,20,14,29.0,1538.0,3.0,180.0,1718.0,29.0,10,1,14.0,8.0,23.0,1163.0,8,488.0,1651.0,96.0,3.0,1,50
54,53,8,3,4,21,14,30.0,1591.0,2.0,120.0,1711.0,36.0,15,1,15.0,8.0,24.0,1202.0,8,488.0,1690.0,57.0,3.0,1,50
54,53,8,4,3,21,14,30.0,1591.0,2.0,120.0,1711.0,36.0,15,1,15.0,8.0,24.0,1219.0,8,488.0,1707.0,40.0,3.0,1,50
54,53,8,4,4,22,14,31.0,1644.0,1.0,60.0,1704.0,43.0,31,1,16.0,8.0,25.0,1258.0,7,427.0,1685.0,62.0,4.0,1,50
54,53,9,2,2,18,14,28.0,1485.0,4.0,240.0,1725.0,22.0,7,1,12.0,8.0,22.0,1121.0,8,488.0,1609.0,138.0,3.0,1,50
54,53,9,3,3,20,14,30.0,1591.0,2.0,120.0,1711.0,36.0,15,1,14.0,8.0,24.0,1216.0,8,488.0,1704.0,43.0,3.0,1,50
54,53,9,3,4,21,14,31.0,1644.0,1.0,60.0,1704.0,43.0,31,1,15.0,8.0,25.0,1255.0,7,427.0,1682.0,65.0,4.0,1,50
54,53,9,4,3,21,14,31.0,1644.0,1.0,60.0,1704.0,43.0,31,1,15.0,8.0,25.0,1272.0,7,427.0,1699.0,48.0,4.0,1,50
54,53,10,2,2,18,14,29.0,1538.0,3.0,180.0,1718.0,29.0,10,1,12.0,8.0,23.0,1174.0,8,488.0,1662.0,85.0,3.0,1,50
54,53,10,3,3,20,14,31.0,1644.0,1.0,60.0,1704.0,43.0,31,1,14.0,8.0,25.0,1269.0,7,427.0,1696.0,51.0,4.0,1,50
54,53,11,2,2,18,14,30.0,1591.0,2.0,120.0,1711.0,36.0,15,1,12.0,8.0,24.0,1227.0,8,488.0,1715.0,32.0,3.0,1,50
54,53,12,2,2,18,14,31.0,1644.0,1.0,60.0,1704.0,43.0,31,1,12.0,8.0,25.0,1280.0,7,427.0,1707.0,40.0,4.0,1,50
55,52,3,2,2,18,14,22.0,1147.0,10.0,600.0,1747.0,0.0,2,3,12.0,8.0,16.0,801.0,8,488.0,1289.0,458.0,2.0,3,50
55,52,3,3,3,20,14,24.0,1251.0,7.0,420.0,1671.0,76.0,3,3,14.0,8.0,18.0,896.0,6,366.0,1262.0,485.0,3.0,3,50
55,52,3,3,4,21,14,25.0,1303.0,7.0,420.0,1723.0,24.0,4,3,15.0,8.0,19.0,935.0,7,427.0,1362.0,385.0,3.0,3,50
55,52,3,4,3,21,14,25.0,1303.0,7.0,420.0,1723.0,24.0,4,3,15.0,8.0,19.0,952.0,7,427.0,1379.0,368.0,3.0,3,50
55,52,3,4,4,22,14,26.0,1355.0,6.0,360.0,1715.0,32.0,5,3,16.0,8.0,20.0,991.0,7,427.0,1418.0,329.0,3.0,3,50
55,52,4,2,2,18,14,23.0,1199.0,7.0,420.0,1619.0,128.0,3,3,12.0,8.0,17.0,853.0,6,366.0,1219.0,528.0,3.0,3,50
55,52,4,3,3,20,14,25.0,1303.0,7.0,420.0,1723.0,24.0,4,3,14.0,8.0,19.0,948.0,7,427.0,1375.0,372.0,3.0,3,50
55,52,4,3,4,21,14,26.0,1355.0,6.0,360.0,1715.0,32.0,5,3,15.0,8.0,20.0,987.0,7,427.0,1414.0,333.0,3.0,3,50
55,52,4,4,3,21,14,26.0,1355.0,6.0,360.0,1715.0,32.0,5,3,15.0,8.0,20.0,1004.0,7,427.0,1431.0,316.0,3.0,3,50
55,52,4,4,4,22,14,27.0,1407.0,5.0,300.0,1707.0,40.0,6,3,16.0,8.0,21.0,1043.0,7,427.0,1470.0,277.0,3.0,3,50
55,52,5,2,2,18,14,24.0,1251.0,7.0,420.0,1671.0,76.0,3,3,12.0,8.0,18.0,905.0,6,366.0,1271.0,476.0,3.0,3,50
55,52,5,3,3,20,14,26.0,1355.0,6.0,360.0,1715.0,32.0,5,3,14.0,8.0,20.0,1000.0,7,427.0,1427.0,320.0,3.0,3,50
55,52,5,3,4,21,14,27.0,1407.0,5.0,300.0,1707.0,40.0,6,3,15.0,8.0,21.0,1039.0,7,427.0,1466.0,281.0,3.0,3,50
55,52,5,4,3,21,14,27.0,1407.0,5.0,300.0,1707.0,40.0,6,3,15.0,8.0,21.0,1056.0,7,427.0,1483.0,264.0,3.0,3,50
55,52,5,4,4,22,14,28.0,1459.0,4.0,240.0,1699.0,48.0,7,3,16.0,8.0,22.0,1095.0,8,488.0,1583.0,164.0,3.0,3,50
55,52,6,2,2,18,14,25.0,1303.0,7.0,420.0,1723.0,24.0,4,3,12.0,8.0,19.0,957.0,7,427.0,1384.0,363.0,3.0,3,50
55,52,6,3,3,20,14,27.0,1407.0,5.0,300.0,1707.0,40.0,6,3,14.0,8.0,21.0,1052.0,7,427.0,1479.0,268.0,3.0,3,50
55,52,6,3,4,21,14,28.0,1459.0,4.0,240.0,1699.0,48.0,7,3,15.0,8.0,22.0,1091.0,8,488.0,1579.0,168.0,3.0,3,50
55,52,6,4,3,21,14,28.0,1459.0,4.0,240.0,1699.0,48.0,7,3,15.0,8.0,22.0,1108.0,8,488.0,1596.0,151.0,3.0,3,50
55,52,6,4,4,22,14,29.0,1511.0,3.0,180.0,1691.0,56.0,10,3,16.0,8.0,23.0,1147.0,8,488.0,1635.0,112.0,3.0,3,50
55,52,7,2,2,18,14,26.0,1355.0,6.0,360.0,1715.0,32.0,5,3,12.0,8.0,20.0,1009.0,7,427.0,1436.0,311.0,3.0,3,50
55,52,7,3,3,20,14,28.0,1459.0,4.0,240.0,1699.0,48.0,7,3,14.0,8.0,22.0,1104.0,8,488.0,1592.0,155.0,3.0,3,50
55,52,7,3,4,21,14,29.0,1511.0,3.0,180.0,1691.0,56.0,10,3,15.0,8.0,23.0,1143.0,8,488.0,1631.0,116.0,3.0,3,50
55,52,7,4,3,21,14,29.0,1511.0,3.0,180.0,1691.0,56.0,10,3,15.0,8.0,23.0,1160.0,8,488.0,1648.0,99.0,3.0,3,50
55,52,7,4,4,22,14,30.0,1563.0,3.0,180.0,1743.0,4.0,10,3,16.0,8.0,24.0,1199.0,8,488.0,1687.0,60.0,3.0,3,50
55,52,8,2,2,18,14,27.0,1407.0,5.0,300.0,1707.0,40.0,6,3,12.0,8.0,21.0,1061.0,7,427.0,1488.0,259.0,3.0,3,50
55,52,8,3,3,20,14,29.0,1511.0,3.0,180.0,1691.0,56.0,10,3,14.0,8.0,23.0,1156.0,8,488.0,1644.0,103.0,3.0,3,50
55,52,8,3,4,21,14,30.0,1563.0,3.0,180.0,1743.0,4.0,10,3,15.0,8.0,24.0,1195.0,8,488.0,1683.0,64.0,3.0,3,50
55,52,8,4,3,21,14,30.0,1563.0,3.0,180.0,1743.0,4.0,10,3,15.0,8.0,24.0,1212.0,8,488.0,1700.0,47.0,3.0,3,50
55,52,8,4,4,22,14,31.0,1615.0,2.0,120.0,1735.0,12.0,16,3,16.0,8.0,25.0,1251.0,7,427.0,1678.0,69.0,4.0,3,50
55,52,9,2,2,18,14,28.0,1459.0,4.0,240.0,1699.0,48.0,7,3,12.0,8.0,22.0,1113.0,8,488.0,1601.0,146.0,3.0,3,50
55,52,9,3,3,20,14,30.0,1563.0,3.0,180.0,1743.0,4.0,10,3,14.0,8.0,24.0,1208.0,8,488.0,1696.0,51.0,3.0,3,50
55,52,9,3,4,21,14,31.0,1615.0,2.0,120.0,1735.0,12.0,16,3,15.0,8.0,25.0,1247.0,7,427.0,1674.0,73.0,4.0,3,50
55,52,9,4,3,21,14,31.0,1615.0,2.0,120.0,1735.0,12.0,16,3,15.0,8.0,25.0,1264.0,7,427.0,1691.0,56.0,4.0,3,50
55,52,9,4,4,22,14,32.0,1667.0,1.0,60.0,1727.0,20.0,32,3,16.0,8.0,26.0,1303.0,7,427.0,1730.0,17.0,4.0,3,50
55,52,10,2,2,18,14,29.0,1511.0,3.0,180.0,1691.0,56.0,10,3,12.0,8.0,23.0,1165.0,8,488.0,1653.0,94.0,3.0,3,50
55,52,10,3,3,20,14,31.0,1615.0,2.0,120.0,1735.0,12.0,16,3,14.0,8.0,25.0,1260.0,7,427.0,1687.0,60.0,4.0,3,50
55,52,10,3,4,21,14,32.0,1667.0,1.0,60.0,1727.0,20.0,32,3,15.0,8.0,26.0,1299.0,7,427.0,1726.0,21.0,4.0,3,50
