logN,q0,delta,sizeQ,dnum,predicted_valid,actual_ok,predicted_maxDigitBits,runtime_maxDigitBits,predicted_PCount,runtime_PCount,match,err
16,45,40,24,15,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 24 towers into 15 digits. Please select different number of digits.
16,45,40,24,16,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 24 towers into 16 digits. Please select different number of digits.
16,45,40,24,17,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 24 towers into 17 digits. Please select different number of digits.
16,45,40,24,18,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 24 towers into 18 digits. Please select different number of digits.
16,45,40,24,19,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 24 towers into 19 digits. Please select different number of digits.
16,45,40,24,20,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 24 towers into 20 digits. Please select different number of digits.
16,45,40,24,21,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 24 towers into 21 digits. Please select different number of digits.
16,45,40,24,22,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 24 towers into 22 digits. Please select different number of digits.
16,45,40,24,23,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 24 towers into 23 digits. Please select different number of digits.
16,45,40,24,24,1,1,45,45,1,1,1,
16,45,40,30,1,1,1,1205,1206,21,21,1,
16,45,40,30,2,1,1,605,606,11,11,1,
16,45,40,30,3,1,1,405,406,7,7,1,
16,45,40,30,4,1,1,325,326,6,6,1,
16,45,40,30,5,1,1,245,246,5,5,1,
16,45,40,30,6,1,1,205,206,4,4,1,
16,45,40,30,7,0,0,205,-1,4,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 30 towers into 7 digits. Please select different number of digits.
16,45,40,30,8,1,1,165,166,3,3,1,
16,45,40,30,9,0,0,165,-1,3,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 30 towers into 9 digits. Please select different number of digits.
16,45,40,30,10,1,1,125,126,3,3,1,
16,45,40,30,11,0,0,125,-1,3,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 30 towers into 11 digits. Please select different number of digits.
16,45,40,30,12,0,0,125,-1,3,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 30 towers into 12 digits. Please select different number of digits.
16,45,40,30,13,0,0,125,-1,3,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 30 towers into 13 digits. Please select different number of digits.
16,45,40,30,14,0,0,125,-1,3,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 30 towers into 14 digits. Please select different number of digits.
16,45,40,30,15,1,1,85,86,2,2,1,
16,45,40,30,16,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 30 towers into 16 digits. Please select different number of digits.
16,45,40,30,17,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 30 towers into 17 digits. Please select different number of digits.
16,45,40,30,18,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 30 towers into 18 digits. Please select different number of digits.
16,45,40,30,19,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 30 towers into 19 digits. Please select different number of digits.
16,45,40,30,20,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 30 towers into 20 digits. Please select different number of digits.
16,45,40,30,21,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 30 towers into 21 digits. Please select different number of digits.
16,45,40,30,22,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 30 towers into 22 digits. Please select different number of digits.
16,45,40,30,23,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 30 towers into 23 digits. Please select different number of digits.
16,45,40,30,24,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 30 towers into 24 digits. Please select different number of digits.
16,45,40,30,25,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 30 towers into 25 digits. Please select different number of digits.
16,45,40,30,26,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 30 towers into 26 digits. Please select different number of digits.
16,45,40,30,27,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 30 towers into 27 digits. Please select different number of digits.
16,45,40,30,28,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 30 towers into 28 digits. Please select different number of digits.
16,45,40,30,29,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 30 towers into 29 digits. Please select different number of digits.
16,45,40,30,30,1,1,45,45,1,1,1,
16,45,40,37,1,1,1,1485,1486,25,25,1,
16,45,40,37,2,1,1,765,766,13,13,1,
16,45,40,37,3,1,1,525,526,9,9,1,
16,45,40,37,4,1,1,405,405,7,7,1,
16,45,40,37,5,1,1,325,325,6,6,1,
16,45,40,37,6,1,1,285,286,5,5,1,
16,45,40,37,7,1,1,245,245,5,5,1,
16,45,40,37,8,1,1,205,206,4,4,1,
16,45,40,37,9,0,0,205,-1,4,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 37 towers into 9 digits. Please select different number of digits.
16,45,40,37,10,1,1,165,165,3,3,1,
16,45,40,37,11,0,0,165,-1,3,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 37 towers into 11 digits. Please select different number of digits.
16,45,40,37,12,0,0,165,-1,3,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 37 towers into 12 digits. Please select different number of digits.
16,45,40,37,13,1,1,125,126,3,3,1,
16,45,40,37,14,0,0,125,-1,3,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 37 towers into 14 digits. Please select different number of digits.
16,45,40,37,15,0,0,125,-1,3,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 37 towers into 15 digits. Please select different number of digits.
16,45,40,37,16,0,0,125,-1,3,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 37 towers into 16 digits. Please select different number of digits.
16,45,40,37,17,0,0,125,-1,3,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 37 towers into 17 digits. Please select different number of digits.
16,45,40,37,18,0,0,125,-1,3,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 37 towers into 18 digits. Please select different number of digits.
16,45,40,37,19,1,1,85,85,2,2,1,
16,45,40,37,20,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 37 towers into 20 digits. Please select different number of digits.
16,45,40,37,21,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 37 towers into 21 digits. Please select different number of digits.
16,45,40,37,22,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 37 towers into 22 digits. Please select different number of digits.
16,45,40,37,23,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 37 towers into 23 digits. Please select different number of digits.
16,45,40,37,24,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 37 towers into 24 digits. Please select different number of digits.
16,45,40,37,25,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 37 towers into 25 digits. Please select different number of digits.
16,45,40,37,26,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 37 towers into 26 digits. Please select different number of digits.
16,45,40,37,27,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 37 towers into 27 digits. Please select different number of digits.
16,45,40,37,28,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 37 towers into 28 digits. Please select different number of digits.
16,45,40,37,29,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 37 towers into 29 digits. Please select different number of digits.
16,45,40,37,30,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 37 towers into 30 digits. Please select different number of digits.
16,45,40,37,31,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 37 towers into 31 digits. Please select different number of digits.
16,45,40,37,32,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 37 towers into 32 digits. Please select different number of digits.
16,45,40,37,33,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 37 towers into 33 digits. Please select different number of digits.
16,45,40,37,34,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 37 towers into 34 digits. Please select different number of digits.
16,45,40,37,35,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 37 towers into 35 digits. Please select different number of digits.
16,45,40,37,36,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 37 towers into 36 digits. Please select different number of digits.
16,45,40,37,37,1,1,45,45,1,1,1,
