library,logN,q0,delta,depth,QCount,logQ,PCount,logP,dnum,maxDigitBits,logQP,bound,margin,ok,err,digits
lattigo,14,60,41,5,6,265,1,60,6,60,325,438,113,1,,L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,41,5,6,265,2,120,3,101,385,438,53,1,,L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,41,5,6,265,3,180,2,142,445,438,-7,1,,L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,42,5,6,270,1,60,6,60,330,438,108,1,,L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,42,5,6,270,2,120,3,102,390,438,48,1,,L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,42,5,6,270,3,180,2,144,450,438,-12,1,,L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,43,5,6,275,1,60,6,60,335,438,103,1,,L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,43,5,6,275,2,120,3,103,395,438,43,1,,L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,43,5,6,275,3,180,2,146,455,438,-17,1,,L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,44,5,6,280,1,60,6,60,340,438,98,1,,L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,44,5,6,280,2,120,3,104,400,438,38,1,,L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,44,5,6,280,3,180,2,148,460,438,-22,1,,L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,45,5,6,285,1,60,6,60,345,438,93,1,,L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,45,5,6,285,2,120,3,105,405,438,33,1,,L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,45,5,6,285,3,180,2,150,465,438,-27,1,,L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,46,5,6,290,1,60,6,60,350,438,88,1,,L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,46,5,6,290,2,120,3,106,410,438,28,1,,L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,46,5,6,290,3,180,2,152,470,438,-32,1,,L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,47,5,6,295,1,60,6,60,355,438,83,1,,L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,47,5,6,295,2,120,3,107,415,438,23,1,,L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,47,5,6,295,3,180,2,154,475,438,-37,1,,L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,48,5,6,300,1,60,6,60,360,438,78,1,,L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,48,5,6,300,2,120,3,108,420,438,18,1,,L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,48,5,6,300,3,180,2,156,480,438,-42,1,,L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,49,5,6,305,1,60,6,60,365,438,73,1,,L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,49,5,6,305,2,120,3,109,425,438,13,1,,L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,49,5,6,305,3,180,2,158,485,438,-47,1,,L5=2;L4=2;L3=2;L2=1;L1=1
lattigo,14,60,50,5,6,310,1,60,6,60,370,438,68,1,,L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,50,5,6,310,2,120,3,110,430,438,8,1,,L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,50,5,6,310,3,180,2,160,490,438,-52,1,,L5=2;L4=2;L3=2;L2=1;L1=1
