library,logN,numSlots,q0,delta,residual_L,levelBudget_c2s,levelBudget_s2c,boot_depth,dnum,PCount,logQ_boot,logP_boot,logQP_boot,rep,precision_bits,worst_slot_bits,boot_us,level_in,level_out,level_out_expected,magnitude_ratio,scaling,in_scale_log2,q0_minus_scale_log2,out_scale_log2,correction_factor,setup_us,keygen_us,peak_rss_mb,ok,fail_reason
lattigo,16,32768,60,53,7,3,3,14,3,8,1116,488,1604,-1,14.582449672423257,12.30240881229306,14156273,0,7,7,0.9999795252485462,eph32_K16_mr7_inv0,53,7,53,-1,21181176,17105086,14489,1,
lattigo,16,32768,60,53,7,3,3,14,3,8,1116,488,1604,0,14.582449672423257,12.30240881229306,14463739,0,7,7,0.9999795252485462,eph32_K16_mr7_inv0,53,7,53,-1,21181176,17105086,15900,1,
lattigo,16,32768,60,53,7,3,3,14,3,8,1116,488,1604,1,14.582449672423257,12.30240881229306,14427625,0,7,7,0.9999795252485462,eph32_K16_mr7_inv0,53,7,53,-1,21181176,17105086,16760,1,
lattigo,16,32768,60,53,7,3,3,14,3,8,1116,488,1604,2,14.582449672423257,12.30240881229306,14006677,0,7,7,0.9999795252485462,eph32_K16_mr7_inv0,53,7,53,-1,21181176,17105086,16760,1,
lattigo,16,32768,56,55,6,3,3,14,3,7,1071,427,1498,-3,15.967057169903047,13.823078062801821,13332897,0,6,6,0.9999890160818743,eph32_K16_mr1_inv0,55,1,55,-1,66106494,16146458,16274,1,
lattigo,16,32768,56,55,6,3,3,14,3,7,1071,427,1498,-2,15.967057169903047,13.823078062801821,12991852,0,6,6,0.9999890160818743,eph32_K16_mr1_inv0,55,1,55,-1,66106494,16146458,16624,1,
lattigo,16,32768,56,55,6,3,3,14,3,7,1071,427,1498,-1,15.967057169903047,13.823078062801821,13042863,0,6,6,0.9999890160818743,eph32_K16_mr1_inv0,55,1,55,-1,66106494,16146458,17185,1,
lattigo,16,32768,56,55,6,3,3,14,3,7,1071,427,1498,0,15.967057169903047,13.823078062801821,13534985,0,6,6,0.9999890160818743,eph32_K16_mr1_inv0,55,1,55,-1,66106494,16146458,18028,1,
lattigo,16,32768,56,55,6,3,3,14,3,7,1071,427,1498,1,15.967057169903047,13.823078062801821,13579621,0,6,6,0.9999890160818743,eph32_K16_mr1_inv0,55,1,55,-1,66106494,16146458,18328,1,
lattigo,16,32768,56,55,6,3,3,14,3,7,1071,427,1498,2,15.967057169903047,13.823078062801821,13515123,0,6,6,0.9999890160818743,eph32_K16_mr1_inv0,55,1,55,-1,66106494,16146458,18333,1,
lattigo,16,32768,60,55,6,3,3,14,3,7,1075,427,1502,-3,16.58420465337351,14.214769895386143,14327988,0,6,6,1.0000208981591183,eph32_K16_mr5_inv0,55,5,55,-1,66019104,15884196,16226,1,
lattigo,16,32768,60,55,6,3,3,14,3,7,1075,427,1502,-2,16.58420465337351,14.214769895386143,13428345,0,6,6,1.0000208981591183,eph32_K16_mr5_inv0,55,5,55,-1,66019104,15884196,16543,1,
lattigo,16,32768,60,55,6,3,3,14,3,7,1075,427,1502,-1,16.58420465337351,14.214769895386143,13768547,0,6,6,1.0000208981591183,eph32_K16_mr5_inv0,55,5,55,-1,66019104,15884196,17362,1,
lattigo,16,32768,60,55,6,3,3,14,3,7,1075,427,1502,0,16.58420465337351,14.214769895386143,13320234,0,6,6,1.0000208981591183,eph32_K16_mr5_inv0,55,5,55,-1,66019104,15884196,17362,1,
lattigo,16,32768,60,55,6,3,3,14,3,7,1075,427,1502,1,16.58420465337351,14.214769895386143,12972410,0,6,6,1.0000208981591183,eph32_K16_mr5_inv0,55,5,55,-1,66019104,15884196,17362,1,
lattigo,16,32768,60,55,6,3,3,14,3,7,1075,427,1502,2,16.58420465337351,14.214769895386143,12902100,0,6,6,1.0000208981591183,eph32_K16_mr5_inv0,55,5,55,-1,66019104,15884196,17362,1,
lattigo,16,32768,59,58,4,3,3,14,3,7,976,427,1403,-3,15.966748824228738,13.862010463396045,12732371,0,4,4,0.9999878416443061,eph32_K16_mr1_inv0,58,1,58,-1,64366282,14757137,15384,1,
lattigo,16,32768,59,58,4,3,3,14,3,7,976,427,1403,-2,15.966748824228738,13.862010463396045,11116993,0,4,4,0.9999878416443061,eph32_K16_mr1_inv0,58,1,58,-1,64366282,14757137,15702,1,
lattigo,16,32768,59,58,4,3,3,14,3,7,976,427,1403,-1,15.966748824228738,13.862010463396045,11110983,0,4,4,0.9999878416443061,eph32_K16_mr1_inv0,58,1,58,-1,64366282,14757137,15899,1,
lattigo,16,32768,59,58,4,3,3,14,3,7,976,427,1403,0,15.966748824228738,13.862010463396045,11137528,0,4,4,0.9999878416443061,eph32_K16_mr1_inv0,58,1,58,-1,64366282,14757137,16523,1,
lattigo,16,32768,59,58,4,3,3,14,3,7,976,427,1403,1,15.966748824228738,13.862010463396045,11391938,0,4,4,0.9999878416443061,eph32_K16_mr1_inv0,58,1,58,-1,64366282,14757137,17218,1,
lattigo,16,32768,59,58,4,3,3,14,3,7,976,427,1403,2,15.966748824228738,13.862010463396045,10980189,0,4,4,0.9999878416443061,eph32_K16_mr1_inv0,58,1,58,-1,64366282,14757137,17219,1,
lattigo,16,32768,60,58,4,3,3,14,3,7,977,427,1404,-3,17.901311936896136,15.631297211856667,11563529,0,4,4,0.9999956522958527,eph32_K16_mr2_inv0,58,2,58,-1,64832435,15049538,14653,1,
lattigo,16,32768,60,58,4,3,3,14,3,7,977,427,1404,-2,17.901311936896136,15.631297211856667,10870583,0,4,4,0.9999956522958527,eph32_K16_mr2_inv0,58,2,58,-1,64832435,15049538,14719,1,
lattigo,16,32768,60,58,4,3,3,14,3,7,977,427,1404,-1,17.901311936896136,15.631297211856667,10875961,0,4,4,0.9999956522958527,eph32_K16_mr2_inv0,58,2,58,-1,64832435,15049538,14752,1,
lattigo,16,32768,60,58,4,3,3,14,3,7,977,427,1404,0,17.901311936896136,15.631297211856667,10973465,0,4,4,0.9999956522958527,eph32_K16_mr2_inv0,58,2,58,-1,64832435,15049538,14753,1,
lattigo,16,32768,60,58,4,3,3,14,3,7,977,427,1404,1,17.901311936896136,15.631297211856667,10942005,0,4,4,0.9999956522958527,eph32_K16_mr2_inv0,58,2,58,-1,64832435,15049538,14881,1,
lattigo,16,32768,60,58,4,3,3,14,3,7,977,427,1404,2,17.901311936896136,15.631297211856667,11467932,0,4,4,0.9999956522958527,eph32_K16_mr2_inv0,58,2,58,-1,64832435,15049538,15842,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,-3,15.96636447198608,13.837742880971172,11145067,0,4,4,0.9999893240396556,eph32_K16_mr1_inv0,59,1,59,-1,63143118,14681974,14050,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,-2,15.96636447198608,13.837742880971172,11001795,0,4,4,0.9999893240396556,eph32_K16_mr1_inv0,59,1,59,-1,63143118,14681974,14107,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,-1,15.96636447198608,13.837742880971172,11015590,0,4,4,0.9999893240396556,eph32_K16_mr1_inv0,59,1,59,-1,63143118,14681974,14115,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,0,15.96636447198608,13.837742880971172,11045479,0,4,4,0.9999893240396556,eph32_K16_mr1_inv0,59,1,59,-1,63143118,14681974,14224,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,1,15.96636447198608,13.837742880971172,11429317,0,4,4,0.9999893240396556,eph32_K16_mr1_inv0,59,1,59,-1,63143118,14681974,14979,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,2,15.96636447198608,13.837742880971172,11271843,0,4,4,0.9999893240396556,eph32_K16_mr1_inv0,59,1,59,-1,63143118,14681974,15054,1,
lattigo,16,32768,60,59,3,3,3,14,3,6,922,366,1288,-3,15.967264679479454,13.845547915674294,10378678,0,3,3,0.9999884473708754,eph32_K16_mr1_inv0,59,1,59,-1,59040311,13091377,13156,1,
lattigo,16,32768,60,59,3,3,3,14,3,6,922,366,1288,-2,15.967264679479454,13.845547915674294,10296455,0,3,3,0.9999884473708754,eph32_K16_mr1_inv0,59,1,59,-1,59040311,13091377,13250,1,
lattigo,16,32768,60,59,3,3,3,14,3,6,922,366,1288,-1,15.967264679479454,13.845547915674294,10379244,0,3,3,0.9999884473708754,eph32_K16_mr1_inv0,59,1,59,-1,59040311,13091377,13511,1,
lattigo,16,32768,60,59,3,3,3,14,3,6,922,366,1288,0,15.967264679479454,13.845547915674294,10332245,0,3,3,0.9999884473708754,eph32_K16_mr1_inv0,59,1,59,-1,59040311,13091377,13516,1,
lattigo,16,32768,60,59,3,3,3,14,3,6,922,366,1288,1,15.967264679479454,13.845547915674294,10293094,0,3,3,0.9999884473708754,eph32_K16_mr1_inv0,59,1,59,-1,59040311,13091377,13517,1,
lattigo,16,32768,60,59,3,3,3,14,3,6,922,366,1288,2,15.967264679479454,13.845547915674294,10171441,0,3,3,0.9999884473708754,eph32_K16_mr1_inv0,59,1,59,-1,59040311,13091377,13517,1,
lattigo,16,32768,53,52,3,3,3,14,3,6,894,366,1260,-3,15.966773378511576,13.867639563994139,10662549,0,3,3,0.9999874105369254,eph32_K16_mr1_inv0,52,1,52,-1,18661534,13621031,11620,1,
lattigo,16,32768,53,52,3,3,3,14,3,6,894,366,1260,-2,15.966773378511576,13.867639563994139,10141996,0,3,3,0.9999874105369254,eph32_K16_mr1_inv0,52,1,52,-1,18661534,13621031,11930,1,
lattigo,16,32768,53,52,3,3,3,14,3,6,894,366,1260,-1,15.966773378511576,13.867639563994139,10192930,0,3,3,0.9999874105369254,eph32_K16_mr1_inv0,52,1,52,-1,18661534,13621031,11971,1,
lattigo,16,32768,53,52,3,3,3,14,3,6,894,366,1260,0,15.966773378511576,13.867639563994139,10528174,0,3,3,0.9999874105369254,eph32_K16_mr1_inv0,52,1,52,-1,18661534,13621031,12752,1,
lattigo,16,32768,53,52,3,3,3,14,3,6,894,366,1260,1,15.966773378511576,13.867639563994139,10633006,0,3,3,0.9999874105369254,eph32_K16_mr1_inv0,52,1,52,-1,18661534,13621031,13817,1,
lattigo,16,32768,53,52,3,3,3,14,3,6,894,366,1260,2,15.966773378511576,13.867639563994139,10417021,0,3,3,0.9999874105369254,eph32_K16_mr1_inv0,52,1,52,-1,18661534,13621031,13855,1,
lattigo,16,32768,53,52,4,3,3,14,3,7,946,427,1373,-3,15.967143775035087,13.86627192234675,11826675,0,4,4,0.9999880613448091,eph32_K16_mr1_inv0,52,1,52,-1,20748202,14857011,12234,1,
lattigo,16,32768,53,52,4,3,3,14,3,7,946,427,1373,-2,15.967143775035087,13.86627192234675,11260857,0,4,4,0.9999880613448091,eph32_K16_mr1_inv0,52,1,52,-1,20748202,14857011,12391,1,
lattigo,16,32768,53,52,4,3,3,14,3,7,946,427,1373,-1,15.967143775035087,13.86627192234675,11456014,0,4,4,0.9999880613448091,eph32_K16_mr1_inv0,52,1,52,-1,20748202,14857011,13555,1,
lattigo,16,32768,53,52,4,3,3,14,3,7,946,427,1373,0,15.967143775035087,13.86627192234675,11496611,0,4,4,0.9999880613448091,eph32_K16_mr1_inv0,52,1,52,-1,20748202,14857011,14723,1,
lattigo,16,32768,53,52,4,3,3,14,3,7,946,427,1373,1,15.967143775035087,13.86627192234675,11216661,0,4,4,0.9999880613448091,eph32_K16_mr1_inv0,52,1,52,-1,20748202,14857011,15111,1,
lattigo,16,32768,53,52,4,3,3,14,3,7,946,427,1373,2,15.967143775035087,13.86627192234675,10924507,0,4,4,0.9999880613448091,eph32_K16_mr1_inv0,52,1,52,-1,20748202,14857011,15111,1,
lattigo,16,32768,53,52,5,3,3,14,3,7,998,427,1425,-3,15.967034616150782,13.833263129438173,11856882,0,5,5,0.9999887752540314,eph32_K16_mr1_inv0,52,1,52,-1,20901716,15805755,12266,1,
lattigo,16,32768,53,52,5,3,3,14,3,7,998,427,1425,-2,15.967034616150782,13.833263129438173,12305286,0,5,5,0.9999887752540314,eph32_K16_mr1_inv0,52,1,52,-1,20901716,15805755,13125,1,
lattigo,16,32768,53,52,5,3,3,14,3,7,998,427,1425,-1,15.967034616150782,13.833263129438173,12250460,0,5,5,0.9999887752540314,eph32_K16_mr1_inv0,52,1,52,-1,20901716,15805755,13829,1,
lattigo,16,32768,53,52,5,3,3,14,3,7,998,427,1425,0,15.967034616150782,13.833263129438173,11983540,0,5,5,0.9999887752540314,eph32_K16_mr1_inv0,52,1,52,-1,20901716,15805755,13919,1,
lattigo,16,32768,53,52,5,3,3,14,3,7,998,427,1425,1,15.967034616150782,13.833263129438173,11912086,0,5,5,0.9999887752540314,eph32_K16_mr1_inv0,52,1,52,-1,20901716,15805755,13950,1,
lattigo,16,32768,53,52,5,3,3,14,3,7,998,427,1425,2,15.967034616150782,13.833263129438173,11847489,0,5,5,0.9999887752540314,eph32_K16_mr1_inv0,52,1,52,-1,20901716,15805755,13970,1,
lattigo,16,32768,53,52,6,3,3,14,3,7,1050,427,1477,-3,15.967451619917286,13.826559197284727,13658388,0,6,6,0.9999871851630016,eph32_K16_mr1_inv0,52,1,52,-1,21573984,16111326,12224,1,
lattigo,16,32768,53,52,6,3,3,14,3,7,1050,427,1477,-2,15.967451619917286,13.826559197284727,13227296,0,6,6,0.9999871851630016,eph32_K16_mr1_inv0,52,1,52,-1,21573984,16111326,13175,1,
lattigo,16,32768,53,52,6,3,3,14,3,7,1050,427,1477,-1,15.967451619917286,13.826559197284727,12697263,0,6,6,0.9999871851630016,eph32_K16_mr1_inv0,52,1,52,-1,21573984,16111326,13175,1,
lattigo,16,32768,53,52,6,3,3,14,3,7,1050,427,1477,0,15.967451619917286,13.826559197284727,12702700,0,6,6,0.9999871851630016,eph32_K16_mr1_inv0,52,1,52,-1,21573984,16111326,13261,1,
lattigo,16,32768,53,52,6,3,3,14,3,7,1050,427,1477,1,15.967451619917286,13.826559197284727,12785220,0,6,6,0.9999871851630016,eph32_K16_mr1_inv0,52,1,52,-1,21573984,16111326,13370,1,
lattigo,16,32768,53,52,6,3,3,14,3,7,1050,427,1477,2,15.967451619917286,13.826559197284727,12971672,0,6,6,0.9999871851630016,eph32_K16_mr1_inv0,52,1,52,-1,21573984,16111326,13872,1,
lattigo,16,32768,53,52,3,2,2,12,2,8,799,488,1287,-3,15.967467138304075,13.845822764513688,13829348,0,3,3,0.9999891232475442,eph32_K16_mr1_inv0,52,1,52,-1,77552328,14978721,28047,1,
lattigo,16,32768,53,52,3,2,2,12,2,8,799,488,1287,-2,15.967467138304075,13.845822764513688,13960086,0,3,3,0.9999891232475442,eph32_K16_mr1_inv0,52,1,52,-1,77552328,14978721,28628,1,
lattigo,16,32768,53,52,3,2,2,12,2,8,799,488,1287,-1,15.967467138304075,13.845822764513688,14327703,0,3,3,0.9999891232475442,eph32_K16_mr1_inv0,52,1,52,-1,77552328,14978721,30171,1,
lattigo,16,32768,53,52,3,2,2,12,2,8,799,488,1287,0,15.967467138304075,13.845822764513688,14332404,0,3,3,0.9999891232475442,eph32_K16_mr1_inv0,52,1,52,-1,77552328,14978721,31713,1,
lattigo,16,32768,53,52,3,2,2,12,2,8,799,488,1287,1,15.967467138304075,13.845822764513688,14345885,0,3,3,0.9999891232475442,eph32_K16_mr1_inv0,52,1,52,-1,77552328,14978721,33098,1,
lattigo,16,32768,53,52,3,2,2,12,2,8,799,488,1287,2,15.967467138304075,13.845822764513688,13722732,0,3,3,0.9999891232475442,eph32_K16_mr1_inv0,52,1,52,-1,77552328,14978721,33107,1,
lattigo,16,32768,53,52,3,3,4,15,3,7,933,427,1360,-3,15.968079654923752,13.8430715500004,11147856,0,3,3,0.9999882330145204,eph32_K16_mr1_inv0,52,1,52,-1,15583507,17878986,12720,1,
lattigo,16,32768,53,52,3,3,4,15,3,7,933,427,1360,-2,15.968079654923752,13.8430715500004,10840743,0,3,3,0.9999882330145204,eph32_K16_mr1_inv0,52,1,52,-1,15583507,17878986,13553,1,
lattigo,16,32768,53,52,3,3,4,15,3,7,933,427,1360,-1,15.968079654923752,13.8430715500004,10593773,0,3,3,0.9999882330145204,eph32_K16_mr1_inv0,52,1,52,-1,15583507,17878986,13555,1,
lattigo,16,32768,53,52,3,3,4,15,3,7,933,427,1360,0,15.968079654923752,13.8430715500004,10653637,0,3,3,0.9999882330145204,eph32_K16_mr1_inv0,52,1,52,-1,15583507,17878986,13586,1,
lattigo,16,32768,53,52,3,3,4,15,3,7,933,427,1360,1,15.968079654923752,13.8430715500004,10595062,0,3,3,0.9999882330145204,eph32_K16_mr1_inv0,52,1,52,-1,15583507,17878986,13587,1,
lattigo,16,32768,53,52,3,3,4,15,3,7,933,427,1360,2,15.968079654923752,13.8430715500004,10628175,0,3,3,0.9999882330145204,eph32_K16_mr1_inv0,52,1,52,-1,15583507,17878986,13590,1,
lattigo,16,32768,53,52,3,4,3,15,3,7,950,427,1377,-3,15.967261249375465,13.87836900061178,9721634,0,3,3,0.9999870452065484,eph32_K16_mr1_inv0,52,1,52,-1,15792814,18127083,11857,1,
lattigo,16,32768,53,52,3,4,3,15,3,7,950,427,1377,-2,15.967261249375465,13.87836900061178,9933714,0,3,3,0.9999870452065484,eph32_K16_mr1_inv0,52,1,52,-1,15792814,18127083,12672,1,
lattigo,16,32768,53,52,3,4,3,15,3,7,950,427,1377,-1,15.967261249375465,13.87836900061178,9869553,0,3,3,0.9999870452065484,eph32_K16_mr1_inv0,52,1,52,-1,15792814,18127083,13156,1,
lattigo,16,32768,53,52,3,4,3,15,3,7,950,427,1377,0,15.967261249375465,13.87836900061178,9734429,0,3,3,0.9999870452065484,eph32_K16_mr1_inv0,52,1,52,-1,15792814,18127083,13226,1,
lattigo,16,32768,53,52,3,4,3,15,3,7,950,427,1377,1,15.967261249375465,13.87836900061178,9745535,0,3,3,0.9999870452065484,eph32_K16_mr1_inv0,52,1,52,-1,15792814,18127083,13226,1,
lattigo,16,32768,53,52,3,4,3,15,3,7,950,427,1377,2,15.967261249375465,13.87836900061178,9684085,0,3,3,0.9999870452065484,eph32_K16_mr1_inv0,52,1,52,-1,15792814,18127083,13227,1,
lattigo,16,32768,53,52,3,4,4,16,3,7,989,427,1416,-3,15.967782241417876,13.895109848330538,10704269,0,3,3,0.9999886749282186,eph32_K16_mr1_inv0,52,1,52,-1,11480627,13320573,8993,1,
lattigo,16,32768,53,52,3,4,4,16,3,7,989,427,1416,-2,15.967782241417876,13.895109848330538,10456395,0,3,3,0.9999886749282186,eph32_K16_mr1_inv0,52,1,52,-1,11480627,13320573,9250,1,
lattigo,16,32768,53,52,3,4,4,16,3,7,989,427,1416,-1,15.967782241417876,13.895109848330538,10478124,0,3,3,0.9999886749282186,eph32_K16_mr1_inv0,52,1,52,-1,11480627,13320573,9251,1,
lattigo,16,32768,53,52,3,4,4,16,3,7,989,427,1416,0,15.967782241417876,13.895109848330538,10618836,0,3,3,0.9999886749282186,eph32_K16_mr1_inv0,52,1,52,-1,11480627,13320573,9412,1,
lattigo,16,32768,53,52,3,4,4,16,3,7,989,427,1416,1,15.967782241417876,13.895109848330538,10814406,0,3,3,0.9999886749282186,eph32_K16_mr1_inv0,52,1,52,-1,11480627,13320573,9880,1,
lattigo,16,32768,53,52,3,4,4,16,3,7,989,427,1416,2,15.967782241417876,13.895109848330538,10696942,0,3,3,0.9999886749282186,eph32_K16_mr1_inv0,52,1,52,-1,11480627,13320573,10855,1,
lattigo,16,32768,53,52,6,2,2,12,3,7,955,427,1382,-3,15.9669437516305,13.855167994167042,20383341,0,6,6,0.9999878289316234,eph32_K16_mr1_inv0,52,1,52,-1,78576751,22669369,31548,1,
lattigo,16,32768,53,52,6,2,2,12,3,7,955,427,1382,-2,15.9669437516305,13.855167994167042,17727879,0,6,6,0.9999878289316234,eph32_K16_mr1_inv0,52,1,52,-1,78576751,22669369,31641,1,
lattigo,16,32768,53,52,6,2,2,12,3,7,955,427,1382,-1,15.9669437516305,13.855167994167042,17670996,0,6,6,0.9999878289316234,eph32_K16_mr1_inv0,52,1,52,-1,78576751,22669369,31678,1,
lattigo,16,32768,53,52,6,2,2,12,3,7,955,427,1382,0,15.9669437516305,13.855167994167042,17726937,0,6,6,0.9999878289316234,eph32_K16_mr1_inv0,52,1,52,-1,78576751,22669369,32046,1,
lattigo,16,32768,53,52,6,2,2,12,3,7,955,427,1382,1,15.9669437516305,13.855167994167042,17792403,0,6,6,0.9999878289316234,eph32_K16_mr1_inv0,52,1,52,-1,78576751,22669369,32316,1,
lattigo,16,32768,53,52,6,2,2,12,3,7,955,427,1382,2,15.9669437516305,13.855167994167042,18091517,0,6,6,0.9999878289316234,eph32_K16_mr1_inv0,52,1,52,-1,78576751,22669369,32902,1,
lattigo,16,32768,53,52,6,3,4,15,3,8,1089,488,1577,-3,15.967609016526218,13.863894120505519,13768029,0,6,6,0.9999885720071953,eph32_K16_mr1_inv0,52,1,52,-1,16994174,20645736,13640,1,
lattigo,16,32768,53,52,6,3,4,15,3,8,1089,488,1577,-2,15.967609016526218,13.863894120505519,13544429,0,6,6,0.9999885720071953,eph32_K16_mr1_inv0,52,1,52,-1,16994174,20645736,13653,1,
lattigo,16,32768,53,52,6,3,4,15,3,8,1089,488,1577,-1,15.967609016526218,13.863894120505519,13510709,0,6,6,0.9999885720071953,eph32_K16_mr1_inv0,52,1,52,-1,16994174,20645736,13653,1,
lattigo,16,32768,53,52,6,3,4,15,3,8,1089,488,1577,0,15.967609016526218,13.863894120505519,13793203,0,6,6,0.9999885720071953,eph32_K16_mr1_inv0,52,1,52,-1,16994174,20645736,14234,1,
lattigo,16,32768,53,52,6,3,4,15,3,8,1089,488,1577,1,15.967609016526218,13.863894120505519,14260108,0,6,6,0.9999885720071953,eph32_K16_mr1_inv0,52,1,52,-1,16994174,20645736,15553,1,
lattigo,16,32768,53,52,6,3,4,15,3,8,1089,488,1577,2,15.967609016526218,13.863894120505519,14387840,0,6,6,0.9999885720071953,eph32_K16_mr1_inv0,52,1,52,-1,16994174,20645736,16638,1,
lattigo,16,32768,53,52,6,4,3,15,3,8,1106,488,1594,-3,15.96766840883051,13.84298822840266,12768139,0,6,6,0.9999881224901255,eph32_K16_mr1_inv0,52,1,52,-1,16471705,21011350,13132,1,
lattigo,16,32768,53,52,6,4,3,15,3,8,1106,488,1594,-2,15.96766840883051,13.84298822840266,12742056,0,6,6,0.9999881224901255,eph32_K16_mr1_inv0,52,1,52,-1,16471705,21011350,13489,1,
lattigo,16,32768,53,52,6,4,3,15,3,8,1106,488,1594,-1,15.96766840883051,13.84298822840266,13016592,0,6,6,0.9999881224901255,eph32_K16_mr1_inv0,52,1,52,-1,16471705,21011350,14702,1,
lattigo,16,32768,53,52,6,4,3,15,3,8,1106,488,1594,0,15.96766840883051,13.84298822840266,13036438,0,6,6,0.9999881224901255,eph32_K16_mr1_inv0,52,1,52,-1,16471705,21011350,15915,1,
lattigo,16,32768,53,52,6,4,3,15,3,8,1106,488,1594,1,15.96766840883051,13.84298822840266,12907008,0,6,6,0.9999881224901255,eph32_K16_mr1_inv0,52,1,52,-1,16471705,21011350,16459,1,
