library,logN,numSlots,q0,delta,residual_L,levelBudget_c2s,levelBudget_s2c,boot_depth,dnum,PCount,logQ_boot,logP_boot,logQP_boot,rep,precision_bits,worst_slot_bits,boot_us,level_in,level_out,level_out_expected,magnitude_ratio,scaling,in_scale_log2,q0_minus_scale_log2,correction_factor,setup_us,keygen_us,peak_rss_mb,ok,fail_reason
openfhe,16,32768,60,53,7,3,3,20,7,4,1491,240,1731,1,5.69388,3.36586,45999985,26,19,20,1.06247,FIXEDMANUAL|UNIFORM_TERNARY,53,7,7,12150756,71560908,17695,1,
openfhe,16,32768,60,53,7,3,3,20,7,4,1491,240,1731,2,5.68852,3.33859,47285876,26,19,20,1.07402,FIXEDMANUAL|UNIFORM_TERNARY,53,7,7,12150756,71560908,17695,1,
openfhe,16,32768,56,55,6,3,3,20,7,4,1486,240,1726,-3,6.81692,4.36188,42763003,25,19,20,1.02959,FIXEDMANUAL|UNIFORM_TERNARY,55,1,7,12021090,69978312,17088,1,
openfhe,16,32768,56,55,6,3,3,20,7,4,1486,240,1726,-2,6.82364,4.4205,41038785,25,19,20,1.03168,FIXEDMANUAL|UNIFORM_TERNARY,55,1,7,12021090,69978312,17089,1,
openfhe,16,32768,56,55,6,3,3,20,7,4,1486,240,1726,-1,6.81535,4.39881,41339581,25,19,20,1.03556,FIXEDMANUAL|UNIFORM_TERNARY,55,1,7,12021090,69978312,17089,1,
openfhe,16,32768,56,55,6,3,3,20,7,4,1486,240,1726,0,6.82033,4.46748,41637547,25,19,20,1.02992,FIXEDMANUAL|UNIFORM_TERNARY,55,1,7,12021090,69978312,17089,1,
openfhe,16,32768,56,55,6,3,3,20,7,4,1486,240,1726,1,6.81813,4.56771,42825121,25,19,20,1.02846,FIXEDMANUAL|UNIFORM_TERNARY,55,1,7,12021090,69978312,17089,1,
openfhe,16,32768,56,55,6,3,3,20,7,4,1486,240,1726,2,6.81572,4.32471,43135890,25,19,20,1.03626,FIXEDMANUAL|UNIFORM_TERNARY,55,1,7,12021090,69978312,17089,1,
openfhe,16,32768,60,55,6,3,3,20,7,4,1490,240,1730,-3,6.84642,4.47744,41556603,25,19,20,1.03128,FIXEDMANUAL|UNIFORM_TERNARY,55,5,7,12404485,69654923,17087,1,
openfhe,16,32768,60,55,6,3,3,20,7,4,1490,240,1730,-2,6.8499,4.28726,41450498,25,19,20,1.02525,FIXEDMANUAL|UNIFORM_TERNARY,55,5,7,12404485,69654923,17089,1,
openfhe,16,32768,60,55,6,3,3,20,7,4,1490,240,1730,-1,6.86018,4.43081,41990409,25,19,20,1.02616,FIXEDMANUAL|UNIFORM_TERNARY,55,5,7,12404485,69654923,17089,1,
openfhe,16,32768,60,55,6,3,3,20,7,4,1490,240,1730,0,6.85052,4.44208,43527958,25,19,20,1.03609,FIXEDMANUAL|UNIFORM_TERNARY,55,5,7,12404485,69654923,17090,1,
openfhe,16,32768,60,55,6,3,3,20,7,4,1490,240,1730,1,6.85232,4.38731,42461954,25,19,20,1.02602,FIXEDMANUAL|UNIFORM_TERNARY,55,5,7,12404485,69654923,17090,1,
openfhe,16,32768,60,55,6,3,3,20,7,4,1490,240,1730,2,6.86074,4.41725,41154977,25,19,20,1.02874,FIXEDMANUAL|UNIFORM_TERNARY,55,5,7,12404485,69654923,17090,1,
openfhe,16,32768,59,58,4,3,3,20,7,4,1451,240,1691,-3,8.8593,6.53335,35892666,23,19,20,1.00578,FIXEDMANUAL|UNIFORM_TERNARY,58,1,7,10619241,65345874,15845,1,
openfhe,16,32768,59,58,4,3,3,20,7,4,1451,240,1691,-2,8.85472,6.54985,36762335,23,19,20,1.00531,FIXEDMANUAL|UNIFORM_TERNARY,58,1,7,10619241,65345874,15846,1,
openfhe,16,32768,59,58,4,3,3,20,7,4,1451,240,1691,-1,8.86166,6.56763,37457424,23,19,20,1.00517,FIXEDMANUAL|UNIFORM_TERNARY,58,1,7,10619241,65345874,15846,1,
openfhe,16,32768,59,58,4,3,3,20,7,4,1451,240,1691,0,8.8448,6.54929,36000327,23,19,20,1.00656,FIXEDMANUAL|UNIFORM_TERNARY,58,1,7,10619241,65345874,15846,1,
openfhe,16,32768,59,58,4,3,3,20,7,4,1451,240,1691,1,8.84969,6.4796,35401155,23,19,20,1.00681,FIXEDMANUAL|UNIFORM_TERNARY,58,1,7,10619241,65345874,15846,1,
openfhe,16,32768,59,58,4,3,3,20,7,4,1451,240,1691,2,8.86082,6.33813,35402542,23,19,20,1.00532,FIXEDMANUAL|UNIFORM_TERNARY,58,1,7,10619241,65345874,15846,1,
openfhe,16,32768,60,58,4,3,3,20,7,4,1452,240,1692,-3,8.80155,6.44719,36978714,23,19,20,1.00805,FIXEDMANUAL|UNIFORM_TERNARY,58,2,7,10639463,63703299,15845,1,
openfhe,16,32768,60,58,4,3,3,20,7,4,1452,240,1692,-2,8.80838,6.29288,37130919,23,19,20,1.00438,FIXEDMANUAL|UNIFORM_TERNARY,58,2,7,10639463,63703299,15845,1,
openfhe,16,32768,60,58,4,3,3,20,7,4,1452,240,1692,-1,8.80604,6.32814,35806142,23,19,20,1.00825,FIXEDMANUAL|UNIFORM_TERNARY,58,2,7,10639463,63703299,15845,1,
openfhe,16,32768,60,58,4,3,3,20,7,4,1452,240,1692,0,8.80425,6.33791,35476016,23,19,20,1.00653,FIXEDMANUAL|UNIFORM_TERNARY,58,2,7,10639463,63703299,15845,1,
openfhe,16,32768,60,58,4,3,3,20,7,4,1452,240,1692,1,8.814,6.43122,35438095,23,19,20,1.00588,FIXEDMANUAL|UNIFORM_TERNARY,58,2,7,10639463,63703299,15845,1,
openfhe,16,32768,60,58,4,3,3,20,7,4,1452,240,1692,2,8.80792,6.31057,35789603,23,19,20,1.0046,FIXEDMANUAL|UNIFORM_TERNARY,58,2,7,10639463,63703299,15845,1,
openfhe,16,32768,60,59,4,3,3,20,7,4,1476,240,1716,-3,11.225,6.84523,37471862,23,19,20,1.00098,FIXEDMANUAL|UNIFORM_TERNARY,59,1,7,10810066,64849963,15845,1,
openfhe,16,32768,60,59,4,3,3,20,7,4,1476,240,1716,-2,11.2173,6.66895,35402144,23,19,20,1.00082,FIXEDMANUAL|UNIFORM_TERNARY,59,1,7,10810066,64849963,15845,1,
openfhe,16,32768,60,59,4,3,3,20,7,4,1476,240,1716,-1,11.2252,6.7367,35333527,23,19,20,1.00102,FIXEDMANUAL|UNIFORM_TERNARY,59,1,7,10810066,64849963,15845,1,
openfhe,16,32768,60,59,4,3,3,20,7,4,1476,240,1716,0,11.2163,6.65941,35688891,23,19,20,1.00127,FIXEDMANUAL|UNIFORM_TERNARY,59,1,7,10810066,64849963,15845,1,
openfhe,16,32768,60,59,4,3,3,20,7,4,1476,240,1716,1,11.2131,6.63379,35892722,23,19,20,1.00082,FIXEDMANUAL|UNIFORM_TERNARY,59,1,7,10810066,64849963,15846,1,
openfhe,16,32768,60,59,4,3,3,20,7,4,1476,240,1716,2,11.2231,6.69162,37015062,23,19,20,1.00108,FIXEDMANUAL|UNIFORM_TERNARY,59,1,7,10810066,64849963,15846,1,
openfhe,16,32768,60,59,3,3,3,20,5,5,1417,300,1717,-3,11.3223,6.83959,31806230,22,19,20,1.00093,FIXEDMANUAL|UNIFORM_TERNARY,59,1,7,11359795,47098117,12622,1,
openfhe,16,32768,60,59,3,3,3,20,5,5,1417,300,1717,-2,11.3081,6.9668,31681580,22,19,20,1.00086,FIXEDMANUAL|UNIFORM_TERNARY,59,1,7,11359795,47098117,12622,1,
openfhe,16,32768,60,59,3,3,3,20,5,5,1417,300,1717,-1,11.3155,6.99242,31812812,22,19,20,1.00073,FIXEDMANUAL|UNIFORM_TERNARY,59,1,7,11359795,47098117,12622,1,
openfhe,16,32768,60,59,3,3,3,20,5,5,1417,300,1717,0,11.3274,6.9953,32219483,22,19,20,1.00052,FIXEDMANUAL|UNIFORM_TERNARY,59,1,7,11359795,47098117,12622,1,
openfhe,16,32768,60,59,3,3,3,20,5,5,1417,300,1717,1,11.317,6.97149,33073886,22,19,20,1.00083,FIXEDMANUAL|UNIFORM_TERNARY,59,1,7,11359795,47098117,12622,1,
openfhe,16,32768,60,59,3,3,3,20,5,5,1417,300,1717,2,11.3199,7.04985,32269909,22,19,20,1.00081,FIXEDMANUAL|UNIFORM_TERNARY,59,1,7,11359795,47098117,12622,1,
openfhe,16,32768,53,52,3,3,3,20,3,7,1249,420,1669,-3,4.93921,-0.79041,28815209,22,19,20,2.40581,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,11679345,29968092,10131,0,자릿수 이상: max|got|/max|want|=2.405815
openfhe,16,32768,53,52,3,3,3,20,3,7,1249,420,1669,-2,4.94383,-0.799608,28858090,22,19,20,2.41688,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,11679345,29968092,10132,0,자릿수 이상: max|got|/max|want|=2.416878
openfhe,16,32768,53,52,3,3,3,20,3,7,1249,420,1669,-1,4.94725,-0.764609,29233636,22,19,20,2.37516,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,11679345,29968092,10132,0,자릿수 이상: max|got|/max|want|=2.375157
openfhe,16,32768,53,52,3,3,3,20,3,7,1249,420,1669,0,4.9383,-0.827336,29830516,22,19,20,2.45066,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,11679345,29968092,10132,0,자릿수 이상: max|got|/max|want|=2.450657
openfhe,16,32768,53,52,3,3,3,20,3,7,1249,420,1669,1,4.95651,-0.804011,29254069,22,19,20,2.4222,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,11679345,29968092,10132,0,자릿수 이상: max|got|/max|want|=2.422199
openfhe,16,32768,53,52,3,3,3,20,3,7,1249,420,1669,2,4.9385,-0.8329,28628905,22,19,20,2.45751,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,11679345,29968092,10132,0,자릿수 이상: max|got|/max|want|=2.457514
openfhe,16,32768,53,52,4,3,3,20,4,7,1301,420,1721,-3,5.52045,2.93855,33496189,23,19,20,1.08763,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,12550641,41063696,12306,1,
openfhe,16,32768,53,52,4,3,3,20,4,7,1301,420,1721,-2,5.52956,2.76157,33468232,23,19,20,1.07907,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,12550641,41063696,12306,1,
openfhe,16,32768,53,52,4,3,3,20,4,7,1301,420,1721,-1,5.53361,2.99646,34305833,23,19,20,1.07898,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,12550641,41063696,12306,1,
openfhe,16,32768,53,52,4,3,3,20,4,7,1301,420,1721,0,5.51316,3.09421,33893886,23,19,20,1.09468,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,12550641,41063696,12306,1,
openfhe,16,32768,53,52,4,3,3,20,4,7,1301,420,1721,1,5.51979,2.88284,32922196,23,19,20,1.07712,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,12550641,41063696,12306,1,
openfhe,16,32768,53,52,4,3,3,20,4,7,1301,420,1721,2,5.52559,2.97148,33113870,23,19,20,1.07602,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,12550641,41063696,12306,1,
openfhe,16,32768,53,52,5,3,3,20,5,6,1353,360,1713,-3,5.53046,2.93027,36883745,24,19,20,1.0738,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,12162448,50811031,14102,1,
openfhe,16,32768,53,52,5,3,3,20,5,6,1353,360,1713,-2,5.53147,3.11173,35623815,24,19,20,1.06686,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,12162448,50811031,14102,1,
openfhe,16,32768,53,52,5,3,3,20,5,6,1353,360,1713,-1,5.52619,2.97252,34877606,24,19,20,1.07666,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,12162448,50811031,14102,1,
openfhe,16,32768,53,52,5,3,3,20,5,6,1353,360,1713,0,5.53852,3.04162,35043254,24,19,20,1.07187,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,12162448,50811031,14102,1,
openfhe,16,32768,53,52,5,3,3,20,5,6,1353,360,1713,1,5.52667,3.07295,35325007,24,19,20,1.07545,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,12162448,50811031,14102,1,
openfhe,16,32768,53,52,5,3,3,20,5,6,1353,360,1713,2,5.52325,2.95717,36024190,24,19,20,1.07306,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,12162448,50811031,14102,1,
openfhe,16,32768,53,52,6,3,3,20,6,5,1405,300,1705,-3,5.51098,2.96898,39253248,25,19,20,1.08831,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,12711199,61995505,15898,1,
openfhe,16,32768,53,52,6,3,3,20,6,5,1405,300,1705,-2,5.51389,3.12035,39167748,25,19,20,1.08403,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,12711199,61995505,15899,1,
openfhe,16,32768,53,52,6,3,3,20,6,5,1405,300,1705,-1,5.52019,3.04317,39829180,25,19,20,1.08929,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,12711199,61995505,15899,1,
openfhe,16,32768,53,52,6,3,3,20,6,5,1405,300,1705,0,5.51378,3.0406,40565693,25,19,20,1.08276,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,12711199,61995505,15899,1,
openfhe,16,32768,53,52,6,3,3,20,6,5,1405,300,1705,1,5.51586,3.09291,38896857,25,19,20,1.07023,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,12711199,61995505,15899,1,
openfhe,16,32768,53,52,6,3,3,20,6,5,1405,300,1705,2,5.51724,3.09528,38978849,25,19,20,1.07385,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,12711199,61995505,15899,1,
openfhe,16,32768,53,52,3,2,2,18,2,10,1145,600,1745,-3,5.49449,2.91469,58354689,20,17,18,1.09505,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,54690690,66974482,31854,1,
openfhe,16,32768,53,52,3,2,2,18,2,10,1145,600,1745,-2,5.5019,2.95972,55821022,20,17,18,1.08397,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,54690690,66974482,31854,1,
openfhe,16,32768,53,52,3,2,2,18,2,10,1145,600,1745,-1,5.4977,3.08994,58280396,20,17,18,1.09584,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,54690690,66974482,31854,1,
openfhe,16,32768,53,52,3,2,2,18,2,10,1145,600,1745,0,5.47825,3.02672,55828904,20,17,18,1.09183,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,54690690,66974482,31854,1,
openfhe,16,32768,53,52,3,2,2,18,2,10,1145,600,1745,1,5.49786,2.85961,55026657,20,17,18,1.06751,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,54690690,66974482,31854,1,
openfhe,16,32768,53,52,3,2,2,18,2,10,1145,600,1745,2,5.49666,3.04418,56028360,20,17,18,1.08449,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,54690690,66974482,31854,1,
openfhe,16,32768,53,52,3,3,4,21,4,7,1301,420,1721,-3,5.50443,2.96354,32521163,23,20,21,1.06477,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,10767022,76144783,17572,1,
openfhe,16,32768,53,52,3,3,4,21,4,7,1301,420,1721,-2,5.51934,3.03178,32180810,23,20,21,1.07878,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,10767022,76144783,17573,1,
openfhe,16,32768,53,52,3,3,4,21,4,7,1301,420,1721,-1,5.51854,2.97285,32284987,23,20,21,1.11413,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,10767022,76144783,17573,1,
openfhe,16,32768,53,52,3,3,4,21,4,7,1301,420,1721,0,5.51366,2.95535,32391813,23,20,21,1.07778,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,10767022,76144783,17573,1,
openfhe,16,32768,53,52,3,3,4,21,4,7,1301,420,1721,1,5.51575,2.9841,33202366,23,20,21,1.08658,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,10767022,76144783,17573,1,
openfhe,16,32768,53,52,3,3,4,21,4,7,1301,420,1721,2,5.52107,3.10114,32997185,23,20,21,1.08599,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,10767022,76144783,17573,1,
openfhe,16,32768,53,52,3,4,3,21,4,7,1301,420,1721,-3,5.11684,2.77206,29631924,23,20,21,1.11232,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,8460510,71580339,16035,1,
openfhe,16,32768,53,52,3,4,3,21,4,7,1301,420,1721,-2,5.11167,2.75033,29066853,23,20,21,1.09551,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,8460510,71580339,16035,1,
openfhe,16,32768,53,52,3,4,3,21,4,7,1301,420,1721,-1,5.11784,2.72535,29198548,23,20,21,1.13114,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,8460510,71580339,16035,1,
openfhe,16,32768,53,52,3,4,3,21,4,7,1301,420,1721,0,5.11273,2.68625,29210860,23,20,21,1.10761,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,8460510,71580339,16035,1,
openfhe,16,32768,53,52,3,4,3,21,4,7,1301,420,1721,1,5.11843,2.76866,29540589,23,20,21,1.09929,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,8460510,71580339,16036,1,
openfhe,16,32768,53,52,3,4,3,21,4,7,1301,420,1721,2,5.12013,2.6388,30296156,23,20,21,1.09704,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,8460510,71580339,16036,1,
openfhe,16,32768,53,52,3,4,4,22,5,6,1353,360,1713,-3,5.13218,2.71753,29325776,24,21,22,1.10466,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,6875604,74020644,15939,1,
openfhe,16,32768,53,52,3,4,4,22,5,6,1353,360,1713,-2,5.12335,2.74036,29067128,24,21,22,1.10151,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,6875604,74020644,15939,1,
openfhe,16,32768,53,52,3,4,4,22,5,6,1353,360,1713,-1,5.12767,2.50986,29146545,24,21,22,1.10042,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,6875604,74020644,15939,1,
openfhe,16,32768,53,52,3,4,4,22,5,6,1353,360,1713,0,5.13511,2.68301,29771200,24,21,22,1.09223,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,6875604,74020644,15939,1,
openfhe,16,32768,53,52,3,4,4,22,5,6,1353,360,1713,1,5.13752,2.76553,29507886,24,21,22,1.10451,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,6875604,74020644,15939,1,
openfhe,16,32768,53,52,3,4,4,22,5,6,1353,360,1713,2,5.1368,2.70067,29378209,24,21,22,1.12243,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,6875604,74020644,15939,1,
openfhe,16,32768,53,52,6,2,2,18,4,7,1301,420,1721,-3,5.48052,3.04801,70985833,23,17,18,1.0665,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,55006152,130036162,42941,1,
openfhe,16,32768,53,52,6,2,2,18,4,7,1301,420,1721,-2,5.48473,3.10605,70331038,23,17,18,1.06214,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,55006152,130036162,42942,1,
openfhe,16,32768,53,52,6,2,2,18,4,7,1301,420,1721,-1,5.4796,3.01507,67273034,23,17,18,1.08044,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,55006152,130036162,42942,1,
openfhe,16,32768,53,52,6,2,2,18,4,7,1301,420,1721,0,5.48453,2.98596,67151952,23,17,18,1.08626,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,55006152,130036162,42943,1,
openfhe,16,32768,53,52,6,2,2,18,4,7,1301,420,1721,1,5.48539,3.07295,69539954,23,17,18,1.07499,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,55006152,130036162,42943,1,
openfhe,16,32768,53,52,6,2,2,18,4,7,1301,420,1721,2,5.47706,2.96843,65810576,23,17,18,1.08547,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,55006152,130036162,42943,1,
openfhe,16,32768,53,52,6,3,4,21,7,4,1457,240,1697,-3,5.53697,2.96434,44915406,26,20,21,1.07578,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,10359813,130103466,27378,1,
openfhe,16,32768,53,52,6,3,4,21,7,4,1457,240,1697,-2,5.52451,3.03244,43299117,26,20,21,1.0782,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,10359813,130103466,27380,1,
openfhe,16,32768,53,52,6,3,4,21,7,4,1457,240,1697,-1,5.52258,3.0139,43709824,26,20,21,1.06411,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,10359813,130103466,27380,1,
openfhe,16,32768,53,52,6,3,4,21,7,4,1457,240,1697,0,5.52606,3.02093,43791674,26,20,21,1.08574,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,10359813,130103466,27380,1,
openfhe,16,32768,53,52,6,3,4,21,7,4,1457,240,1697,1,5.52397,2.98177,44949600,26,20,21,1.06996,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,10359813,130103466,27381,1,
openfhe,16,32768,53,52,6,3,4,21,7,4,1457,240,1697,2,5.52389,2.94288,43986184,26,20,21,1.0694,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,10359813,130103466,27381,1,
openfhe,16,32768,53,52,6,4,3,21,7,4,1457,240,1697,-3,5.11406,2.71236,41252430,26,20,21,1.1091,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,8617991,121631999,25262,1,
openfhe,16,32768,53,52,6,4,3,21,7,4,1457,240,1697,-2,5.11985,2.75051,41108382,26,20,21,1.13684,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,8617991,121631999,25264,1,
openfhe,16,32768,53,52,6,4,3,21,7,4,1457,240,1697,-1,5.12887,2.70537,39524124,26,20,21,1.10119,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,8617991,121631999,25264,1,
openfhe,16,32768,53,52,6,4,3,21,7,4,1457,240,1697,0,5.11665,2.71317,40012956,26,20,21,1.12312,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,8617991,121631999,25264,1,
openfhe,16,32768,53,52,6,4,3,21,7,4,1457,240,1697,1,5.12785,2.78864,40380332,26,20,21,1.10543,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,8617991,121631999,25264,1,
openfhe,16,32768,53,52,6,4,3,21,7,4,1457,240,1697,2,5.12617,2.62157,41231638,26,20,21,1.10486,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,8617991,121631999,25264,1,
