q0,delta,residual_L,levelBudget_c2s,levelBudget_s2c,boot_depth_of,evalmod_levels_of,evalmod_levels_la,logQ_boot_la,dnum_of,PCount_boot_of,logP_boot_of,logQP_boot_of,margin_1747_of,boot_depth_la,dnum_la,PCount_boot_la,logP_boot_la,logQP_boot_la,margin_1747_la,rotkeys_la,grid_of,grid_la
40,33,11,4,3,21,14,13.0,1394.0,2,10.0,600.0,1696.0,51.0,20.0,7.0,5,305.0,1699.0,48.0,48,L3-14,L3-14
40,33,12,4,3,21,14,13.0,1427.0,2,10.0,600.0,1729.0,18.0,20.0,7.0,5,305.0,1732.0,15.0,48,L3-14,L3-14
40,33,3,4,4,22,14,13.0,1169.0,2,8.0,480.0,1345.0,402.0,21.0,4.0,7,427.0,1596.0,151.0,33,L3-14,L3-14
40,33,4,4,4,22,14,13.0,1202.0,2,8.0,480.0,1378.0,369.0,21.0,4.0,7,427.0,1629.0,118.0,33,L3-14,L3-14
40,33,5,4,4,22,14,13.0,1235.0,2,8.0,480.0,1411.0,336.0,21.0,4.0,7,427.0,1662.0,85.0,33,L3-14,L3-14
40,33,6,4,4,22,14,13.0,1268.0,2,9.0,540.0,1504.0,243.0,21.0,4.0,7,427.0,1695.0,52.0,33,L3-14,L3-14
40,33,7,4,4,22,14,13.0,1301.0,2,9.0,540.0,1537.0,210.0,21.0,5.0,6,366.0,1667.0,80.0,33,L3-14,L3-14
40,33,8,4,4,22,14,13.0,1334.0,2,9.0,540.0,1570.0,177.0,21.0,5.0,6,366.0,1700.0,47.0,33,L3-14,L3-14
40,33,9,4,4,22,14,13.0,1367.0,2,9.0,540.0,1603.0,144.0,21.0,6.0,6,366.0,1733.0,14.0,33,L3-14,L3-14
40,33,10,4,4,22,14,13.0,1400.0,2,10.0,600.0,1696.0,51.0,21.0,7.0,5,305.0,1705.0,42.0,33,L3-14,L3-14
40,33,11,4,4,22,14,13.0,1433.0,2,10.0,600.0,1729.0,18.0,21.0,7.0,5,305.0,1738.0,9.0,33,L3-14,L3-14
40,35,3,2,2,18,14,13.0,985.0,1,13.0,780.0,1555.0,192.0,17.0,3.0,7,427.0,1412.0,335.0,61,L3-14,L3-14
40,35,4,2,2,18,14,13.0,1020.0,1,14.0,840.0,1650.0,97.0,17.0,3.0,8,488.0,1508.0,239.0,61,L3-14,L3-14
40,35,5,2,2,18,14,13.0,1055.0,1,15.0,900.0,1745.0,2.0,17.0,3.0,8,488.0,1543.0,204.0,61,L3-14,L3-14
40,35,6,2,2,18,14,13.0,1090.0,2,8.0,480.0,1360.0,387.0,17.0,3.0,8,488.0,1578.0,169.0,61,L3-14,L3-14
40,35,7,2,2,18,14,13.0,1125.0,2,8.0,480.0,1395.0,352.0,17.0,4.0,7,427.0,1552.0,195.0,61,L3-14,L3-14
40,35,8,2,2,18,14,13.0,1160.0,2,9.0,540.0,1490.0,257.0,17.0,4.0,7,427.0,1587.0,160.0,61,L3-14,L3-14
40,35,9,2,2,18,14,13.0,1195.0,2,9.0,540.0,1525.0,222.0,17.0,4.0,7,427.0,1622.0,125.0,61,L3-14,L3-14
40,35,10,2,2,18,14,13.0,1230.0,2,9.0,540.0,1560.0,187.0,17.0,4.0,7,427.0,1657.0,90.0,61,L3-14,L3-14
40,35,11,2,2,18,14,13.0,1265.0,2,9.0,540.0,1595.0,152.0,17.0,5.0,6,366.0,1631.0,116.0,61,L3-14,L3-14
40,35,12,2,2,18,14,13.0,1300.0,2,10.0,600.0,1690.0,57.0,17.0,5.0,6,366.0,1666.0,81.0,61,L3-14,L3-14
40,35,13,2,2,18,14,13.0,1335.0,2,10.0,600.0,1725.0,22.0,17.0,6.0,6,366.0,1701.0,46.0,61,L3-14,L3-14
40,35,14,2,2,18,14,13.0,1370.0,3,7.0,420.0,1580.0,167.0,17.0,6.0,6,366.0,1736.0,11.0,61,L3-14,L3-14
40,35,15,2,2,18,14,13.0,1405.0,3,8.0,480.0,1675.0,72.0,17.0,7.0,5,305.0,1710.0,37.0,61,L15-20,L15-20
40,35,16,2,2,18,14,13.0,1440.0,3,8.0,480.0,1710.0,37.0,17.0,7.0,5,305.0,1745.0,2.0,61,L15-20,L15-20
40,35,3,3,3,20,14,13.0,1080.0,1,15.0,900.0,1745.0,2.0,19.0,3.0,8,488.0,1568.0,179.0,39,L3-14,L3-14
40,35,4,3,3,20,14,13.0,1115.0,2,8.0,480.0,1360.0,387.0,19.0,3.0,8,488.0,1603.0,144.0,39,L3-14,L3-14
40,35,5,3,3,20,14,13.0,1150.0,2,8.0,480.0,1395.0,352.0,19.0,4.0,7,427.0,1577.0,170.0,39,L3-14,L3-14
40,35,6,3,3,20,14,13.0,1185.0,2,9.0,540.0,1490.0,257.0,19.0,4.0,7,427.0,1612.0,135.0,39,L3-14,L3-14
40,35,7,3,3,20,14,13.0,1220.0,2,9.0,540.0,1525.0,222.0,19.0,4.0,7,427.0,1647.0,100.0,39,L3-14,L3-14
40,35,8,3,3,20,14,13.0,1255.0,2,9.0,540.0,1560.0,187.0,19.0,4.0,7,427.0,1682.0,65.0,39,L3-14,L3-14
40,35,9,3,3,20,14,13.0,1290.0,2,9.0,540.0,1595.0,152.0,19.0,5.0,6,366.0,1656.0,91.0,39,L3-14,L3-14
40,35,10,3,3,20,14,13.0,1325.0,2,10.0,600.0,1690.0,57.0,19.0,5.0,6,366.0,1691.0,56.0,39,L3-14,L3-14
40,35,11,3,3,20,14,13.0,1360.0,2,10.0,600.0,1725.0,22.0,19.0,6.0,6,366.0,1726.0,21.0,39,L3-14,L3-14
40,35,12,3,3,20,14,13.0,1395.0,3,7.0,420.0,1580.0,167.0,19.0,7.0,5,305.0,1700.0,47.0,39,L3-14,L3-14
40,35,13,3,3,20,14,13.0,1430.0,3,8.0,480.0,1675.0,72.0,19.0,7.0,5,305.0,1735.0,12.0,39,L3-14,L3-14
40,35,3,3,4,21,14,13.0,1119.0,2,8.0,480.0,1360.0,387.0,20.0,3.0,8,488.0,1607.0,140.0,48,L3-14,L3-14
40,35,4,3,4,21,14,13.0,1154.0,2,8.0,480.0,1395.0,352.0,20.0,4.0,7,427.0,1581.0,166.0,48,L3-14,L3-14
40,35,5,3,4,21,14,13.0,1189.0,2,9.0,540.0,1490.0,257.0,20.0,4.0,7,427.0,1616.0,131.0,48,L3-14,L3-14
40,35,6,3,4,21,14,13.0,1224.0,2,9.0,540.0,1525.0,222.0,20.0,4.0,7,427.0,1651.0,96.0,48,L3-14,L3-14
40,35,7,3,4,21,14,13.0,1259.0,2,9.0,540.0,1560.0,187.0,20.0,4.0,7,427.0,1686.0,61.0,48,L3-14,L3-14
40,35,8,3,4,21,14,13.0,1294.0,2,9.0,540.0,1595.0,152.0,20.0,5.0,6,366.0,1660.0,87.0,48,L3-14,L3-14
40,35,9,3,4,21,14,13.0,1329.0,2,10.0,600.0,1690.0,57.0,20.0,5.0,6,366.0,1695.0,52.0,48,L3-14,L3-14
40,35,10,3,4,21,14,13.0,1364.0,2,10.0,600.0,1725.0,22.0,20.0,6.0,6,366.0,1730.0,17.0,48,L3-14,L3-14
40,35,11,3,4,21,14,13.0,1399.0,3,7.0,420.0,1580.0,167.0,20.0,7.0,5,305.0,1704.0,43.0,48,L3-14,L3-14
40,35,12,3,4,21,14,13.0,1434.0,3,8.0,480.0,1675.0,72.0,20.0,7.0,5,305.0,1739.0,8.0,48,L3-14,L3-14
40,35,3,4,3,21,14,13.0,1136.0,2,8.0,480.0,1360.0,387.0,20.0,3.0,8,488.0,1624.0,123.0,48,L3-14,L3-14
40,35,4,4,3,21,14,13.0,1171.0,2,8.0,480.0,1395.0,352.0,20.0,4.0,7,427.0,1598.0,149.0,48,L3-14,L3-14
40,35,5,4,3,21,14,13.0,1206.0,2,9.0,540.0,1490.0,257.0,20.0,4.0,7,427.0,1633.0,114.0,48,L3-14,L3-14
40,35,6,4,3,21,14,13.0,1241.0,2,9.0,540.0,1525.0,222.0,20.0,4.0,7,427.0,1668.0,79.0,48,L3-14,L3-14
40,35,7,4,3,21,14,13.0,1276.0,2,9.0,540.0,1560.0,187.0,20.0,4.0,7,427.0,1703.0,44.0,48,L3-14,L3-14
40,35,8,4,3,21,14,13.0,1311.0,2,9.0,540.0,1595.0,152.0,20.0,5.0,6,366.0,1677.0,70.0,48,L3-14,L3-14
40,35,9,4,3,21,14,13.0,1346.0,2,10.0,600.0,1690.0,57.0,20.0,5.0,6,366.0,1712.0,35.0,48,L3-14,L3-14
40,35,10,4,3,21,14,13.0,1381.0,2,10.0,600.0,1725.0,22.0,20.0,6.0,6,366.0,1747.0,0.0,48,L3-14,L3-14
40,35,11,4,3,21,14,13.0,1416.0,3,7.0,420.0,1580.0,167.0,20.0,7.0,5,305.0,1721.0,26.0,48,L3-14,L3-14
40,35,3,4,4,22,14,13.0,1175.0,2,8.0,480.0,1395.0,352.0,21.0,4.0,7,427.0,1602.0,145.0,33,L3-14,L3-14
40,35,4,4,4,22,14,13.0,1210.0,2,9.0,540.0,1490.0,257.0,21.0,4.0,7,427.0,1637.0,110.0,33,L3-14,L3-14
40,35,5,4,4,22,14,13.0,1245.0,2,9.0,540.0,1525.0,222.0,21.0,4.0,7,427.0,1672.0,75.0,33,L3-14,L3-14
40,35,6,4,4,22,14,13.0,1280.0,2,9.0,540.0,1560.0,187.0,21.0,4.0,7,427.0,1707.0,40.0,33,L3-14,L3-14
40,35,7,4,4,22,14,13.0,1315.0,2,9.0,540.0,1595.0,152.0,21.0,5.0,6,366.0,1681.0,66.0,33,L3-14,L3-14
40,35,8,4,4,22,14,13.0,1350.0,2,10.0,600.0,1690.0,57.0,21.0,5.0,6,366.0,1716.0,31.0,33,L3-14,L3-14
40,35,9,4,4,22,14,13.0,1385.0,2,10.0,600.0,1725.0,22.0,21.0,7.0,5,305.0,1690.0,57.0,33,L3-14,L3-14
40,35,10,4,4,22,14,13.0,1420.0,3,7.0,420.0,1580.0,167.0,21.0,7.0,5,305.0,1725.0,22.0,33,L3-14,L3-14
40,38,3,2,2,18,14,13.0,994.0,1,14.0,840.0,1678.0,69.0,17.0,3.0,7,427.0,1421.0,326.0,61,L3-14,L3-14
40,38,4,2,2,18,14,13.0,1032.0,2,8.0,480.0,1356.0,391.0,17.0,3.0,8,488.0,1520.0,227.0,61,L3-14,L3-14
40,38,5,2,2,18,14,13.0,1070.0,2,8.0,480.0,1394.0,353.0,17.0,3.0,8,488.0,1558.0,189.0,61,L3-14,L3-14
40,38,6,2,2,18,14,13.0,1108.0,2,9.0,540.0,1492.0,255.0,17.0,3.0,8,488.0,1596.0,151.0,61,L3-14,L3-14
40,38,7,2,2,18,14,13.0,1146.0,2,9.0,540.0,1530.0,217.0,17.0,4.0,7,427.0,1573.0,174.0,61,L3-14,L3-14
40,38,8,2,2,18,14,13.0,1184.0,2,9.0,540.0,1568.0,179.0,17.0,4.0,7,427.0,1611.0,136.0,61,L3-14,L3-14
40,38,9,2,2,18,14,13.0,1222.0,2,9.0,540.0,1606.0,141.0,17.0,4.0,7,427.0,1649.0,98.0,61,L3-14,L3-14
40,38,10,2,2,18,14,13.0,1260.0,2,10.0,600.0,1704.0,43.0,17.0,4.0,7,427.0,1687.0,60.0,61,L3-14,L3-14
40,38,11,2,2,18,14,13.0,1298.0,2,10.0,600.0,1742.0,5.0,17.0,5.0,6,366.0,1664.0,83.0,61,L3-14,L3-14
40,38,12,2,2,18,14,13.0,1336.0,3,7.0,420.0,1600.0,147.0,17.0,5.0,6,366.0,1702.0,45.0,61,L3-14,L3-14
40,38,13,2,2,18,14,13.0,1374.0,3,7.0,420.0,1638.0,109.0,17.0,6.0,6,366.0,1740.0,7.0,61,L3-14,L3-14
40,38,14,2,2,18,14,13.0,1412.0,3,7.0,420.0,1676.0,71.0,17.0,7.0,5,305.0,1717.0,30.0,61,L3-14,L3-14
40,38,3,3,3,20,14,13.0,1089.0,2,8.0,480.0,1394.0,353.0,19.0,3.0,8,488.0,1577.0,170.0,39,L3-14,L3-14
40,38,4,3,3,20,14,13.0,1127.0,2,9.0,540.0,1492.0,255.0,19.0,3.0,8,488.0,1615.0,132.0,39,L3-14,L3-14
40,38,5,3,3,20,14,13.0,1165.0,2,9.0,540.0,1530.0,217.0,19.0,4.0,7,427.0,1592.0,155.0,39,L3-14,L3-14
40,38,6,3,3,20,14,13.0,1203.0,2,9.0,540.0,1568.0,179.0,19.0,4.0,7,427.0,1630.0,117.0,39,L3-14,L3-14
40,38,7,3,3,20,14,13.0,1241.0,2,9.0,540.0,1606.0,141.0,19.0,4.0,7,427.0,1668.0,79.0,39,L3-14,L3-14
40,38,8,3,3,20,14,13.0,1279.0,2,10.0,600.0,1704.0,43.0,19.0,4.0,7,427.0,1706.0,41.0,39,L3-14,L3-14
40,38,9,3,3,20,14,13.0,1317.0,2,10.0,600.0,1742.0,5.0,19.0,5.0,6,366.0,1683.0,64.0,39,L3-14,L3-14
40,38,10,3,3,20,14,13.0,1355.0,3,7.0,420.0,1600.0,147.0,19.0,5.0,6,366.0,1721.0,26.0,39,L3-14,L3-14
40,38,11,3,3,20,14,13.0,1393.0,3,7.0,420.0,1638.0,109.0,19.0,7.0,5,305.0,1698.0,49.0,39,L3-14,L3-14
40,38,12,3,3,20,14,13.0,1431.0,3,7.0,420.0,1676.0,71.0,19.0,7.0,5,305.0,1736.0,11.0,39,L3-14,L3-14
40,38,3,3,4,21,14,13.0,1128.0,2,9.0,540.0,1492.0,255.0,20.0,3.0,8,488.0,1616.0,131.0,48,L3-14,L3-14
40,38,4,3,4,21,14,13.0,1166.0,2,9.0,540.0,1530.0,217.0,20.0,4.0,7,427.0,1593.0,154.0,48,L3-14,L3-14
40,38,5,3,4,21,14,13.0,1204.0,2,9.0,540.0,1568.0,179.0,20.0,4.0,7,427.0,1631.0,116.0,48,L3-14,L3-14
40,38,6,3,4,21,14,13.0,1242.0,2,9.0,540.0,1606.0,141.0,20.0,4.0,7,427.0,1669.0,78.0,48,L3-14,L3-14
40,38,7,3,4,21,14,13.0,1280.0,2,10.0,600.0,1704.0,43.0,20.0,4.0,7,427.0,1707.0,40.0,48,L3-14,L3-14
40,38,8,3,4,21,14,13.0,1318.0,2,10.0,600.0,1742.0,5.0,20.0,5.0,6,366.0,1684.0,63.0,48,L3-14,L3-14
40,38,9,3,4,21,14,13.0,1356.0,3,7.0,420.0,1600.0,147.0,20.0,5.0,6,366.0,1722.0,25.0,48,L3-14,L3-14
40,38,10,3,4,21,14,13.0,1394.0,3,7.0,420.0,1638.0,109.0,20.0,7.0,5,305.0,1699.0,48.0,48,L3-14,L3-14
40,38,11,3,4,21,14,13.0,1432.0,3,7.0,420.0,1676.0,71.0,20.0,7.0,5,305.0,1737.0,10.0,48,L3-14,L3-14
40,38,3,4,3,21,14,13.0,1145.0,2,9.0,540.0,1492.0,255.0,20.0,3.0,8,488.0,1633.0,114.0,48,L3-14,L3-14
40,38,4,4,3,21,14,13.0,1183.0,2,9.0,540.0,1530.0,217.0,20.0,4.0,7,427.0,1610.0,137.0,48,L3-14,L3-14
40,38,5,4,3,21,14,13.0,1221.0,2,9.0,540.0,1568.0,179.0,20.0,4.0,7,427.0,1648.0,99.0,48,L3-14,L3-14
40,38,6,4,3,21,14,13.0,1259.0,2,9.0,540.0,1606.0,141.0,20.0,4.0,7,427.0,1686.0,61.0,48,L3-14,L3-14
40,38,7,4,3,21,14,13.0,1297.0,2,10.0,600.0,1704.0,43.0,20.0,4.0,7,427.0,1724.0,23.0,48,L3-14,L3-14
40,38,8,4,3,21,14,13.0,1335.0,2,10.0,600.0,1742.0,5.0,20.0,5.0,6,366.0,1701.0,46.0,48,L3-14,L3-14
40,38,9,4,3,21,14,13.0,1373.0,3,7.0,420.0,1600.0,147.0,20.0,5.0,6,366.0,1739.0,8.0,48,L3-14,L3-14
40,38,10,4,3,21,14,13.0,1411.0,3,7.0,420.0,1638.0,109.0,20.0,7.0,5,305.0,1716.0,31.0,48,L3-14,L3-14
40,38,11,4,3,21,14,13.0,1449.0,3,7.0,420.0,1676.0,71.0,20.0,8.0,4,244.0,1693.0,54.0,48,L3-14,L3-14
40,38,3,4,4,22,14,13.0,1184.0,2,9.0,540.0,1530.0,217.0,21.0,4.0,7,427.0,1611.0,136.0,33,L3-14,L3-14
40,38,4,4,4,22,14,13.0,1222.0,2,9.0,540.0,1568.0,179.0,21.0,4.0,7,427.0,1649.0,98.0,33,L3-14,L3-14
40,38,5,4,4,22,14,13.0,1260.0,2,9.0,540.0,1606.0,141.0,21.0,4.0,7,427.0,1687.0,60.0,33,L3-14,L3-14
40,38,6,4,4,22,14,13.0,1298.0,2,10.0,600.0,1704.0,43.0,21.0,4.0,7,427.0,1725.0,22.0,33,L3-14,L3-14
40,38,7,4,4,22,14,13.0,1336.0,2,10.0,600.0,1742.0,5.0,21.0,5.0,6,366.0,1702.0,45.0,33,L3-14,L3-14
40,38,8,4,4,22,14,13.0,1374.0,3,7.0,420.0,1600.0,147.0,21.0,5.0,6,366.0,1740.0,7.0,33,L3-14,L3-14
40,38,9,4,4,22,14,13.0,1412.0,3,7.0,420.0,1638.0,109.0,21.0,7.0,5,305.0,1717.0,30.0,33,L3-14,L3-14
40,38,10,4,4,22,14,13.0,1450.0,3,7.0,420.0,1676.0,71.0,21.0,8.0,4,244.0,1694.0,53.0,33,L3-14,L3-14
40,40,3,2,2,18,14,13.0,1000.0,2,8.0,480.0,1360.0,387.0,17.0,3.0,7,427.0,1427.0,320.0,61,L3-14,L3-14
40,40,4,2,2,18,14,13.0,1040.0,2,9.0,540.0,1460.0,287.0,17.0,3.0,8,488.0,1528.0,219.0,61,L3-14,L3-14
40,40,5,2,2,18,14,13.0,1080.0,2,9.0,540.0,1500.0,247.0,17.0,3.0,8,488.0,1568.0,179.0,61,L3-14,L3-14
40,40,6,2,2,18,14,13.0,1120.0,2,9.0,540.0,1540.0,207.0,17.0,3.0,8,488.0,1608.0,139.0,61,L3-14,L3-14
40,40,7,2,2,18,14,13.0,1160.0,2,9.0,540.0,1580.0,167.0,17.0,4.0,7,427.0,1587.0,160.0,61,L3-14,L3-14
40,40,8,2,2,18,14,13.0,1200.0,2,10.0,600.0,1680.0,67.0,17.0,4.0,7,427.0,1627.0,120.0,61,L3-14,L3-14
40,40,9,2,2,18,14,13.0,1240.0,2,10.0,600.0,1720.0,27.0,17.0,4.0,7,427.0,1667.0,80.0,61,L3-14,L3-14
40,40,10,2,2,18,14,13.0,1280.0,3,7.0,420.0,1580.0,167.0,17.0,4.0,7,427.0,1707.0,40.0,61,L3-14,L3-14
40,40,11,2,2,18,14,13.0,1320.0,3,7.0,420.0,1620.0,127.0,17.0,5.0,6,366.0,1686.0,61.0,61,L3-14,L3-14
40,40,12,2,2,18,14,13.0,1360.0,3,8.0,480.0,1720.0,27.0,17.0,5.0,6,366.0,1726.0,21.0,61,L3-14,L3-14
40,40,13,2,2,18,14,13.0,1400.0,4,6.0,360.0,1640.0,107.0,17.0,7.0,5,305.0,1705.0,42.0,61,L3-14,L3-14
40,40,14,2,2,18,14,13.0,1440.0,4,7.0,420.0,1740.0,7.0,17.0,7.0,5,305.0,1745.0,2.0,61,L3-14,L3-14
40,40,3,3,3,20,14,13.0,1095.0,2,9.0,540.0,1500.0,247.0,19.0,3.0,8,488.0,1583.0,164.0,39,L3-14,L3-14
40,40,4,3,3,20,14,13.0,1135.0,2,9.0,540.0,1540.0,207.0,19.0,3.0,8,488.0,1623.0,124.0,39,L3-14,L3-14
40,40,5,3,3,20,14,13.0,1175.0,2,9.0,540.0,1580.0,167.0,19.0,4.0,7,427.0,1602.0,145.0,39,L3-14,L3-14
40,40,6,3,3,20,14,13.0,1215.0,2,10.0,600.0,1680.0,67.0,19.0,4.0,7,427.0,1642.0,105.0,39,L3-14,L3-14
40,40,7,3,3,20,14,13.0,1255.0,2,10.0,600.0,1720.0,27.0,19.0,4.0,7,427.0,1682.0,65.0,39,L3-14,L3-14
40,40,8,3,3,20,14,13.0,1295.0,3,7.0,420.0,1580.0,167.0,19.0,4.0,7,427.0,1722.0,25.0,39,L3-14,L3-14
40,40,9,3,3,20,14,13.0,1335.0,3,7.0,420.0,1620.0,127.0,19.0,5.0,6,366.0,1701.0,46.0,39,L3-14,L3-14
40,40,10,3,3,20,14,13.0,1375.0,3,8.0,480.0,1720.0,27.0,19.0,5.0,6,366.0,1741.0,6.0,39,L3-14,L3-14
40,40,11,3,3,20,14,13.0,1415.0,4,6.0,360.0,1640.0,107.0,19.0,7.0,5,305.0,1720.0,27.0,39,L3-14,L3-14
