library,machine,threads,preset,logN,level,operation,reps,mean_us,std_us
seal,dku16c,mt,large,15,5,rot1,30,23919.189,258.085
seal,dku16c,mt,large,15,4,add_cc,30,384.823,8.460
seal,dku16c,mt,large,15,4,add_cp,30,264.323,10.801
seal,dku16c,mt,large,15,4,mul_cp,30,1174.713,16.835
seal,dku16c,mt,large,15,4,mul_cc,30,2398.238,35.121
seal,dku16c,mt,large,15,4,mul_cc_rlk,30,19870.138,241.945
seal,dku16c,mt,large,15,4,relin,30,17665.875,436.704
seal,dku16c,mt,large,15,4,rescale,30,3847.444,30.663
seal,dku16c,mt,large,15,4,rot1,30,17863.516,125.072
seal,dku16c,mt,large,15,3,add_cc,30,305.175,6.190
seal,dku16c,mt,large,15,3,add_cp,30,202.076,7.492
seal,dku16c,mt,large,15,3,mul_cp,30,932.067,12.255
seal,dku16c,mt,large,15,3,mul_cc,30,1903.480,15.735
seal,dku16c,mt,large,15,3,mul_cc_rlk,30,14318.913,108.099
seal,dku16c,mt,large,15,3,relin,30,12506.165,55.332
seal,dku16c,mt,large,15,3,rescale,30,3030.411,35.880
seal,dku16c,mt,large,15,3,rot1,30,12719.880,106.248
seal,dku16c,mt,large,15,2,add_cc,30,229.190,22.942
seal,dku16c,mt,large,15,2,add_cp,30,142.455,4.756
seal,dku16c,mt,large,15,2,mul_cp,30,694.987,9.844
seal,dku16c,mt,large,15,2,mul_cc,30,1427.066,26.747
seal,dku16c,mt,large,15,2,mul_cc_rlk,30,9652.820,37.959
seal,dku16c,mt,large,15,2,relin,30,8382.798,29.640
seal,dku16c,mt,large,15,2,rescale,30,2195.360,11.792
seal,dku16c,mt,large,15,2,rot1,30,8460.357,52.728
seal,dku16c,mt,large,15,1,add_cc,30,139.341,5.801
seal,dku16c,mt,large,15,1,add_cp,30,88.476,8.521
seal,dku16c,mt,large,15,1,mul_cp,30,443.801,6.091
seal,dku16c,mt,large,15,1,mul_cc,30,941.837,9.059
seal,dku16c,mt,large,15,1,mul_cc_rlk,30,5907.343,22.389
seal,dku16c,mt,large,15,1,relin,30,5042.671,21.134
seal,dku16c,mt,large,15,1,rescale,30,1389.561,11.159
seal,dku16c,mt,large,15,1,rot1,30,5107.146,26.422
