library,exp,logN,q0,delta,depth,dnum,PCount,logP,logQ,logQP,bound,margin,maxLevel,level,op,mean_us,std_us,reps,digits,threads,nthreads,ok,err
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,2,rot1,4690.692,285.745,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,1,add_cc,138.275,4.044,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,1,add_cp,90.585,4.028,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,1,mul_cp,168.287,4.546,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,1,mul_cc,486.896,7.027,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,1,mul_cc_rlk,5697.272,3202.114,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,1,relin,4651.011,298.332,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,1,rescale,878.329,11.134,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,1,rot1,5333.092,4095.433,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,4,add_cc,120.901,19.979,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,4,add_cp,93.123,6.184,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,4,mul_cp,357.192,695.459,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,4,mul_cc,495.737,10.633,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,4,mul_cc_rlk,7924.070,29.919,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,4,relin,7467.135,93.930,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,4,rescale,1615.696,24.775,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,4,rot1,7452.974,31.552,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,3,add_cc,91.437,6.034,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,3,add_cp,67.206,4.404,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,3,mul_cp,218.490,7.359,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,3,mul_cc,480.396,14.062,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,3,mul_cc_rlk,7406.421,714.908,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,3,relin,6582.688,40.328,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,3,rescale,1291.247,22.180,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,3,rot1,6592.555,31.074,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,2,add_cc,60.545,3.354,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,2,add_cp,38.409,3.750,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,2,mul_cp,160.464,10.881,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,2,mul_cc,302.803,40.880,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,2,mul_cc_rlk,4437.122,27.280,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,2,relin,4144.742,15.994,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,2,rescale,968.477,15.257,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,2,rot1,4145.916,16.031,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,1,add_cc,33.159,4.343,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,1,add_cp,22.615,2.461,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,1,mul_cp,107.327,15.937,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,1,mul_cc,427.906,1098.418,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,1,mul_cc_rlk,3641.419,90.709,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,1,relin,3398.222,24.474,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,1,rescale,645.756,12.660,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,1,rot1,3397.603,19.973,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
seal,7,14,60,42,4,5,1,60,228,288,438,150,4,4,add_cc,196.353,7.343,30,L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,14,60,42,4,5,1,60,228,288,438,150,4,4,add_cp,123.508,5.675,30,L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,14,60,42,4,5,1,60,228,288,438,150,4,4,mul_cp,568.787,12.493,30,L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,14,60,42,4,5,1,60,228,288,438,150,4,4,mul_cc,1183.541,9.229,30,L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,14,60,42,4,5,1,60,228,288,438,150,4,4,mul_cc_rlk,9273.909,31.246,30,L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,14,60,42,4,5,1,60,228,288,438,150,4,4,relin,8217.881,20.318,30,L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,14,60,42,4,5,1,60,228,288,438,150,4,4,rescale,1787.135,17.133,30,L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,14,60,42,4,5,1,60,228,288,438,150,4,4,rot1,8314.311,80.577,30,L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,14,60,42,4,5,1,60,228,288,438,150,4,3,add_cc,141.242,3.898,30,L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,14,60,42,4,5,1,60,228,288,438,150,4,3,add_cp,89.825,4.495,30,L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,14,60,42,4,5,1,60,228,288,438,150,4,3,mul_cp,444.799,10.262,30,L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,14,60,42,4,5,1,60,228,288,438,150,4,3,mul_cc,940.779,7.854,30,L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,14,60,42,4,5,1,60,228,288,438,150,4,3,mul_cc_rlk,6757.957,29.337,30,L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,14,60,42,4,5,1,60,228,288,438,150,4,3,relin,5924.144,90.158,30,L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,14,60,42,4,5,1,60,228,288,438,150,4,3,rescale,1396.972,12.870,30,L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,14,60,42,4,5,1,60,228,288,438,150,4,3,rot1,5967.074,17.641,30,L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,14,60,42,4,5,1,60,228,288,438,150,4,2,add_cc,100.601,6.675,30,L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,14,60,42,4,5,1,60,228,288,438,150,4,2,add_cp,57.892,2.541,30,L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,14,60,42,4,5,1,60,228,288,438,150,4,2,mul_cp,321.071,8.452,30,L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,14,60,42,4,5,1,60,228,288,438,150,4,2,mul_cc,694.571,10.551,30,L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,14,60,42,4,5,1,60,228,288,438,150,4,2,mul_cc_rlk,4597.937,26.730,30,L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,14,60,42,4,5,1,60,228,288,438,150,4,2,relin,3967.427,19.312,30,L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,14,60,42,4,5,1,60,228,288,438,150,4,2,rescale,1015.697,7.844,30,L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,14,60,42,4,5,1,60,228,288,438,150,4,2,rot1,3991.955,24.263,30,L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,14,60,42,4,5,1,60,228,288,438,150,4,1,add_cc,58.788,4.193,30,L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,14,60,42,4,5,1,60,228,288,438,150,4,1,add_cp,36.446,2.966,30,L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,14,60,42,4,5,1,60,228,288,438,150,4,1,mul_cp,209.624,5.561,30,L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,14,60,42,4,5,1,60,228,288,438,150,4,1,mul_cc,453.326,6.905,30,L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,14,60,42,4,5,1,60,228,288,438,150,4,1,mul_cc_rlk,2805.283,13.326,30,L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,14,60,42,4,5,1,60,228,288,438,150,4,1,relin,2375.354,14.673,30,L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,14,60,42,4,5,1,60,228,288,438,150,4,1,rescale,640.103,8.168,30,L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,14,60,42,4,5,1,60,228,288,438,150,4,1,rot1,2403.875,14.634,30,L4=5;L3=4;L2=3;L1=2,mt,1,1,
